,Name,Group,Measured,Modelled,Residual,Weight,Weighted_Residual,Absolute_Residual,Weighted_Absolute_Residual,Weighted_Sq_Residual,Phi_Percent
0,stemp_0.04_0,temp,261.0233,270.15,-9.1267,0.0005542391,-0.00505837399397,9.1267,0.00505837399397,2.5587147462872006e-05,0.12614075420544313
1,stemp_0.04_1,temp,261.0067,269.354243353,-8.3475433526,0.0005542391,-0.0046265349149560075,8.3475433526,0.0046265349149560075,2.1404825319306993e-05,0.10552254069473704
2,stemp_0.04_2,temp,260.8549,268.546773651,-7.6918736511,0.0005542391,-0.004263137129699378,7.6918736511,0.004263137129699378,1.8174338186621454e-05,0.08959672934905161
3,stemp_0.04_3,temp,261.0327,267.724598174,-6.6918981745,0.0005542391,-0.0037089116215265235,6.6918981745,0.0037089116215265235,1.3756025416294505e-05,0.06781511785940472
4,stemp_0.04_4,temp,261.347,266.807527284,-5.4605272836,0.0005542391,-0.003026437727187909,5.4605272836,0.003026437727187909,9.159325316546318e-06,0.04515408390554837
5,stemp_0.04_5,temp,261.0806,265.277256072,-4.1966560719,0.0005542391,-0.0023259508842993913,4.1966560719,0.0023259508842993913,5.410047516173121e-06,0.02667071329336698
6,stemp_0.04_6,temp,261.1825,264.459593901,-3.2770939006,0.0005542391,-0.0018162935740840336,3.2770939006,0.0018162935740840336,3.298922347258953e-06,0.016263186568657353
7,stemp_0.04_7,temp,260.6165,263.607175831,-2.9906758312,0.0005542391,-0.00165754948107604,2.9906758312,0.00165754948107604,2.7474702822154495e-06,0.013544611569483575
8,stemp_0.04_8,temp,260.0583,261.913668716,-1.8553687161,0.0005542391,-0.0010283178873794197,1.8553687161,0.0010283178873794197,1.057437677504473e-06,0.0052130072865376985
9,stemp_0.04_9,temp,260.6804,260.51287159,0.1675284097,0.0005542391,9.285079501655927e-05,0.1675284097,9.285079501655927e-05,8.621270135207106e-09,4.250155351009269e-05
10,stemp_0.04_10,temp,259.4002,259.698963691,-0.2987636907,0.0005542391,-0.00016558651904624637,0.2987636907,0.00016558651904624637,2.7418895289852913e-08,0.0001351709930292443
11,stemp_0.04_11,temp,258.0874,260.197095991,-2.1096959908,0.0005542391,-0.0011692760072146004,2.1096959908,0.0011692760072146004,1.3672063810477182e-06,0.0067401199883691905
12,stemp_0.04_12,temp,258.4664,261.067017344,-2.600617344,0.0005542391,-0.0014413638161829506,2.600617344,0.0014413638161829506,2.0775296506014787e-06,0.010241905917465113
13,stemp_0.04_13,temp,258.4739,261.747545795,-3.2736457953,0.0005542391,-0.0018143824993058564,3.2736457953,0.0018143824993058564,3.291983853787366e-06,0.0162289808487417
14,stemp_0.04_14,temp,258.4656,262.136782866,-3.6711828657,0.0005542391,-0.002034713087420989,3.6711828657,0.002034713087420989,4.1400573481222525e-06,0.020409854482751726
15,stemp_0.04_15,temp,257.2475,262.036753736,-4.7892537357,0.0005542391,-0.002654391680146006,4.7892537357,0.002654391680146006,7.045795191628335e-06,0.034734701112686076
