,Name,Group,Measured,Modelled,Residual,Weight,Weighted_Residual,Absolute_Residual,Weighted_Absolute_Residual,Weighted_Sq_Residual,Phi_Percent
0,stemp_0.04_0,temp,261.0233,270.15,-9.1267,0.0006357429,-0.00580223472543,9.1267,0.00580223472543,3.3665927808985745e-05,0.5372188722764052
1,stemp_0.04_1,temp,261.0067,269.349173546,-8.3424735461,0.0006357429,-0.005303668325370898,8.3424735461,0.005303668325370898,2.8128897705542544e-05,0.44886256483080084
2,stemp_0.04_2,temp,260.8549,268.564169216,-7.7092692158,0.0006357429,-0.004901113168133418,7.7092692158,0.004901113168133418,2.402091028685079e-05,0.38330998654106174
3,stemp_0.04_3,temp,261.0327,267.770948382,-6.7382483822,0.0006357429,-0.004283793567420136,6.7382483822,0.004283793567420136,1.8350887328270138e-05,0.2928314660359174
4,stemp_0.04_4,temp,261.347,266.892461934,-5.5454619341,0.0006357429,-0.0035254880518243432,5.5454619341,0.0035254880518243432,1.2429066003556203e-05,0.19833491177680485
5,stemp_0.04_5,temp,261.0806,265.306914254,-4.2263142541,0.0006357429,-0.002686849280212871,4.2263142541,0.002686849280212871,7.219159054580423e-06,0.11519862182590877
6,stemp_0.04_6,temp,261.1825,264.513142495,-3.3306424948,0.0006357429,-0.002117432318507387,3.3306424948,0.002117432318507387,4.483519623459568e-06,0.07154507576949048
7,stemp_0.04_7,temp,260.6165,263.649560439,-3.0330604393,0.0006357429,-0.0019282466395558558,3.0330604393,0.0019282466395558558,3.7181351029584505e-06,0.05933156983867577
8,stemp_0.04_8,temp,260.0583,261.890354087,-1.8320540867,0.0006357429,-0.0011647153780355093,1.8320540867,0.0011647153780355093,1.3565619118323995e-06,0.021647128354300407
9,stemp_0.04_9,temp,260.6804,259.809724858,0.8706751416,0.0006357429,0.0005535255394786947,0.8706751416,0.0005535255394786947,3.0639052285518e-07,0.0048891797100718845
10,stemp_0.04_10,temp,259.4002,257.917472056,1.4827279443,0.0006357429,0.0009426337632203205,1.4827279443,0.0009426337632203205,8.885584115629032e-07,0.014179034379207799
11,stemp_0.04_11,temp,258.0874,257.637364464,0.4500355358,0.0006357429,0.0002861068966325458,0.4500355358,0.0002861068966325458,8.185715630070626e-08,0.0013062229992628174
12,stemp_0.04_12,temp,258.4664,258.062009495,0.404390505,0.0006357429,0.0002570883923811645,0.404390505,0.0002570883923811645,6.60944414971316e-08,0.0010546918987734146
13,stemp_0.04_13,temp,258.4739,258.412659568,0.0612404323,0.0006357429,3.893317002765567e-05,0.0612404323,3.893317002765567e-05,1.515791728402346e-09,2.4188013696175754e-05
14,stemp_0.04_14,temp,258.4656,258.560106524,-0.0945065244,0.0006357429,-6.0081851890976756e-05,0.0945065244,6.0081851890976756e-05,3.6098289266492672e-09,5.760329066492137e-05
15,stemp_0.04_15,temp,257.2475,258.065915247,-0.8184152469,0.0006357429,-0.000520301682468422,0.8184152469,0.000520301682468422,2.707138407794706e-07,0.004319874535415127
16,stemp_0.04_16,temp,256.8807,256.599008569,0.2816914309,0.0006357429,0.0001790833271855156,0.2816914309,0.0001790833271855156,3.207083807583443e-08,0.0005117654728487944
17,stemp_0.04_17,temp,257.2833,257.165886217,0.1174137827,0.0006357429,7.464497871366782e-05,0.1174137827,7.464497871366782e-05,5.571872847163922e-09,8.891230517704555e-05
18,stemp_0.04_18,temp,256.7728,255.295391131,1.4774088689,0.0006357429,0.0009392521988002058,1.4774088689,0.0009392521988002058,8.821946929510213e-07,0.01407748631685952
19,stemp_0.04_19,temp,257.1543,255.25064625,1.9036537499,0.0006357429,0.0012102343555573008,1.9036537499,0.0012102343555573008,1.464667195371195e-06,0.02337220181252637
20,stemp_0.04_20,temp,257.7903,256.512862731,1.2774372693,0.0006357429,0.0008121216741528629,1.2774372693,0.0008121216741528629,6.595416136288489e-07,0.010524534000767386
21,stemp_0.04_21,temp,258.6003,256.757609325,1.8426906754,0.0006357429,0.0011714775137817547,1.8426906754,0.0011714775137817547,1.3723595652962815e-06,0.021899216983095448
22,stemp_0.04_22,temp,259.1631,255.768738318,3.3943616822,0.0006357429,0.0021579413394907064,3.3943616822,0.0021579413394907064,4.656710824682944e-06,0.07430874776264983
23,stemp_0.04_23,temp,260.0054,258.041803516,1.9635964838,0.0006357429,0.001248342523040815,1.9635964838,0.001248342523040815,1.5583590548319078e-06,0.024867275269777982
24,stemp_0.04_24,temp,261.4232,262.369935127,-0.9467351265,0.0006357429,-0.0006018801348529768,0.9467351265,0.0006018801348529768,3.6225969673063757e-07,0.005780703471266926
25,stemp_0.04_25,temp,262.3889,262.360924505,0.0279754953,0.0006357429,1.778522251095837e-05,0.0279754953,1.778522251095837e-05,3.163141397643003e-10,5.047534302735087e-06
26,stemp_0.04_26,temp,262.8389,264.65952041,-1.8206204101,0.0006357429,-0.0011574464993161634,1.8206204101,0.0011574464993161634,1.3396823987792415e-06,0.021377776117271843
27,stemp_0.04_27,temp,263.0507,262.24248474,0.80821526,0.0006357429,0.000513817113216654,0.80821526,0.000513817113216654,2.640080258342958e-07,0.004212867523370757
28,stemp_0.04_28,temp,261.9409,261.267187878,0.6737121225,0.0006357429,0.00042830769852330523,0.6737121225,0.00042830769852330523,1.8344748461433052e-07,0.002927335060112306
29,stemp_0.04_29,temp,261.0121,262.048592437,-1.0364924371,0.0006357429,-0.0006589427077900215,1.0364924371,0.0006589427077900215,4.3420549214964566e-07,0.006928767451541733
30,stemp_0.04_30,temp,260.341,262.097926676,-1.7569266765,0.0006357429,-0.0011169536604054718,1.7569266765,0.0011169536604054718,1.247585479493182e-06,0.019908153672891078
31,stemp_0.04_31,temp,260.1183,262.344486511,-2.2261865107,0.0006357429,-0.0014152822682532988,2.2261865107,0.0014152822682532988,2.0030238988322025e-06,0.03196294622202906
32,stemp_0.04_32,temp,261.2094,263.157808728,-1.9484087275,0.0006357429,-0.0012386870148061598,1.9484087275,0.0012386870148061598,1.5343455206493956e-06,0.024484082986289013
