,Name,Group,Measured,Modelled,Residual,Weight,Weighted_Residual,Absolute_Residual,Weighted_Absolute_Residual,Weighted_Sq_Residual,Phi_Percent
0,stemp_0.04_0,temp,261.0233,270.15,-9.1267,0.004978518,-0.0454374402306,9.1267,0.0454374402306,0.0020645609747093475,0.7771968064925548
1,stemp_0.04_1,temp,261.0067,269.805409517,-8.7987095167,0.004978518,-0.04380453370566226,8.7987095167,0.04380453370566226,0.0019188371731705008,0.7223395876584678
2,stemp_0.04_2,temp,260.8549,269.307266096,-8.4523660964,0.004978518,-0.04208025675351714,8.4523660964,0.04208025675351714,0.001770748008441925,0.6665919360690532
3,stemp_0.04_3,temp,261.0327,268.670519725,-7.6378197254,0.004978518,-0.03802502298365896,7.6378197254,0.03802502298365896,0.001445902372907792,0.5443049251098756
4,stemp_0.04_4,temp,261.347,267.91840018,-6.5714001803,0.004978518,-0.0327158340828268,6.5714001803,0.0327158340828268,0.0010703257997350516,0.4029204289196553
5,stemp_0.04_5,temp,261.0806,267.060106697,-5.9795066971,0.004978518,-0.029769081722632897,5.9795066971,0.029769081722632897,0.000886198226608796,0.3336062436890173
6,stemp_0.04_6,temp,261.1825,266.139727337,-4.9572273368,0.004978518,-0.024679645526350862,4.9572273368,0.024679645526350862,0.0006090849033063301,0.22928789584388487
7,stemp_0.04_7,temp,260.6165,265.19027518,-4.5737751804,0.004978518,-0.02277062206357465,4.5737751804,0.02277062206357465,0.0005185012291621527,0.19518798640666027
8,stemp_0.04_8,temp,260.0583,264.19951919,-4.1412191899,0.004978518,-0.02061713427886257,4.1412191899,0.02061713427886257,0.00042506622587265005,0.1600147040184053
9,stemp_0.04_9,temp,260.6804,263.250821305,-2.5704213052,0.004978518,-0.012796888735521695,2.5704213052,0.012796888735521695,0.00016376036130932205,0.06164701909934624
10,stemp_0.04_10,temp,259.4002,262.201797821,-2.8015978212,0.004978518,-0.013947805181604983,2.8015978212,0.013947805181604983,0.00019454126938400683,0.07323438500892118
11,stemp_0.04_11,temp,258.0874,261.233182267,-3.1457822674,0.004978518,-0.015661333642331715,3.1457822674,0.015661333642331715,0.00024527737145643117,0.09233381437313251
12,stemp_0.04_12,temp,258.4664,260.394378543,-1.9279785427,0.004978518,-0.00959847587844572,1.9279785427,0.00959847587844572,9.213073918910432e-05,0.0346822966987695
13,stemp_0.04_13,temp,258.4739,259.707880857,-1.2339808568,0.004978518,-0.006143395907234222,1.2339808568,0.006143395907234222,3.774131327302219e-05,0.01420758626552911
14,stemp_0.04_14,temp,258.4656,259.138720475,-0.6731204753,0.004978518,-0.0033511424024496054,0.6731204753,0.0033511424024496054,1.1230155401495712e-05,0.00422755298650665
15,stemp_0.04_15,temp,257.2475,258.730537463,-1.4830374629,0.004978518,-0.007383328703721983,1.4830374629,0.007383328703721983,5.451354274720494e-05,0.020521433783125567
16,stemp_0.04_16,temp,256.8807,258.43733604,-1.5566360399,0.004978518,-0.007749740544090869,1.5566360399,0.007749740544090869,6.0058478500725845e-05,0.022608805584023593
17,stemp_0.04_17,temp,257.2833,258.267592408,-0.9842924081,0.004978518,-0.004900317470989196,0.9842924081,0.004900317470989196,2.401311131648195e-05,0.009039652331773538
18,stemp_0.04_18,temp,256.7728,258.136754507,-1.3639545074,0.004978518,-0.0067904720662720335,1.3639545074,0.0067904720662720335,4.611051088282078e-05,0.017358141630529317
19,stemp_0.04_19,temp,257.1543,258.081396095,-0.9270960949,0.004978518,-0.004615564596189358,0.9270960949,0.004615564596189358,2.1303436541596633e-05,0.008019604676377561
20,stemp_0.04_20,temp,257.7903,258.078083147,-0.2877831466,0.004978518,-0.0014327335754447388,0.2877831466,0.0014327335754447388,2.052725498206665e-06,0.0007727413824804364
21,stemp_0.04_21,temp,258.6003,258.183573855,0.4167261449,0.004978518,0.0020746786134552583,0.4167261449,0.0020746786134552583,4.304291349128633e-06,0.0016203355249545287
22,stemp_0.04_22,temp,259.1631,258.387660067,0.7754399335,0.004978518,0.0038605416668485533,0.7754399335,0.0038605416668485533,1.4903781961473806e-05,0.005610476942561353
23,stemp_0.04_23,temp,260.0054,258.671539658,1.3338603418,0.004978518,0.006640647721137452,1.3338603418,0.006640647721137452,4.409820215624804e-05,0.016600615001319628
24,stemp_0.04_24,temp,261.4232,259.009522167,2.4136778333,0.004978518,0.01201653853928505,2.4136778333,0.01201653853928505,0.0001443971984661229,0.054357823716076774
25,stemp_0.04_25,temp,262.3889,259.306990837,3.0819091635,0.004978518,0.015343340244849695,3.0819091635,0.015343340244849695,0.0002354180898692243,0.08862232207149837
26,stemp_0.04_26,temp,262.8389,259.659229913,3.1796700874,0.004978518,0.015830044764182472,3.1796700874,0.015830044764182472,0.0002505903172360209,0.0943338543542944
27,stemp_0.04_27,temp,263.0507,259.87574377,3.1749562299,0.004978518,0.015806576739769287,3.1749562299,0.015806576739769287,0.00024984786823021546,0.09405436200538142
28,stemp_0.04_28,temp,261.9409,260.045486493,1.8954135072,0.004978518,0.00943635026303833,1.8954135072,0.00943635026303833,8.904470628674356e-05,0.03352057033378123
29,stemp_0.04_29,temp,261.0121,260.210556498,0.8015435016,0.004978518,0.003990498750498629,0.8015435016,0.003990498750498629,1.5924080277731117e-05,0.005994564699124972
30,stemp_0.04_30,temp,260.341,260.316005583,0.0249944174,0.004978518,0.0001244351569254132,0.0249944174,0.0001244351569254132,1.5484108279052208e-08,5.828938768717402e-06
