name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
ALPHA_P,0.05,0.0225,0.005,0.095,0.01,0.0224973,-0.0349945,0.0549945
ALPHA_M,0.005,0.00225,0.0005,0.0095,0.00180963,0.00224817,-0.00268671,0.00630597
N_P,1.6,0.4875,0.625,2.575,1.58018,0.487214,0.605749,2.5546
N_M,1.5,0.4875,0.525,2.475,1.48885,0.486712,0.515424,2.46227
WR_P,0.1,0.0875,-0.075,0.275,0.145391,0.0874919,-0.0295928,0.320375
WR_M,0.12,0.0875,-0.055,0.295,0.151847,0.0874112,-0.022975,0.32667
TCS_P,0.4,0.325,-0.25,1.05,0.414057,0.324667,-0.235276,1.06339
TCS_M,1,0.45,0.1,1.9,0.990254,0.449664,0.0909267,1.88958
TCD_P,0.07,0.245,-0.42,0.56,0.0904392,0.24486,-0.399282,0.58016
TCD_M,1,0.25,0.5,1.5,0.996862,0.249991,0.496881,1.49684
AF_P,1.5,0.25,1,2,1.50089,0.249998,1.0009,2.00089
AF_M,1.5,0.25,1,2,1.50053,0.249999,1.00053,2.00053
AUF_P,0.5,0.175,0.15,0.85,0.495849,0.174994,0.145862,0.845837
AUF_M,0.7,0.175,0.35,1.05,0.699876,0.175,0.349876,1.04988
POR_P,0.5,0.1625,0.175,0.825,0.555416,0.162449,0.230519,0.880314
POR_M,0.5,0.125,0.25,0.75,0.504033,0.124945,0.254144,0.753922
PERM_P,1e-10,2.475e-10,-3.95e-10,5.95e-10,4.77473e-10,2.475e-10,-1.75268e-11,9.72472e-10
PERM_M,1e-12,2.475e-12,-3.95e-12,5.95e-12,1e-13,2.43305e-12,-4.7661e-12,4.9661e-12
DEN_P,900,325,250,1550,900,325,250,1550
DEN_M,2300,175,1950,2650,2300,175,1950,2650
