name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
ALPHA_P,0.05,0.0225,0.005,0.095,0.01,0.0224945,-0.034989,0.054989
ALPHA_M,0.005,0.00225,0.0005,0.0095,0.00165587,0.00224853,-0.00284119,0.00615294
N_P,1.6,0.4875,0.625,2.575,1.51243,0.487157,0.538116,2.48674
N_M,1.5,0.4875,0.525,2.475,1.4825,0.486624,0.509254,2.45575
WR_P,0.1,0.0875,-0.075,0.275,0.219103,0.0874919,0.0441196,0.394087
WR_M,0.12,0.0875,-0.055,0.295,0.156757,0.0874261,-0.018095,0.331609
TCS_P,0.4,0.325,-0.25,1.05,0.437523,0.324808,-0.212094,1.08714
TCS_M,1,0.45,0.1,1.9,0.954696,0.449637,0.0554215,1.85397
TCD_P,0.07,0.245,-0.42,0.56,0.100881,0.244976,-0.389071,0.590832
TCD_M,1,0.25,0.5,1.5,0.985364,0.249992,0.48538,1.48535
AF_P,1.5,0.25,1,2,1.50414,0.249998,1.00415,2.00414
AF_M,1.5,0.25,1,2,1.49914,0.249999,0.999142,1.99914
AUF_P,0.5,0.175,0.15,0.85,0.487232,0.174997,0.137238,0.837225
AUF_M,0.7,0.175,0.35,1.05,0.699072,0.175,0.349072,1.04907
POR_P,0.5,0.1625,0.175,0.825,0.634512,0.162443,0.309627,0.959398
POR_M,0.5,0.125,0.25,0.75,0.485126,0.124936,0.235254,0.734999
PERM_P,1e-10,2.475e-10,-3.95e-10,5.95e-10,2.11465e-11,2.4704e-10,-4.72933e-10,5.15226e-10
PERM_M,1e-12,2.475e-12,-3.95e-12,5.95e-12,1e-13,2.43049e-12,-4.76098e-12,4.96098e-12
DEN_P,900,325,250,1550,900,325,250.001,1550
DEN_M,2300,175,1950,2650,2300,175,1950,2650
