parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
alpha_p,none,factor,0.05,0.01,0.1,alpha_p_gp,1.0,0.0,1
alpha_m,none,factor,0.005,0.001,0.01,alpha_m_gp,1.0,0.0,1
n_p,none,factor,1.6,1.05,3.0,n_p_gp,1.0,0.0,1
n_m,none,factor,1.5,1.05,3.0,n_m_gp,1.0,0.0,1
wr_p,none,factor,0.1,0.05,0.4,wr_p_gp,1.0,0.0,1
wr_m,none,factor,0.12,0.05,0.4,wr_m_gp,1.0,0.0,1
tcs_p,none,factor,0.4,0.2,1.5,tcs_p_gp,1.0,0.0,1
tcs_m,none,factor,1.0,0.2,2.0,tcs_m_gp,1.0,0.0,1
tcd_p,none,factor,0.07,0.02,1.0,tcd_p_gp,1.0,0.0,1
tcd_m,none,factor,1.0,0.5,1.5,tcd_m_gp,1.0,0.0,1
af_p,none,factor,1.5,1.0,2.0,af_p_gp,1.0,0.0,1
af_m,none,factor,1.5,1.0,2.0,af_m_gp,1.0,0.0,1
auf_p,none,factor,0.5,0.3,1.0,auf_p_gp,1.0,0.0,1
auf_m,none,factor,0.7,0.3,1.0,auf_m_gp,1.0,0.0,1
por_p,none,factor,0.5,0.2,0.85,por_p_gp,1.0,0.0,1
por_m,none,factor,0.5,0.2,0.7,por_m_gp,1.0,0.0,1
perm_p,none,factor,1e-10,1e-11,1e-09,perm_p_gp,1.0,0.0,1
perm_m,none,factor,1e-12,1e-13,1e-11,perm_m_gp,1.0,0.0,1
den_p,none,factor,900.0,700.0,2000.0,den_p_gp,1.0,0.0,1
den_m,none,factor,2300.0,2000.0,2700.0,den_m_gp,1.0,0.0,1
