,Sub_temp,SEB-monthly,SEB-daily,SEB-with snow,parval1,parlbnd,parubnd
alpha_p,0.0025,0.00299971,0.0025,0.0065699,0.01,0.0025,0.0125
alpha_m,0.0031936,0.000456229,0.00166127,0.0031936,0.00182491435344,0.00045622858836,0.00319360011852
n_p,1.75614,1.15653,1.48459,1.49894,1.5,1.025,2.05
n_m,2.02951,2.03478,2.05749,2.05006,2.05,1.025,3.075
wr_p,0.164683,0.024,0.156116,0.111749,0.1,0.024,0.2
wr_m,0.166071,0.276669,0.173485,0.162741,0.1594880648121,0.039872016203025,0.279104113421175
tcs_p,0.671615,0.769259,0.491955,0.440429,0.43957660836642,0.109894152091605,0.769259064641235
tcs_m,0.911769,0.238026,0.938164,0.951961,0.9521050640268,0.2380262660067,1.6661838620468998
tcd_p,0.176791,0.115755,0.120658,0.101077,0.10102340591993,0.0252558514799825,0.1767909603598775
tcd_m,0.94851,1.14508,0.9844,0.98444,0.98440542894689,0.2461013572367225,1.7227095006570574
af_p,1.50054,0.91046,1.49655,1.50501,1.5051141503909,0.376278537597725,2.633949763184075
af_m,1.49929,1.66879,1.49909,1.49938,1.4993891283097,0.374847282077425,2.623930974541975
auf_p,0.389845,0.121734,0.477138,0.486852,0.48693541309098,0.121733853272745,0.852136972909215
auf_m,0.69973,1.15541,0.6992,0.698884,0.69888402864099,0.1747210071602475,1.2230470501217323
por_p,0.800683,0.443895,0.501199,0.640077,0.63739,0.159,0.85
por_m,0.506646,0.293969,0.407367,0.481789,0.48103076529074,0.120257691322685,0.841803839258795
perm_p,1.33666e-11,9.35659e-11,5.24224e-11,2.79893e-11,5.34662212722e-11,1.336655531805e-11,9.356588722634999e-11
perm_m,6.43967e-14,1.75e-13,1.75e-13,2.5e-14,1e-13,2.5e-14,1.75e-13
den_p,900.0,900.0,900.0,900.0,900.0,225.0,1575.0
den_m,1900.0,1900.0,1900.0,1900.0,1900.0,950.0,2850.0
albedo_bg,,0.151477,0.569792,0.55,0.55,0.1375,0.9625
e_bg,,0.879419,0.802868,0.75,0.75,0.5,0.9625
pen_w,,0.0025,0.0106231,0.0100132,0.01,0.0025,0.0175
pen_s,,0.035,0.0145053,0.0200066,0.02,0.005,0.035
z_bg,,0.0414273,0.0469666,0.0400033,0.04,0.01,0.07
z_s,,0.00875,0.00313467,0.00875,0.005,0.00125,0.00875
