parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
alpha_p,none,factor,0.01,0.005,0.015,alpha_p_gp,1.0,0.0,1
alpha_m,none,factor,0.00182491435344,0.00091245717672,0.0027373715301600003,alpha_m_gp,1.0,0.0,1
n_p,none,factor,2.05,1.025,3.0749999999999997,n_p_gp,1.0,0.0,1
n_m,none,factor,2.05,1.025,3.0749999999999997,n_m_gp,1.0,0.0,1
wr_p,none,factor,0.22432414346,0.11216207173,0.33648621519,wr_p_gp,1.0,0.0,1
wr_m,none,factor,0.1594880648121,0.07974403240605,0.23923209721815003,wr_m_gp,1.0,0.0,1
tcs_p,none,factor,0.43957660836642,0.21978830418321,0.6593649125496299,tcs_p_gp,1.0,0.0,1
tcs_m,none,factor,0.9521050640268,0.4760525320134,1.4281575960402,tcs_m_gp,1.0,0.0,1
tcd_p,none,factor,0.10102340591993,0.050511702959965,0.15153510887989502,tcd_p_gp,1.0,0.0,1
tcd_m,none,factor,0.98440542894689,0.492202714473445,1.4766081434203349,tcd_m_gp,1.0,0.0,1
af_p,none,factor,1.5051141503909,0.75255707519545,2.25767122558635,af_p_gp,1.0,0.0,1
af_m,none,factor,1.4993891283097,0.74969456415485,2.2490836924645503,af_m_gp,1.0,0.0,1
auf_p,none,factor,0.48693541309098,0.24346770654549,0.73040311963647,auf_p_gp,1.0,0.0,1
auf_m,none,factor,0.69888402864099,0.349442014320495,1.048326042961485,auf_m_gp,1.0,0.0,1
por_p,none,factor,0.63739495707099,0.318697478535495,0.956092435606485,por_p_gp,1.0,0.0,1
por_m,none,factor,0.48103076529074,0.24051538264537,0.72154614793611,por_m_gp,1.0,0.0,1
perm_p,none,factor,5.3466221272199995e-11,2.6733110636099997e-11,8.019933190829999e-11,perm_p_gp,1.0,0.0,1
perm_m,none,factor,1e-13,5e-14,1.5000000000000002e-13,perm_m_gp,1.0,0.0,1
den_p,none,factor,900.0,450.0,1350.0,den_p_gp,1.0,0.0,1
den_m,none,factor,1900.0,950.0,2850.0,den_m_gp,1.0,0.0,1
lh_w,none,factor,334000.0,167000.0,501000.0,hc_l_gp,1.0,0.0,1
lh_i,none,factor,-6007.87,-3003.935,-9011.805,hc_r_gp,1.0,0.0,1
hc_l,none,factor,76.0,38.0,114.0,lh_w_gp,1.0,0.0,1
hc_r,none,factor,620.0,310.0,930.0,lh_i_gp,1.0,0.0,1
