name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
alpha_p,0.01,0.00375,0.0025,0.0175,0.0025,0.00374942,-0.00499884,0.00999884
alpha_m,0.00182491,0.000684343,0.000456229,0.0031936,0.0031936,0.000684339,0.00182492,0.00456228
n_p,2.05,0.5125,1.025,3.075,1.98041,0.512357,0.955693,3.00512
n_m,2.05,0.5125,1.025,3.075,2.05199,0.512441,1.02711,3.07687
wr_p,0.224324,0.0841216,0.056081,0.392567,0.228434,0.0841131,0.0602075,0.39666
wr_m,0.159488,0.059808,0.039872,0.279104,0.199924,0.0598056,0.0803124,0.319535
tcs_p,0.439577,0.164841,0.109894,0.769259,0.512868,0.164834,0.1832,0.842536
tcs_m,0.952105,0.357039,0.238026,1.66618,0.941615,0.357035,0.227544,1.65569
tcd_p,0.101023,0.0378838,0.0252559,0.176791,0.154094,0.0378837,0.078327,0.229862
tcd_m,0.984405,0.369152,0.246101,1.72271,0.97744,0.36915,0.239141,1.71574
af_p,1.50511,0.564418,0.376279,2.63395,1.49878,0.564405,0.369974,2.62759
af_m,1.49939,0.562271,0.374847,2.62393,1.49971,0.56227,0.375171,2.62425
auf_p,0.486935,0.182601,0.121734,0.852137,0.455459,0.182599,0.0902605,0.820657
auf_m,0.698884,0.262082,0.174721,1.22305,0.69878,0.262081,0.174617,1.22294
por_p,0.637395,0.239023,0.159349,1.11544,0.689123,0.238979,0.211166,1.16708
por_m,0.481031,0.180387,0.120258,0.841804,0.464854,0.180367,0.104121,0.825587
perm_p,5.34662e-11,2.00498e-11,1.33666e-11,9.35659e-11,1.33666e-11,2.00498e-11,-2.67329e-11,5.34661e-11
perm_m,1e-13,3.75e-14,2.5e-14,1.75e-13,2.5e-14,3.74998e-14,-4.99996e-14,9.99996e-14
den_p,900,337.5,225,1575,900,329.129,241.742,1558.26
den_m,1900,475,950,2850,1900,469.802,960.397,2839.6
