name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
alpha_p,0.01,0.00375,0.0025,0.0175,0.0025,0.00374939,-0.00499878,0.00999878
alpha_m,0.00182491,0.000684343,0.000456229,0.0031936,0.0031936,0.000684339,0.00182492,0.00456228
n_p,2.05,0.5125,1.025,3.075,1.96927,0.512347,0.944577,2.99397
n_m,2.05,0.5125,1.025,3.075,2.05321,0.512441,1.02833,3.07809
wr_p,0.224324,0.0841216,0.056081,0.392567,0.225201,0.0841129,0.0569747,0.393426
wr_m,0.159488,0.059808,0.039872,0.279104,0.205399,0.0598057,0.0857871,0.32501
tcs_p,0.439577,0.164841,0.109894,0.769259,0.523622,0.164834,0.193953,0.85329
tcs_m,0.952105,0.357039,0.238026,1.66618,0.940139,0.357036,0.226068,1.65421
tcd_p,0.101023,0.0378838,0.0252559,0.176791,0.160725,0.0378837,0.0849573,0.236492
tcd_m,0.984405,0.369152,0.246101,1.72271,0.976737,0.369149,0.238438,1.71504
af_p,1.50511,0.564418,0.376279,2.63395,1.49809,0.564405,0.369285,2.6269
af_m,1.49939,0.562271,0.374847,2.62393,1.49975,0.56227,0.37521,2.62429
auf_p,0.486935,0.182601,0.121734,0.852137,0.451209,0.182599,0.0860102,0.816407
auf_m,0.698884,0.262082,0.174721,1.22305,0.698773,0.262082,0.17461,1.22294
por_p,0.637395,0.239023,0.159349,1.11544,0.695971,0.238979,0.218013,1.17393
por_m,0.481031,0.180387,0.120258,0.841804,0.459517,0.180365,0.0987863,0.820248
perm_p,5.34662e-11,2.00498e-11,1.33666e-11,9.35659e-11,1.33666e-11,2.00498e-11,-2.6733e-11,5.34661e-11
perm_m,1e-13,3.75e-14,2.5e-14,1.75e-13,2.5e-14,3.75e-14,-4.99999e-14,9.99999e-14
den_p,900,337.5,225,1575,900,329.126,241.748,1558.25
den_m,1900,475,950,2850,1900,469.798,960.403,2839.6
