# Observation File: observations.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.271109682651e-01 2.271109682651e-01 2.271109682651e-01 1.611231632476e-01 1.611231632476e-01 1.611231631601e-01 1.611231630201e-01
8.640000000000e+04 2.629063684344e+02 2.662250413808e+02 2.685277747950e+02 2.694064464685e+02 2.700274434573e+02 2.701340216555e+02 2.701474071980e+02 2.270939715101e-01 2.270972555223e-01 2.271024091537e-01 1.611091648224e-01 1.611203700032e-01 1.611227850558e-01 1.611231013849e-01
1.728000000000e+05 2.620677549824e+02 2.650447762095e+02 2.675360865301e+02 2.686478028449e+02 2.697283899071e+02 2.700500973942e+02 2.701228595202e+02 2.270934596253e-01 2.270957713327e-01 2.270996583420e-01 1.610996902768e-01 1.611144213675e-01 1.611208646846e-01 1.611225232087e-01
2.592000000000e+05 2.616224713304e+02 2.643923185090e+02 2.668699410299e+02 2.680520446328e+02 2.693976868170e+02 2.699194859465e+02 2.700734398021e+02 2.270932188658e-01 2.270951265200e-01 2.270983089376e-01 1.610942440654e-01 1.611089694698e-01 1.611180792770e-01 1.611213878934e-01
3.456000000000e+05 2.611033326378e+02 2.638455903802e+02 2.663341077211e+02 2.675551596241e+02 2.690690543994e+02 2.697578757734e+02 2.700002431263e+02 2.270929612266e-01 2.270946575228e-01 2.270974193240e-01 1.610906043909e-01 1.611044413590e-01 1.611149368122e-01 1.611197734189e-01
4.320000000000e+05 2.605489713188e+02 2.633241084897e+02 2.658539240772e+02 2.671122121954e+02 2.687508362967e+02 2.695774185369e+02 2.699070198697e+02 2.270927101553e-01 2.270942600125e-01 2.270967357379e-01 1.610878768304e-01 1.611007125522e-01 1.611117718072e-01 1.611178253160e-01
5.184000000000e+05 2.604198075069e+02 2.630372948177e+02 2.654967288795e+02 2.667464505783e+02 2.684530520891e+02 2.693878574847e+02 2.697984143962e+02 2.270926548822e-01 2.270940592996e-01 2.270962842174e-01 1.610859129916e-01 1.610976886238e-01 1.611087819104e-01 1.611156957570e-01
6.048000000000e+05 2.597258125390e+02 2.625267324642e+02 2.650857611105e+02 2.663785379548e+02 2.681658500928e+02 2.691935648719e+02 2.696782963121e+02 2.270923765967e-01 2.270937295036e-01 2.270958154129e-01 1.610841607080e-01 1.610951217965e-01 1.611060217961e-01 1.611134993877e-01
6.912000000000e+05 2.593534329527e+02 2.621351783827e+02 2.647180796446e+02 2.660341287571e+02 2.678881222421e+02 2.689969313704e+02 2.695495668166e+02 2.270922391284e-01 2.270934978236e-01 2.270954356682e-01 1.610826880132e-01 1.610929118905e-01 1.611034976530e-01 1.611113121817e-01
7.776000000000e+05 2.591273565536e+02 2.618480258317e+02 2.644084791235e+02 2.657263341782e+02 2.676233729178e+02 2.688003488874e+02 2.694146100413e+02 2.270921593301e-01 2.270933383856e-01 2.270951412994e-01 1.610814894761e-01 1.610910163217e-01 1.611012077640e-01 1.611091849520e-01
8.640000000000e+05 2.592588799280e+02 2.617739156356e+02 2.642091779000e+02 2.654852326042e+02 2.673811394612e+02 2.686076379074e+02 2.692759130231e+02 2.270922054290e-01 2.270932985782e-01 2.270949628613e-01 1.610806175315e-01 1.610894370781e-01 1.610991599886e-01 1.611071569307e-01
9.504000000000e+05 2.585211345434e+02 2.613139378555e+02 2.638831689440e+02 2.652037204309e+02 2.671444092680e+02 2.684182255441e+02 2.691349737536e+02 2.270919578606e-01 2.270930629479e-01 2.270946879422e-01 1.610796723898e-01 1.610880203125e-01 1.610973137333e-01 1.611052431313e-01
1.036800000000e+06 2.582260235607e+02 2.609934689403e+02 2.635878414537e+02 2.649287536151e+02 2.669112618628e+02 2.682310235797e+02 2.689924957344e+02 2.270918658734e-01 2.270929095994e-01 2.270944554874e-01 1.610788127541e-01 1.610867328182e-01 1.610956321160e-01 1.611034435355e-01
1.123200000000e+06 2.579660085369e+02 2.607206342722e+02 2.633195125784e+02 2.646693147975e+02 2.666838014774e+02 2.680458548671e+02 2.688488983903e+02 2.270917878733e-01 2.270927854427e-01 2.270942567015e-01 1.610780537177e-01 1.610855683312e-01 1.610940930627e-01 1.611017533421e-01
