# Observation File: observations.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.243296178796e-01 2.243296178796e-01 2.243296178796e-01 1.595234561558e-01 1.595234561558e-01 1.595234561102e-01 1.595234560374e-01
8.640000000000e+04 2.628185837604e+02 2.660708618762e+02 2.684241284866e+02 2.693426638750e+02 2.700166203555e+02 2.701330036670e+02 2.701472350293e+02 2.243256401718e-01 2.243263674537e-01 2.243275413625e-01 1.595156810694e-01 1.595218801120e-01 1.595232468625e-01 1.595234218315e-01
1.728000000000e+05 2.620067646097e+02 2.649159449593e+02 2.674250649431e+02 2.685610660198e+02 2.697070880800e+02 2.700468517178e+02 2.701219108308e+02 2.243255262824e-01 2.243260416560e-01 2.243269221019e-01 1.595107818286e-01 1.595187085674e-01 1.595222223380e-01 1.595231115210e-01
2.592000000000e+05 2.615726199892e+02 2.642798118748e+02 2.667624930751e+02 2.679595981412e+02 2.693727146049e+02 2.699149607413e+02 2.700716559908e+02 2.243254720992e-01 2.243258992856e-01 2.243266205975e-01 1.595080257843e-01 1.595158778893e-01 1.595207621513e-01 1.595225112156e-01
3.456000000000e+05 2.610559697120e+02 2.637392072905e+02 2.662301832694e+02 2.674628784872e+02 2.690452035664e+02 2.697535983616e+02 2.699979917613e+02 2.243254128204e-01 2.243257937942e-01 2.243264211685e-01 1.595061974099e-01 1.595135593144e-01 1.595191336288e-01 1.595216667236e-01
4.320000000000e+05 2.605022995874e+02 2.632202160458e+02 2.657529822162e+02 2.670221659277e+02 2.687308289028e+02 2.695748536559e+02 2.699049135631e+02 2.243253548112e-01 2.243257035960e-01 2.243262673665e-01 1.595048294477e-01 1.595116623663e-01 1.595175053630e-01 1.595206558357e-01
5.184000000000e+05 2.603797017888e+02 2.629431939955e+02 2.654038182637e+02 2.666627102343e+02 2.684389261827e+02 2.693882465263e+02 2.697971556586e+02 2.243253426650e-01 2.243256593015e-01 2.243261671289e-01 1.595038531734e-01 1.595101313744e-01 1.595159745110e-01 1.595195573239e-01
6.048000000000e+05 2.596808319994e+02 2.624295205096e+02 2.649946397867e+02 2.662986050267e+02 2.681581063662e+02 2.691977977712e+02 2.696785569817e+02 2.243252777619e-01 2.243255833802e-01 2.243260608536e-01 1.595029733652e-01 1.595088311232e-01 1.595145647622e-01 1.595184290458e-01
6.912000000000e+05 2.593116576577e+02 2.620421109704e+02 2.646317310064e+02 2.659592500167e+02 2.678871938501e+02 2.690056500546e+02 2.695519385902e+02 2.243252461951e-01 2.243255308854e-01 2.243259753506e-01 1.595022352060e-01 1.595077110676e-01 1.595132768893e-01 1.595173085572e-01
7.776000000000e+05 2.590890262313e+02 2.617612895989e+02 2.643289667309e+02 2.656581396365e+02 2.676297804771e+02 2.688140563676e+02 2.694196073699e+02 2.243252279823e-01 2.243254951247e-01 2.243259095360e-01 1.595016371373e-01 1.595067507417e-01 1.595121091126e-01 1.595162207729e-01
8.640000000000e+05 2.592275379588e+02 2.616990181497e+02 2.641405691521e+02 2.654267213521e+02 2.673956206626e+02 2.686267551542e+02 2.692839844844e+02 2.243252392431e-01 2.243254874388e-01 2.243258708718e-01 1.595012088961e-01 1.595059530192e-01 1.595110654342e-01 1.595151850740e-01
9.504000000000e+05 2.584815159643e+02 2.612323362709e+02 2.638153199594e+02 2.651495517236e+02 2.671662584229e+02 2.684429421931e+02 2.691464728855e+02 2.243251811742e-01 2.243254324626e-01 2.243258078883e-01 1.595007317971e-01 1.595052339788e-01 1.595101239014e-01 1.595142083339e-01
1.036800000000e+06 2.581900216997e+02 2.609157233325e+02 2.635244822826e+02 2.648797208830e+02 2.669401979134e+02 2.682614272048e+02 2.690076899743e+02 2.243251601026e-01 2.243253976161e-01 2.243257552651e-01 1.595002984919e-01 1.595045786373e-01 1.595092653089e-01 1.595132899188e-01
1.123200000000e+06 2.579319144176e+02 2.606470579023e+02 2.632615262737e+02 2.646260937455e+02 2.667198220710e+02 2.680820148460e+02 2.688679963449e+02 2.243251421376e-01 2.243253694682e-01 2.243257104197e-01 1.594999166603e-01 1.595039851770e-01 1.595084785724e-01 1.595124270469e-01
