name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
alpha_p,0.01,0.00375,0.0025,0.0175,0.0025,0.00374959,-0.00499917,0.00999917
alpha_m,0.00182491,0.000684343,0.000456229,0.0031936,0.000456229,0.000684216,-0.000912203,0.00182466
n_p,2.05,0.5125,1.025,3.075,2.02464,0.512387,0.999866,3.04941
n_m,2.05,0.5125,1.025,3.075,2.04869,0.512487,1.02372,3.07367
wr_p,0.224324,0.0841216,0.056081,0.392567,0.236514,0.0841097,0.0682948,0.404733
wr_m,0.159488,0.059808,0.039872,0.279104,0.176173,0.0598046,0.0565639,0.295782
tcs_p,0.439577,0.164841,0.109894,0.769259,0.450693,0.164838,0.121018,0.780368
tcs_m,0.952105,0.357039,0.238026,1.66618,0.950679,0.357039,0.236602,1.66476
tcd_p,0.101023,0.0378838,0.0252559,0.176791,0.110229,0.0378838,0.0344611,0.185996
tcd_m,0.984405,0.369152,0.246101,1.72271,0.984512,0.369152,0.246208,1.72282
af_p,1.50511,0.564418,0.376279,2.63395,1.50459,0.564415,0.375761,2.63342
af_m,1.49939,0.562271,0.374847,2.62393,1.49943,0.562271,0.374891,2.62397
auf_p,0.486935,0.182601,0.121734,0.852137,0.481247,0.1826,0.116047,0.846448
auf_m,0.698884,0.262082,0.174721,1.22305,0.698884,0.262082,0.174721,1.22305
por_p,0.637395,0.239023,0.159349,1.11544,0.664509,0.238957,0.186595,1.14242
por_m,0.481031,0.180387,0.120258,0.841804,0.483249,0.180361,0.122526,0.843972
perm_p,5.34662e-11,2.00498e-11,1.33666e-11,9.35659e-11,1.33666e-11,2.00498e-11,-2.67331e-11,5.34662e-11
perm_m,1e-13,3.75e-14,2.5e-14,1.75e-13,2.5e-14,3.74999e-14,-4.99999e-14,9.99999e-14
den_p,900,337.5,225,1575,900,336.567,226.867,1573.13
den_m,1900,475,950,2850,1900,474.417,951.166,2848.83
