# Observation File: observations.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.650000000000e+02 2.650000000000e+02 2.650000000000e+02 2.650000000000e+02 2.650000000000e+02 2.650000000000e+02 2.650000000000e+02 2.243260587047e-01 2.243260587037e-01 2.243260587027e-01 1.595004641307e-01 1.595004641052e-01 1.595004640764e-01 1.595004640509e-01
8.640000000000e+04 2.649517275033e+02 2.649718542211e+02 2.649846521608e+02 2.649922899697e+02 2.649986109860e+02 2.649998173159e+02 2.649999705180e+02 2.243260468782e-01 2.243260517907e-01 2.243260549270e-01 1.595004518726e-01 1.595004618950e-01 1.595004637857e-01 1.595004640040e-01
1.728000000000e+05 2.648300456878e+02 2.648893351153e+02 2.649310950979e+02 2.649592299086e+02 2.649885556377e+02 2.649974028741e+02 2.649993125563e+02 2.243260176660e-01 2.243260317894e-01 2.243260418625e-01 1.595003995372e-01 1.595004459184e-01 1.595004599445e-01 1.595004629569e-01
2.592000000000e+05 2.646744168889e+02 2.647741844251e+02 2.648495355588e+02 2.649039512055e+02 2.649677271221e+02 2.649911334646e+02 2.649972648908e+02 2.243259815579e-01 2.243260045470e-01 2.243260222859e-01 1.595003128965e-01 1.595004129490e-01 1.595004499811e-01 1.595004596995e-01
3.456000000000e+05 2.644489835292e+02 2.646064862841e+02 2.647284741856e+02 2.648192903180e+02 2.649324319565e+02 2.649790049777e+02 2.649928091941e+02 2.243259316029e-01 2.243259662200e-01 2.243259939448e-01 1.595001825115e-01 1.595003573811e-01 1.595004307510e-01 1.595004526171e-01
4.320000000000e+05 2.641117691143e+02 2.643557738576e+02 2.645467801983e+02 2.646910115682e+02 2.648765784448e+02 2.649582962848e+02 2.649845919729e+02 2.243258616470e-01 2.243259117157e-01 2.243259529443e-01 1.594999900958e-01 1.595002704308e-01 1.595003980516e-01 1.595004395766e-01
5.184000000000e+05 2.638053048581e+02 2.641026375142e+02 2.643465781239e+02 2.645385094243e+02 2.648011028986e+02 2.649272449636e+02 2.649712795663e+02 2.243258025603e-01 2.243258598270e-01 2.243259097772e-01 1.594997690096e-01 1.595001548416e-01 1.595003492387e-01 1.595004185072e-01
6.048000000000e+05 2.634173480995e+02 2.637935199509e+02 2.641046464334e+02 2.643530037789e+02 2.647045218407e+02 2.648844028334e+02 2.649516288798e+02 2.243257332338e-01 2.243258003675e-01 2.243258602271e-01 1.594995107118e-01 1.595000100361e-01 1.595002825027e-01 1.595003875344e-01
6.912000000000e+05 2.630089607666e+02 2.634563832794e+02 2.638330653110e+02 2.641391796187e+02 2.645867511050e+02 2.648286957259e+02 2.649245453449e+02 2.243256661325e-01 2.243257399516e-01 2.243258077483e-01 1.594992265312e-01 1.594998380103e-01 1.595001967809e-01 1.595003450124e-01
7.776000000000e+05 2.627157228852e+02 2.631802202176e+02 2.635869587745e+02 2.639291213609e+02 2.644559382284e+02 2.647610824256e+02 2.648895655323e+02 2.243256212743e-01 2.243256935848e-01 2.243257628324e-01 1.594989604484e-01 1.594996525399e-01 1.595000943069e-01 1.595002905071e-01
