# Observation File: observations.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.650000000000e+02 2.650000000000e+02 2.650000000000e+02 2.650000000000e+02 2.650000000000e+02 2.650000000000e+02 2.650000000000e+02 2.243242943022e-01 2.243242943021e-01 2.243242943020e-01 1.595004641307e-01 1.595004641052e-01 1.595004640764e-01 1.595004640509e-01
8.640000000000e+04 2.649517272247e+02 2.649718538751e+02 2.649846518886e+02 2.649922898275e+02 2.649986109584e+02 2.649998173108e+02 2.649999705165e+02 2.243242931661e-01 2.243242936379e-01 2.243242939392e-01 1.595004518724e-01 1.595004618949e-01 1.595004637857e-01 1.595004640040e-01
1.728000000000e+05 2.648300448739e+02 2.648893340718e+02 2.649310941921e+02 2.649592293540e+02 2.649885554758e+02 2.649974028356e+02 2.649993125455e+02 2.243242903658e-01 2.243242917186e-01 2.243242926847e-01 1.595003995363e-01 1.595004459181e-01 1.595004599444e-01 1.595004629569e-01
2.592000000000e+05 2.646744155265e+02 2.647741826672e+02 2.648495339460e+02 2.649039501271e+02 2.649677267376e+02 2.649911333533e+02 2.649972648551e+02 2.243242869162e-01 2.243242891109e-01 2.243242908081e-01 1.595003128949e-01 1.595004129484e-01 1.595004499809e-01 1.595004596994e-01
3.456000000000e+05 2.644489813953e+02 2.646064835580e+02 2.647284716345e+02 2.648192885407e+02 2.649324312489e+02 2.649790047447e+02 2.649928091108e+02 2.243242821655e-01 2.243242854548e-01 2.243242880981e-01 1.595001825087e-01 1.595003573800e-01 1.595004307506e-01 1.595004526170e-01
4.320000000000e+05 2.641117658885e+02 2.643557697630e+02 2.645467763279e+02 2.646910088127e+02 2.648765772766e+02 2.649582958657e+02 2.649845918109e+02 2.243242755562e-01 2.243242802813e-01 2.243242841919e-01 1.594999900917e-01 1.595002704290e-01 1.595003980510e-01 1.595004395763e-01
5.184000000000e+05 2.638053009760e+02 2.641026326016e+02 2.643465733210e+02 2.645385058235e+02 2.648011012143e+02 2.649272443008e+02 2.649712792907e+02 2.243242700144e-01 2.243242753849e-01 2.243242800979e-01 1.594997690045e-01 1.595001548390e-01 1.595003492377e-01 1.595004185067e-01
6.048000000000e+05 2.634173432972e+02 2.637935139686e+02 2.641046405460e+02 2.643529992631e+02 2.647045195887e+02 2.648844018769e+02 2.649516284549e+02 2.243242635612e-01 2.243242698094e-01 2.243242754225e-01 1.594995107056e-01 1.595000100327e-01 1.595002825012e-01 1.595003875337e-01
6.912000000000e+05 2.630089551885e+02 2.634563763936e+02 2.638330584508e+02 2.641391742222e+02 2.645867482542e+02 2.648286944333e+02 2.649245447365e+02 2.243242573670e-01 2.243242641841e-01 2.243242704994e-01 1.594992265242e-01 1.594998380062e-01 1.595001967790e-01 1.595003450114e-01
7.776000000000e+05 2.627157170280e+02 2.631802131162e+02 2.635869515478e+02 2.639291154345e+02 2.644559348477e+02 2.647610807814e+02 2.648895647143e+02 2.243242532556e-01 2.243242598948e-01 2.243242663097e-01 1.594989604410e-01 1.594996525352e-01 1.595000943045e-01 1.595002905058e-01
