# Observation File: observations.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.243296178796e-01 2.243296178796e-01 2.243296178796e-01 1.595234561558e-01 1.595234561558e-01 1.595234561102e-01 1.595234560374e-01
8.640000000000e+04 2.690190110094e+02 2.695798386121e+02 2.699309982214e+02 2.700523203086e+02 2.701347698493e+02 2.701481259160e+02 2.701497005421e+02 2.243280565635e-01 2.243287040703e-01 2.243292276192e-01 1.595222873834e-01 1.595232685923e-01 1.595234329186e-01 1.595234523296e-01
1.728000000000e+05 2.674622722679e+02 2.686371383252e+02 2.694649920903e+02 2.697829715633e+02 2.700589732024e+02 2.701302264936e+02 2.701447839559e+02 2.243269411716e-01 2.243277098424e-01 2.243285550109e-01 1.595194289576e-01 1.595223639965e-01 1.595232129012e-01 1.595233915629e-01
2.592000000000e+05 2.661307614990e+02 2.677022150057e+02 2.689278312760e+02 2.694311782967e+02 2.699310673822e+02 2.700908783393e+02 2.701315294864e+02 2.243263873553e-01 2.243270705681e-01 2.243279679313e-01 1.595163347040e-01 1.595209377316e-01 1.595227385147e-01 1.595232287547e-01
3.456000000000e+05 2.645628662014e+02 2.666269977027e+02 2.682922177599e+02 2.689970151728e+02 2.697511636200e+02 2.700256118683e+02 2.701062790416e+02 2.243259599624e-01 2.243265666663e-01 2.243274446168e-01 1.595132541074e-01 1.595191188055e-01 1.595219786491e-01 1.595229226183e-01
4.320000000000e+05 2.623512906504e+02 2.651734392524e+02 2.674558075131e+02 2.684300528027e+02 2.695074607556e+02 2.699289742445e+02 2.700653031494e+02 2.243255724682e-01 2.243261059170e-01 2.243269378399e-01 1.595101031431e-01 1.595169491690e-01 1.595209114783e-01 1.595224367568e-01
5.184000000000e+05 2.615564374407e+02 2.643355320500e+02 2.667991369821e+02 2.679036519067e+02 2.692289106315e+02 2.698026135936e+02 2.700065536036e+02 2.243254701601e-01 2.243259109140e-01 2.243266355885e-01 1.595077930580e-01 1.595148062681e-01 1.595196112881e-01 1.595217627937e-01
6.048000000000e+05 2.599341825724e+02 2.632055087823e+02 2.660528337477e+02 2.673338694380e+02 2.689176708877e+02 2.696485789169e+02 2.699292062014e+02 2.243253004749e-01 2.243257011807e-01 2.243263615313e-01 1.595057748401e-01 1.595127523499e-01 1.595181563114e-01 1.595209138936e-01
6.912000000000e+05 2.587574150963e+02 2.622332002572e+02 2.653416764905e+02 2.667631193041e+02 2.685822231808e+02 2.694697715752e+02 2.698333673936e+02 2.243252019281e-01 2.243255563002e-01 2.243261502528e-01 1.595041203881e-01 1.595108581189e-01 1.595166237351e-01 1.595199183130e-01
7.776000000000e+05 2.577126553940e+02 2.613582764860e+02 2.646714741172e+02 2.662063863532e+02 2.682318579018e+02 2.692699104825e+02 2.697199246094e+02 2.243251273621e-01 2.243254468583e-01 2.243259843482e-01 1.595027734377e-01 1.595091607130e-01 1.595150818704e-01 1.595188135102e-01
