name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
alpha_p,0.01,0.00375,0.0025,0.0175,0.01,0.00374999,0.00250003,0.0175
alpha_m,0.00182491,0.000684343,0.000456229,0.0031936,0.00182491,0.000684324,0.000456266,0.00319356
n_p,2.05,0.5125,1.025,3.075,2.05,0.512495,1.02501,3.07499
n_m,2.05,0.5125,1.025,3.075,2.05,0.512417,1.02517,3.07483
wr_p,0.224324,0.0841216,0.056081,0.392567,0.224324,0.0841143,0.0560955,0.392553
wr_m,0.159488,0.059808,0.039872,0.279104,0.159488,0.0598047,0.0398787,0.279097
tcs_p,0.439577,0.164841,0.109894,0.769259,0.439577,0.164808,0.10996,0.769193
tcs_m,0.952105,0.357039,0.238026,1.66618,0.952105,0.357029,0.238047,1.66616
tcd_p,0.101023,0.0378838,0.0252559,0.176791,0.101023,0.0378835,0.0252563,0.17679
tcd_m,0.984405,0.369152,0.246101,1.72271,0.984405,0.369151,0.246103,1.72271
af_p,1.50511,0.564418,0.376279,2.63395,1.50511,0.564391,0.376333,2.6339
af_m,1.49939,0.562271,0.374847,2.62393,1.49939,0.562267,0.374856,2.62392
auf_p,0.486935,0.182601,0.121734,0.852137,0.486935,0.182596,0.121744,0.852127
auf_m,0.698884,0.262082,0.174721,1.22305,0.698884,0.26208,0.174724,1.22304
por_p,0.637395,0.239023,0.159349,1.11544,0.637395,0.238858,0.159679,1.11511
por_m,0.481031,0.180387,0.120258,0.841804,0.481031,0.180348,0.120334,0.841727
perm_p,5.34662e-11,2.00498e-11,1.33666e-11,9.35659e-11,5.34662e-11,2.00498e-11,1.33667e-11,9.35657e-11
perm_m,1e-13,3.75e-14,2.5e-14,1.75e-13,1e-13,3.74998e-14,2.50004e-14,1.75e-13
den_p,900,337.5,225,1575,900,337.499,225.003,1575
den_m,1900,475,950,2850,1900,474.998,950.004,2850
albedo_bg,0.55,0.20625,0.1375,0.9625,0.55,0.206215,0.137569,0.962431
e_bg,0.55,0.20625,0.1375,0.9625,0.55,0.206176,0.137647,0.962353
pen_w,0.01,0.00375,0.0025,0.0175,0.01,0.00374998,0.00250004,0.0175
pen_s,0.02,0.0075,0.005,0.035,0.02,0.00749997,0.00500006,0.0349999
z_bg,0.04,0.015,0.01,0.07,0.04,0.0149996,0.0100009,0.0699991
z_s,0.005,0.001875,0.00125,0.00875,0.005,0.00187499,0.00125002,0.00874998
