iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m,albedo_bg,e_bg,pen_w,pen_s,z_bg,z_s
0,0,0.1,1,0.00982631,0.0012108,2.04945,2.05173,0.215032,0.163029,0.45779,0.950123,0.103777,0.984357,1.50343,1.49939,0.482101,0.698704,0.594681,0.480954,2.29009e-11,7.43698e-14,900,1900,0.556299,0.561726,0.00971329,0.0189948,0.0552194,0.005
0,0,0.1,0.75,0.00986973,0.00136433,2.04959,2.0513,0.217355,0.162144,0.453236,0.950619,0.103089,0.984369,1.50385,1.49939,0.483309,0.698749,0.60536,0.480973,3.05422e-11,8.07774e-14,900,1900,0.554724,0.558794,0.00978497,0.0192461,0.0514145,0.005
0,0,1,1,0.00672273,0.00150065,2.04996,2.05007,0.222824,0.15975,0.441617,0.951954,0.101357,0.984406,1.50484,1.49939,0.486404,0.69886,0.632155,0.481012,4.18895e-11,7.15993e-14,900,1900,0.551262,0.552102,0.00970431,0.0203647,0.0453464,0.005
0,0,1,0.75,0.00754205,0.00158172,2.04997,2.05005,0.223199,0.159684,0.441107,0.951992,0.101274,0.984406,1.50491,1.49939,0.486536,0.698866,0.633465,0.481017,4.47837e-11,7.86995e-14,900,1900,0.550947,0.551577,0.00977823,0.0202735,0.0440098,0.005
0,0,10,1,0.0100003,0.00182487,2.05,2.05,0.224157,0.15948,0.439792,0.952088,0.101044,0.984404,1.50508,1.49939,0.486879,0.698878,0.636855,0.481031,5.34678e-11,1.00015e-13,900,1900,0.550148,0.550246,0.0100002,0.0199786,0.0406303,0.005
0,0,10,0.75,0.0100002,0.00182488,2.05,2.05,0.224199,0.159482,0.439738,0.952092,0.101039,0.984404,1.50509,1.49939,0.486893,0.698879,0.63699,0.481031,5.34674e-11,1.00011e-13,900,1900,0.550111,0.550184,0.0100002,0.019984,0.0404727,0.005
0,0,100,1,0.01,0.00182491,2.05,2.05,0.224307,0.159487,0.439598,0.952103,0.101026,0.984405,1.50511,1.49939,0.48693,0.698883,0.637341,0.481031,5.34662e-11,1e-13,900,1900,0.550015,0.550025,0.01,0.0199983,0.0400647,0.005
0,0,100,0.75,0.01,0.00182491,2.05,2.05,0.224312,0.159487,0.439593,0.952104,0.101025,0.984405,1.50511,1.49939,0.486931,0.698884,0.637354,0.481031,5.34662e-11,1e-13,900,1900,0.550011,0.550019,0.01,0.0199987,0.0400485,0.005
0,0,1000,1,0.01,0.00182491,2.05,2.05,0.224322,0.159488,0.439579,0.952105,0.101024,0.984405,1.50511,1.49939,0.486935,0.698884,0.63739,0.481031,5.34662e-11,1e-13,900,1900,0.550002,0.550002,0.01,0.0199998,0.0400065,0.005
0,0,1000,0.75,0.01,0.00182491,2.05,2.05,0.224323,0.159488,0.439578,0.952105,0.101024,0.984405,1.50511,1.49939,0.486935,0.698884,0.637391,0.481031,5.34662e-11,1e-13,900,1900,0.550001,0.550002,0.01,0.0199999,0.0400049,0.005
