# Observation File: observations.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.243296178796e-01 2.243296178796e-01 2.243296178796e-01 1.595234561558e-01 1.595234561558e-01 1.595234561102e-01 1.595234560374e-01
8.640000000000e+04 2.690201865997e+02 2.695817436379e+02 2.699346129775e+02 2.700528535274e+02 2.701341577104e+02 2.701478574461e+02 2.701496253784e+02 2.243280577325e-01 2.243287066258e-01 2.243292336186e-01 1.595222934821e-01 1.595232610930e-01 1.595234295987e-01 1.595234513991e-01
1.728000000000e+05 2.674679947113e+02 2.686452164805e+02 2.694776629888e+02 2.697870287384e+02 2.700571296683e+02 2.701283909514e+02 2.701439134345e+02 2.243269441272e-01 2.243277165535e-01 2.243285709875e-01 1.595194680774e-01 1.595223425150e-01 1.595231904900e-01 1.595233808249e-01
2.592000000000e+05 2.661428119588e+02 2.677187696688e+02 2.689519619663e+02 2.694412472173e+02 2.699284555749e+02 2.700864472910e+02 2.701289293951e+02 2.243263914012e-01 2.243270799282e-01 2.243279910037e-01 1.595164140279e-01 1.595209096071e-01 1.595226858758e-01 1.595231969889e-01
3.456000000000e+05 2.645826587943e+02 2.666540824371e+02 2.683304119015e+02 2.690153354836e+02 2.697485461582e+02 2.700177928889e+02 2.701009235201e+02 2.243259643592e-01 2.243265772623e-01 2.243274720707e-01 1.595133694844e-01 1.595190932962e-01 1.595218897935e-01 1.595228583560e-01
4.320000000000e+05 2.623812955331e+02 2.652142962181e+02 2.675125187602e+02 2.684593071813e+02 2.695054673841e+02 2.699169676453e+02 2.700560781765e+02 2.243255766342e-01 2.243261165068e-01 2.243269673338e-01 1.595102451796e-01 1.595169317385e-01 1.595207834553e-01 1.595223291931e-01
5.184000000000e+05 2.615959006493e+02 2.643894627932e+02 2.668722743213e+02 2.679453162216e+02 2.692292993353e+02 2.697863534446e+02 2.699925760355e+02 2.243254748986e-01 2.243259223135e-01 2.243266660455e-01 1.595079566548e-01 1.595148077545e-01 1.595194512508e-01 1.595216062310e-01
6.048000000000e+05 2.599839689411e+02 2.632734870369e+02 2.661441035252e+02 2.673888671949e+02 2.689215699573e+02 2.696282885616e+02 2.699098651414e+02 2.243253050440e-01 2.243257124063e-01 2.243263918357e-01 1.595059502171e-01 1.595127745769e-01 1.595179743733e-01 1.595207081139e-01
6.912000000000e+05 2.588171523552e+02 2.623151118985e+02 2.654508167704e+02 2.668321775993e+02 2.685907543294e+02 2.694459094987e+02 2.698083185415e+02 2.243252065300e-01 2.243255674764e-01 2.243261800781e-01 1.595043026787e-01 1.595109009556e-01 1.595164306768e-01 1.595196677498e-01
7.776000000000e+05 2.577812929479e+02 2.614533229506e+02 2.647976869551e+02 2.662896619854e+02 2.682460301549e+02 2.692431364740e+02 2.696890868958e+02 2.243251319408e-01 2.243254579336e-01 2.243260135046e-01 1.595029591074e-01 1.595092226273e-01 1.595148875943e-01 1.595185260154e-01
8.640000000000e+05 2.580663934913e+02 2.612864941986e+02 2.644346384291e+02 2.658923056800e+02 2.679229327264e+02 2.690302537252e+02 2.695555487279e+02 2.243251514187e-01 2.243254386147e-01 2.243259319738e-01 1.595021017155e-01 1.595078533481e-01 1.595134349224e-01 1.595173393840e-01
9.504000000000e+05 2.567853159547e+02 2.604937397652e+02 2.638994385164e+02 2.654485686502e+02 2.676020080800e+02 2.688105209842e+02 2.694106309292e+02 2.243250693736e-01 2.243253539553e-01 2.243258237419e-01 1.595012549385e-01 1.595066547748e-01 1.595120885572e-01 1.595161498426e-01
1.036800000000e+06 2.568349879399e+02 2.602432950778e+02 2.635484365341e+02 2.650869273394e+02 2.672977469875e+02 2.685886118811e+02 2.692572891639e+02 2.243250723077e-01 2.243253294294e-01 2.243257594757e-01 1.595006335614e-01 1.595056420227e-01 1.595108636572e-01 1.595149899232e-01
1.123200000000e+06 2.565917239625e+02 2.599709630187e+02 2.632390801367e+02 2.647693992268e+02 2.670133201648e+02 2.683686898780e+02 2.690984671468e+02 2.243250581114e-01 2.243253038470e-01 2.243257067047e-01 1.595001332983e-01 1.595047878660e-01 1.595097645982e-01 1.595138833498e-01
1.209600000000e+06 2.582264196132e+02 2.606622201301e+02 2.633430625047e+02 2.646744794067e+02 2.667907998796e+02 2.681627208531e+02 2.689392272526e+02 2.243251626874e-01 2.243253710236e-01 2.243257240611e-01 1.594999871961e-01 1.595041726993e-01 1.595088252929e-01 1.595128596982e-01
1.296000000000e+06 2.585653629656e+02 2.609390941075e+02 2.634060312657e+02 2.646271234558e+02 2.666193418625e+02 2.679772957772e+02 2.687846123155e+02 2.243251873960e-01 2.243254001248e-01 2.243257347565e-01 1.594999151149e-01 1.595037273922e-01 1.595080452169e-01 1.595119389606e-01
1.382400000000e+06 2.582519496043e+02 2.608133718603e+02 2.633198605450e+02 2.645294351742e+02 2.664677985232e+02 2.678097918510e+02 2.686370655718e+02 2.243251645083e-01 2.243253867442e-01 2.243257201556e-01 1.594997736038e-01 1.595033536754e-01 1.595073882461e-01 1.595111205765e-01
1.468800000000e+06 2.567095330141e+02 2.599698395574e+02 2.629099404389e+02 2.642623008678e+02 2.662898743164e+02 2.676479868056e+02 2.684947696573e+02 2.243250649324e-01 2.243253037437e-01 2.243256541498e-01 1.594994066404e-01 1.595029378951e-01 1.595067925439e-01 1.595103816581e-01
1.555200000000e+06 2.568051943289e+02 2.597780656971e+02 2.626705191188e+02 2.640334879813e+02 2.661034417100e+02 2.674870647720e+02 2.683553756904e+02 2.243250705456e-01 2.243252863743e-01 2.243256180484e-01 1.594991084145e-01 1.595025254128e-01 1.595062346879e-01 1.595097013777e-01
1.641600000000e+06 2.556978154392e+02 2.591123451896e+02 2.622712389984e+02 2.637309507015e+02 2.658971341333e+02 2.673222378711e+02 2.682162955141e+02 2.243250094444e-01 2.243252298621e-01 2.243255614688e-01 1.594987379233e-01 1.595020946214e-01 1.595056960217e-01 1.595090618796e-01
1.728000000000e+06 2.548490000626e+02 2.584662428540e+02 2.618343805190e+02 2.633874024658e+02 2.656687350645e+02 2.671497267154e+02 2.680750331155e+02 2.243249677637e-01 2.243251800488e-01 2.243255042569e-01 1.594983456217e-01 1.595016462775e-01 1.595051647213e-01 1.595084491095e-01
1.814400000000e+06 2.507504967299e+02 2.561577600520e+02 2.607002313019e+02 2.626787527572e+02 2.653434191317e+02 2.669508111009e+02 2.679250256261e+02 2.243248122202e-01 2.243250338258e-01 2.243253749400e-01 1.594976226543e-01 1.595010553389e-01 1.595045897110e-01 1.595078355705e-01
1.900800000000e+06 2.500209274400e+02 2.551455822141e+02 2.598824536061e+02 2.620181498496e+02 2.649641368460e+02 2.667207571772e+02 2.677608152471e+02 2.243247904988e-01 2.243249818664e-01 2.243252957649e-01 1.594970310418e-01 1.595004267411e-01 1.595039701513e-01 1.595072040624e-01
1.987200000000e+06 2.497050273175e+02 2.546124648589e+02 2.593090581240e+02 2.614772277391e+02 2.645794754989e+02 2.664680991925e+02 2.675814406675e+02 2.243247815286e-01 2.243249568500e-01 2.243252459790e-01 1.594965964250e-01 1.594998467142e-01 1.595033400803e-01 1.595065578444e-01
2.073600000000e+06 2.517242777291e+02 2.553921058835e+02 2.593359143122e+02 2.612651252480e+02 2.642659320073e+02 2.662158693943e+02 2.673926398270e+02 2.243248436065e-01 2.243249939589e-01 2.243252482160e-01 1.594964344871e-01 1.594994108024e-01 1.595027580041e-01 1.595059222311e-01
2.160000000000e+06 2.530834176638e+02 2.561765531470e+02 2.595485822202e+02 2.612421815129e+02 2.640408048260e+02 2.659841555611e+02 2.672034306133e+02 2.243248926993e-01 2.243250348510e-01 2.243252662511e-01 1.594964151316e-01 1.594991159099e-01 1.595022602803e-01 1.595053267304e-01
2.246400000000e+06 2.552143945653e+02 2.574011757120e+02 2.600311351819e+02 2.614221239659e+02 2.639160333219e+02 2.657885894819e+02 2.670235274684e+02 2.243249852073e-01 2.243251071000e-01 2.243253094055e-01 1.594965464845e-01 1.594989578120e-01 1.595018651934e-01 1.595047954740e-01
2.332800000000e+06 2.570952748782e+02 2.586366519053e+02 2.606265965793e+02 2.617316066837e+02 2.638842246410e+02 2.656379427543e+02 2.668612172039e+02 2.243250879884e-01 2.243251927440e-01 2.243253673753e-01 1.594967847663e-01 1.594989168259e-01 1.595015752328e-01 1.595043428980e-01
2.419200000000e+06 2.584177625310e+02 2.596231854740e+02 2.611862727291e+02 2.620768615722e+02 2.639201185020e+02 2.655324970470e+02 2.667216730677e+02 2.243251764923e-01 2.243252727160e-01 2.243254272750e-01 1.594970677583e-01 1.594989594165e-01 1.595013792703e-01 1.595039725278e-01
