name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
tcd_p,0.101023,0.0378838,0.0252559,0.176791,0.101023,0.0378835,0.0252563,0.17679
tcd_m,0.984405,0.369152,0.246101,1.72271,0.984405,0.369151,0.246103,1.72271
af_m,1.49939,0.562271,0.374847,2.62393,1.49939,0.562267,0.374856,2.62392
auf_p,0.486935,0.182601,0.121734,0.852137,0.486935,0.182596,0.121744,0.852127
por_p,0.637395,0.239023,0.159349,1.11544,0.637395,0.238858,0.159679,1.11511
perm_m,1e-13,3.75e-14,2.5e-14,1.75e-13,1e-13,3.74998e-14,2.50004e-14,1.75e-13
den_p,900,337.5,225,1575,900,337.499,225.003,1575
den_m,1900,475,950,2850,1900,474.998,950.004,2850
albedo_bg,0.55,0.20625,0.1375,0.9625,0.55,0.206215,0.137569,0.962431
e_bg,0.55,0.20625,0.1375,0.9625,0.55,0.206176,0.137647,0.962353
pen_w,0.01,0.00375,0.0025,0.0175,0.01,0.00374998,0.00250004,0.0175
pen_s,0.02,0.0075,0.005,0.035,0.02,0.00749997,0.00500006,0.0349999
z_bg,0.04,0.015,0.01,0.07,0.04,0.0149996,0.0100009,0.0699991
