iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m,albedo_bg,e_bg,pen_w,pen_s,z_bg,z_s
0,0,0.1,1,0.01,0.00182491,2.05,2.05,0.224324,0.159488,0.439577,0.952105,0.103416,0.984313,1.50511,1.49939,0.482185,0.698884,0.596381,0.481031,5.34662e-11,1.02125e-13,900,1900,0.556831,0.562798,0.0025,0.0215958,0.0591072,0.005
0,0,0.1,0.75,0.01,0.00182491,2.05,2.05,0.224324,0.159488,0.439577,0.952105,0.102818,0.984336,1.50511,1.49939,0.483373,0.698884,0.606634,0.481031,5.34662e-11,1.01594e-13,900,1900,0.555123,0.559598,0.004375,0.0211969,0.0543304,0.005
0,0,1,1,0.01,0.00182491,2.05,2.05,0.224324,0.159488,0.439577,0.952105,0.101279,0.984397,1.50511,1.49939,0.48639,0.698884,0.63212,0.481031,5.34662e-11,7.67863e-14,900,1900,0.551326,0.552221,0.00902073,0.0202559,0.045472,0.005
0,0,1,0.75,0.01,0.00182491,2.05,2.05,0.224324,0.159488,0.439577,0.952105,0.101215,0.984399,1.50511,1.49939,0.486527,0.698884,0.633439,0.481031,5.34662e-11,8.25897e-14,900,1900,0.550995,0.551666,0.00926555,0.0201919,0.044104,0.005
0,0,10,1,0.01,0.00182491,2.05,2.05,0.224324,0.159488,0.439577,0.952105,0.101049,0.984405,1.50511,1.49939,0.486881,0.698884,0.636856,0.481031,5.34662e-11,7.96907e-14,900,1900,0.550152,0.55025,0.00992705,0.0200337,0.0406624,0.005
0,0,10,0.75,0.01,0.00182491,2.05,2.05,0.224324,0.159488,0.439577,0.952105,0.101042,0.984405,1.50511,1.49939,0.486895,0.698884,0.636991,0.481031,5.34662e-11,8.4768e-14,900,1900,0.550114,0.550187,0.00994529,0.0200253,0.0404968,0.005
0,0,100,1,0.01,0.00182491,2.05,2.05,0.224324,0.159488,0.439577,0.952105,0.101026,0.984405,1.50511,1.49939,0.48693,0.698884,0.637341,0.481031,5.34662e-11,8.04665e-14,900,1900,0.550015,0.550025,0.00999311,0.0200035,0.0400677,0.005
0,0,100,0.75,0.01,0.00182491,2.05,2.05,0.224324,0.159488,0.439577,0.952105,0.101025,0.984405,1.50511,1.49939,0.486931,0.698884,0.637354,0.481031,5.34662e-11,8.53499e-14,900,1900,0.550012,0.550019,0.00999484,0.0200026,0.0400508,0.005
0,0,1000,1,0.01,0.00182491,2.05,2.05,0.224324,0.159488,0.439577,0.952105,0.101024,0.984405,1.50511,1.49939,0.486935,0.698884,0.63739,0.481031,5.34662e-11,8.05511e-14,900,1900,0.550002,0.550003,0.00999932,0.0200004,0.0400068,0.005
0,0,1000,0.75,0.01,0.00182491,2.05,2.05,0.224324,0.159488,0.439577,0.952105,0.101024,0.984405,1.50511,1.49939,0.486935,0.698884,0.637391,0.481031,5.34662e-11,8.54133e-14,900,1900,0.550001,0.550002,0.00999949,0.0200003,0.0400051,0.005
