# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.243296144196e-01 2.243296144196e-01 2.243296144196e-01 1.595234513451e-01 1.595234513451e-01 1.595234512995e-01 1.595234512266e-01
8.640000000000e+04 2.690190123939e+02 2.695798397278e+02 2.699309988375e+02 2.700523206374e+02 2.701347699093e+02 2.701481259223e+02 2.701497005430e+02 2.243280531049e-01 2.243287006118e-01 2.243292241603e-01 1.595222825765e-01 1.595232637823e-01 1.595234281079e-01 1.595234475189e-01
1.728000000000e+05 2.674622730936e+02 2.686371390477e+02 2.694649925727e+02 2.697829718981e+02 2.700589733176e+02 2.701302265223e+02 2.701447839638e+02 2.243269377120e-01 2.243277063831e-01 2.243285515516e-01 1.595194241502e-01 1.595223591872e-01 1.595232080908e-01 1.595233867523e-01
2.592000000000e+05 2.661307620076e+02 2.677022154876e+02 2.689278316496e+02 2.694311785929e+02 2.699310675221e+02 2.700908783891e+02 2.701315295043e+02 2.243263838955e-01 2.243270671084e-01 2.243279644716e-01 1.595163298958e-01 1.595209329224e-01 1.595227337045e-01 1.595232239442e-01
3.456000000000e+05 2.645628665315e+02 2.666269980367e+02 2.682922180501e+02 2.689970154237e+02 2.697511637655e+02 2.700256119335e+02 2.701062790697e+02 2.243259565025e-01 2.243265632064e-01 2.243274411570e-01 1.595132492984e-01 1.595191139962e-01 1.595219738392e-01 1.595229178079e-01
4.320000000000e+05 2.623512908806e+02 2.651734394937e+02 2.674558077407e+02 2.684300530117e+02 2.695074608962e+02 2.699289743191e+02 2.700653031864e+02 2.243255690082e-01 2.243261024570e-01 2.243269343800e-01 1.595100983337e-01 1.595169443596e-01 1.595209066684e-01 1.595224319465e-01
5.184000000000e+05 2.615564376113e+02 2.643355322350e+02 2.667991371664e+02 2.679036520826e+02 2.692289107628e+02 2.698026136728e+02 2.700065536474e+02 2.243254667001e-01 2.243259074540e-01 2.243266321286e-01 1.595077882483e-01 1.595148014584e-01 1.595196064782e-01 1.595217579834e-01
6.048000000000e+05 2.599341827038e+02 2.632055089270e+02 2.660528338984e+02 2.673338695864e+02 2.689176710080e+02 2.696485789970e+02 2.699292062499e+02 2.243252970149e-01 2.243256977207e-01 2.243263580714e-01 1.595057700302e-01 1.595127475401e-01 1.595181515015e-01 1.595209090834e-01
6.912000000000e+05 2.587574152034e+02 2.622332003755e+02 2.653416766168e+02 2.667631194311e+02 2.685822232901e+02 2.694697716540e+02 2.698333674449e+02 2.243251984681e-01 2.243255528403e-01 2.243261467928e-01 1.595041155781e-01 1.595108533090e-01 1.595166189252e-01 1.595199135028e-01
7.776000000000e+05 2.577126554833e+02 2.613582765851e+02 2.646714742249e+02 2.662063864630e+02 2.682318580007e+02 2.692699105584e+02 2.697199246619e+02 2.243251239021e-01 2.243254433983e-01 2.243259808882e-01 1.595027686276e-01 1.595091559030e-01 1.595150770604e-01 1.595188087000e-01
8.640000000000e+05 2.579947908201e+02 2.611835266693e+02 2.642974938141e+02 2.657965151167e+02 2.679017280324e+02 2.690586450527e+02 2.695917953941e+02 2.243251429959e-01 2.243254235071e-01 2.243258994994e-01 1.595019065426e-01 1.595077667159e-01 1.595136148956e-01 1.595176476374e-01
9.504000000000e+05 2.567061693578e+02 2.603806724557e+02 2.637488171918e+02 2.653409714455e+02 2.675738897911e+02 2.688395923666e+02 2.694517198670e+02 2.243250612762e-01 2.243253393002e-01 2.243257921008e-01 1.595010608121e-01 1.595065536167e-01 1.595122538001e-01 1.595164726002e-01
1.036800000000e+06 2.567541473339e+02 2.601239337190e+02 2.633883498835e+02 2.649687079112e+02 2.672623804180e+02 2.686174244126e+02 2.693025343774e+02 2.243250640819e-01 2.243253146214e-01 2.243257282790e-01 1.595004394227e-01 1.595055283477e-01 1.595110109426e-01 1.595153175037e-01
1.123200000000e+06 2.565065762508e+02 2.598452746003e+02 2.630706377646e+02 2.646417601138e+02 2.669706712659e+02 2.683963502117e+02 2.691470706052e+02 2.243250497834e-01 2.243252889430e-01 2.243256759087e-01 1.594999396473e-01 1.595046637593e-01 1.595098922897e-01 1.595142076201e-01
1.209600000000e+06 2.581455175112e+02 2.605375279650e+02 2.631751163597e+02 2.645407088983e+02 2.667401625200e+02 2.681876988582e+02 2.689900354918e+02 2.243251534996e-01 2.243253548863e-01 2.243256927526e-01 1.594997889647e-01 1.595040360300e-01 1.595089301341e-01 1.595131727781e-01
