# Observation File: observations.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.243245402564e-01 2.243245402564e-01 2.243245402564e-01 1.595233914372e-01 1.595233914372e-01 1.595233913916e-01 1.595233913187e-01
8.640000000000e+04 2.689879689083e+02 2.695574584064e+02 2.699210323957e+02 2.700478011475e+02 2.701340282616e+02 2.701480317494e+02 2.701496852463e+02 2.243243582912e-01 2.243244309183e-01 2.243244926358e-01 1.595221704848e-01 1.595231947926e-01 1.595233670354e-01 1.595233874216e-01
1.728000000000e+05 2.674030348327e+02 2.685920130616e+02 2.694425358675e+02 2.697707990727e+02 2.700557873092e+02 2.701295095284e+02 2.701445915886e+02 2.243242390587e-01 2.243243196941e-01 2.243244142289e-01 1.595192462630e-01 1.595222622750e-01 1.595231394248e-01 1.595233244707e-01
2.592000000000e+05 2.660609833768e+02 2.676453290619e+02 2.688970086463e+02 2.694124838979e+02 2.699248274104e+02 2.700890757034e+02 2.701309439728e+02 2.243241837632e-01 2.243242523242e-01 2.243243487061e-01 1.595161223921e-01 1.595208064432e-01 1.595226523608e-01 1.595231568773e-01
3.456000000000e+05 2.644818711019e+02 2.665591570647e+02 2.682540825178e+02 2.689724595392e+02 2.697416354524e+02 2.700223548740e+02 2.701050677354e+02 2.243241428412e-01 2.243242013336e-01 2.243242922677e-01 1.595130348158e-01 1.595189632899e-01 1.595218768585e-01 1.595228433432e-01
4.320000000000e+05 2.622478609179e+02 2.650870390890e+02 2.674073075437e+02 2.683982907703e+02 2.694941754406e+02 2.699239133875e+02 2.700632279212e+02 2.243241072104e-01 2.243241563923e-01 2.243242392817e-01 1.595098846419e-01 1.595167747313e-01 1.595207926714e-01 1.595223477808e-01
5.184000000000e+05 2.614705321548e+02 2.642583374728e+02 2.667524248197e+02 2.678701568250e+02 2.692127053143e+02 2.697956636708e+02 2.700034373201e+02 2.243240983662e-01 2.243241383594e-01 2.243242089859e-01 1.595075974393e-01 1.595146264784e-01 1.595194779611e-01 1.595216630416e-01
6.048000000000e+05 2.598397741874e+02 2.631229026940e+02 2.660037786905e+02 2.672981838263e+02 2.688990215971e+02 2.696397850658e+02 2.699249442385e+02 2.243240835521e-01 2.243241190381e-01 2.243241819218e-01 1.595055970924e-01 1.595125743574e-01 1.595180124620e-01 1.595208036057e-01
6.912000000000e+05 2.586672234627e+02 2.621526494026e+02 2.652933050835e+02 2.667267420911e+02 2.685617050286e+02 2.694592791491e+02 2.698279242106e+02 2.243240752010e-01 2.243241060511e-01 2.243241615522e-01 1.595039604210e-01 1.595106867416e-01 1.595164737934e-01 1.595197988076e-01
7.776000000000e+05 2.576279709658e+02 2.612818039120e+02 2.646254102227e+02 2.661706086993e+02 2.682101202060e+02 2.692579465054e+02 2.697133294343e+02 2.243240689807e-01 2.243240964155e-01 2.243241458594e-01 1.595026296675e-01 1.595089987948e-01 1.595149299789e-01 1.595186868491e-01
8.640000000000e+05 2.579419360511e+02 2.611306765412e+02 2.642630732251e+02 2.657663317300e+02 2.678802840294e+02 2.690456658234e+02 2.695841747147e+02 2.243240707587e-01 2.243240949032e-01 2.243241384518e-01 1.595017871438e-01 1.595076227532e-01 1.595134701619e-01 1.595175213524e-01
9.504000000000e+05 2.566396531869e+02 2.603214969763e+02 2.637145076724e+02 2.653123674357e+02 2.675528880507e+02 2.688259645657e+02 2.694432454776e+02 2.243240638803e-01 2.243240874864e-01 2.243241284504e-01 1.595009510527e-01 1.595064209275e-01 1.595121138550e-01 1.595163445053e-01
1.036800000000e+06 2.567082649803e+02 2.600792790137e+02 2.633616344261e+02 2.649443761490e+02 2.672424461392e+02 2.686035122554e+02 2.692934002841e+02 2.243240642120e-01 2.243240854672e-01 2.243241226818e-01 1.595003408779e-01 1.595054065676e-01 1.595108773158e-01 1.595151898273e-01
1.123200000000e+06 2.564653900636e+02 2.598069001373e+02 2.630491037465e+02 2.646213016355e+02 2.669521884941e+02 2.683824901701e+02 2.691374863323e+02 2.243240630517e-01 2.243240832952e-01 2.243241179510e-01 1.594998497058e-01 1.595045518365e-01 1.595097657552e-01 1.595140821485e-01
1.209600000000e+06 2.582248200758e+02 2.605720138861e+02 2.631869331384e+02 2.645379540216e+02 2.667264249369e+02 2.681747899554e+02 2.689803577497e+02 2.243240724333e-01 2.243240896675e-01 2.243241199960e-01 1.594997247377e-01 1.595039400988e-01 1.595088133782e-01 1.595130516805e-01
1.296000000000e+06 2.585179434082e+02 2.608408931034e+02 2.632563353707e+02 2.644953205830e+02 2.665526736710e+02 2.679870931698e+02 2.688269061848e+02 2.243240742459e-01 2.243240921204e-01 2.243241210502e-01 1.594996615332e-01 1.595034978825e-01 1.595080202386e-01 1.595121193665e-01
1.382400000000e+06 2.582759686105e+02 2.607483393404e+02 2.631855743815e+02 2.644065707562e+02 2.664010960960e+02 2.678175874429e+02 2.686798672848e+02 2.243240727438e-01 2.243240912625e-01 2.243241199756e-01 1.594995366076e-01 1.595031314926e-01 1.595073531226e-01 1.595112875284e-01
1.468800000000e+06 2.572080592022e+02 2.601495748716e+02 2.628769417640e+02 2.641936824636e+02 2.662358323311e+02 2.676572448715e+02 2.685386205082e+02 2.243240667262e-01 2.243240860445e-01 2.243241154833e-01 1.594992502970e-01 1.595027518918e-01 1.595067608965e-01 1.595105396328e-01
1.555200000000e+06 2.570879224741e+02 2.599120429121e+02 2.626495429955e+02 2.639868616041e+02 2.660627404296e+02 2.675006430510e+02 2.684014557492e+02 2.243240661057e-01 2.243240841217e-01 2.243241123636e-01 1.594989843663e-01 1.595023740381e-01 1.595062157371e-01 1.595098569768e-01
1.641600000000e+06 2.555914940937e+02 2.590369091184e+02 2.621699421692e+02 2.636538026150e+02 2.658586504852e+02 2.673399967054e+02 2.682654195723e+02 2.243240591757e-01 2.243240776649e-01 2.243241062599e-01 1.594985825996e-01 1.595019528004e-01 1.595056877883e-01 1.595092187347e-01
1.728000000000e+06 2.546710355909e+02 2.583044856844e+02 2.616756232232e+02 2.632749225602e+02 2.656239493671e+02 2.671697495753e+02 2.681272865669e+02 2.243240555393e-01 2.243240729179e-01 2.243241005685e-01 1.594981588101e-01 1.595014975515e-01 1.595051600099e-01 1.595086069003e-01
1.814400000000e+06 2.500632841099e+02 2.556882772897e+02 2.603821596565e+02 2.624798018719e+02 2.652784355685e+02 2.669700757178e+02 2.679800524211e+02 2.243240421800e-01 2.243240595834e-01 2.243240880057e-01 1.594973727792e-01 1.595008793199e-01 1.595045789727e-01 1.595079916356e-01
1.900800000000e+06 2.500002598161e+02 2.549458173141e+02 2.596241057990e+02 2.618213758294e+02 2.648871680722e+02 2.667387839733e+02 2.678185608275e+02 2.243240420387e-01 2.243240565813e-01 2.243240818929e-01 1.594968040405e-01 1.595002424823e-01 1.595039522845e-01 1.595073568293e-01
1.987200000000e+06 2.517699120044e+02 2.555427745807e+02 2.595245715032e+02 2.615112442479e+02 2.645460905593e+02 2.664955504732e+02 2.676446654351e+02 2.243240463679e-01 2.243240589724e-01 2.243240811472e-01 1.594965560608e-01 1.594997343339e-01 1.595033413916e-01 1.595067159303e-01
2.073600000000e+06 2.540853357742e+02 2.567653904173e+02 2.598766797086e+02 2.615241643261e+02 2.643104942198e+02 2.662668850796e+02 2.674665328859e+02 2.243240534316e-01 2.243240644906e-01 2.243240838421e-01 1.594965624117e-01 1.594994054053e-01 1.595028074332e-01 1.595061010777e-01
2.160000000000e+06 2.559289537189e+02 2.579450510861e+02 2.603768744642e+02 2.617170251170e+02 2.641819695189e+02 2.660716279925e+02 2.672942067896e+02 2.243240606197e-01 2.243240707767e-01 2.243240879603e-01 1.594967105928e-01 1.594992322471e-01 1.595023794723e-01 1.595055427422e-01
