parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
alpha_p,none,factor,0.01,0.0025,0.0175,alpha_p_gp,1.0,0.0,1
alpha_m,none,factor,0.00182491435344,0.00045622858836,0.0031936001185200002,alpha_m_gp,1.0,0.0,1
n_p,none,factor,2.05,1.025,3.0749999999999997,n_p_gp,1.0,0.0,1
n_m,none,factor,2.05,1.025,3.0749999999999997,n_m_gp,1.0,0.0,1
wr_p,none,factor,0.22432414346,0.056081035865,0.39256725105499995,wr_p_gp,1.0,0.0,1
wr_m,none,factor,0.1594880648121,0.039872016203025,0.279104113421175,wr_m_gp,1.0,0.0,1
tcs_p,none,factor,0.43957660836642,0.109894152091605,0.769259064641235,tcs_p_gp,1.0,0.0,1
tcs_m,none,factor,0.9521050640268,0.2380262660067,1.6661838620468998,tcs_m_gp,1.0,0.0,1
tcd_p,none,factor,0.10102340591993,0.0252558514799825,0.1767909603598775,tcd_p_gp,1.0,0.0,1
tcd_m,none,factor,0.98440542894689,0.2461013572367225,1.7227095006570574,tcd_m_gp,1.0,0.0,1
af_p,none,factor,1.5051141503909,0.376278537597725,2.633949763184075,af_p_gp,1.0,0.0,1
af_m,none,factor,1.4993891283097,0.374847282077425,2.623930974541975,af_m_gp,1.0,0.0,1
auf_p,none,factor,0.48693541309098,0.121733853272745,0.852136972909215,auf_p_gp,1.0,0.0,1
auf_m,none,factor,0.69888402864099,0.1747210071602475,1.2230470501217325,auf_m_gp,1.0,0.0,1
por_p,none,factor,0.63739495707099,0.1593487392677475,1.1154411748742326,por_p_gp,1.0,0.0,1
por_m,none,factor,0.48103076529074,0.120257691322685,0.841803839258795,por_m_gp,1.0,0.0,1
perm_p,none,factor,5.3466221272199995e-11,1.3366555318049999e-11,9.356588722634999e-11,perm_p_gp,1.0,0.0,1
perm_m,none,factor,1e-13,2.5e-14,1.75e-13,perm_m_gp,1.0,0.0,1
den_p,none,factor,900.0,225.0,1575.0,den_p_gp,1.0,0.0,1
den_m,none,factor,1900.0,950.0,2850.0,den_m_gp,1.0,0.0,1
albedo_bg,none,factor,0.55,0.1375,0.9625000000000001,albedo_bg_gp,1.0,0.0,1
e_bg,none,factor,0.55,0.1375,0.9625000000000001,e_bg_gp,1.0,0.0,1
pen_w,none,factor,0.01,0.0025,0.0175,pen_w_gp,1.0,0.0,1
pen_s,none,factor,0.02,0.005,0.035,pen_s_gp,1.0,0.0,1
z_bg,none,factor,0.04,0.01,0.07,z_bg_gp,1.0,0.0,1
z_s,none,factor,0.005,0.00125,0.00875,albedo_bg_gp,1.0,0.0,1
