,Name,Group,Measured,Modelled,Residual,Weight,Weighted_Residual,Absolute_Residual,Weighted_Absolute_Residual,Weighted_Sq_Residual,Phi_Percent
0,stemp_0.04_0,temp,260.6422,270.15,-9.5078,0.0002333198,-0.00221835799444,9.5078,0.00221835799444,4.92111219149586e-06,0.21417168572318607
1,stemp_0.04_1,temp,261.2884,262.653300483,-1.3649004833,0.0002333198,-0.00031845830778345934,1.3649004833,0.00031845830778345934,1.0141569379630453e-07,0.004413711627358512
2,stemp_0.04_2,temp,261.3255,261.840873686,-0.5153736864,0.0002333198,-0.00012024688543611073,0.5153736864,0.00012024688543611073,1.4459313457085138e-08,0.0006292836694224102
3,stemp_0.04_3,temp,261.1522,261.390191588,-0.2379915883,0.0002333198,-5.552814978383834e-05,0.2379915883,5.552814978383834e-05,3.083375418416386e-09,0.00013419155779883566
4,stemp_0.04_4,temp,260.7784,260.851229926,-0.0728299256,0.0002333198,-1.699266367500688e-05,0.0728299256,1.699266367500688e-05,2.8875061877189837e-10,1.2566713452064682e-05
5,stemp_0.04_5,temp,260.3231,260.27819581,0.0449041895,0.0002333198,1.04770365133021e-05,0.0449041895,1.04770365133021e-05,1.0976829410106542e-10,4.777225080787598e-06
6,stemp_0.04_6,temp,260.3782,260.153021499,0.2251785013,0.0002333198,5.253860288761574e-05,0.2251785013,5.253860288761574e-05,2.7603047933825852e-09,0.00012013120361900134
7,stemp_0.04_7,temp,259.7585,259.429991919,0.3285080809,0.0002333198,7.664743973397182e-05,0.3285080809,7.664743973397182e-05,5.8748300177728424e-09,0.00025567843188332713
8,stemp_0.04_8,temp,259.4415,259.055034748,0.3864652524,0.0002333198,9.016999539691753e-05,0.3864652524,9.016999539691753e-05,8.130628069880128e-09,0.00035385300150719937
9,stemp_0.04_9,temp,259.1726,258.828451242,0.344148758,0.0002333198,8.02967193868084e-05,0.344148758,8.02967193868084e-05,6.4475631442838525e-09,0.0002806043458639812
10,stemp_0.04_10,temp,259.3997,258.973319485,0.4263805146,0.0002333198,9.948301639036908e-05,0.4263805146,9.948301639036908e-05,9.896870550126443e-09,0.0004307216268646859
11,stemp_0.04_11,temp,258.8128,258.201546348,0.611253652,0.0002333198,0.0001426175798339096,0.611253652,0.0001426175798339096,2.0339774077681583e-08,0.0008852071507277873
12,stemp_0.04_12,temp,258.3265,257.909901239,0.4165987613,0.0002333198,9.720073966676374e-05,0.4165987613,9.720073966676374e-05,9.447983791765979e-09,0.00041118562971692444
13,stemp_0.04_13,temp,258.0017,257.647733149,0.3539668508,0.0002333198,8.258747483528585e-05,0.3539668508,8.258747483528585e-05,6.820690999668973e-09,0.0002968432403797791
14,stemp_0.04_14,temp,258.5859,258.628685171,-0.0427851713,0.0002333198,-9.982627610681741e-06,0.0427851713,9.982627610681741e-06,9.965285401354545e-11,4.336991090772119e-06
15,stemp_0.04_15,temp,258.8353,258.256394028,0.578905972,0.0002333198,0.0001350702256058456,0.578905972,0.0001350702256058456,1.824396584521403e-08,0.0007939954968102473
16,stemp_0.04_16,temp,259.0194,258.691578626,0.3278213743,0.0002333198,7.648721748740115e-05,0.3278213743,7.648721748740115e-05,5.850294438965004e-09,0.00025461061914730586
17,stemp_0.04_17,temp,259.0142,258.79990262,0.2142973805,0.0002333198,4.99998219587839e-05,0.2142973805,4.99998219587839e-05,2.4999821959100888e-09,0.00010880170586260584
18,stemp_0.04_18,temp,259.1731,258.881359444,0.291740556,0.0002333198,6.80688481778088e-05,0.291740556,6.80688481778088e-05,4.633368092253585e-09,0.00020164877699980555
19,stemp_0.04_19,temp,258.7783,257.998102711,0.7801972889,0.0002333198,0.0001820354754066902,0.7801972889,0.0001820354754066902,3.3136914306539715e-08,0.0014421513919070225
20,stemp_0.04_20,temp,258.1565,257.108881326,1.0476186737,0.0002333198,0.00024443017942394924,1.0476186737,0.00024443017942394924,5.974611261322401e-08,0.0026002101061410564
21,stemp_0.04_21,temp,257.205,255.867745548,1.3372544523,0.0002333198,0.0003120079413597456,1.3372544523,0.0003120079413597456,9.734895547154643e-08,0.00423672314009873
22,stemp_0.04_22,temp,255.8992,254.854436461,1.0447635394,0.0002333198,0.00024376402006010017,1.0447635394,0.00024376402006010017,5.9420897475860916e-08,0.002586056420656682
23,stemp_0.04_23,temp,255.3265,254.357441365,0.9690586349,0.0002333198,0.00022610056688314104,0.9690586349,0.00022610056688314104,5.112146634487773e-08,0.002224856942429413
24,stemp_0.04_24,temp,255.2708,254.428664402,0.8421355977,0.0002333198,0.00019648690922824448,0.8421355977,0.00019648690922824448,3.860710549806839e-08,0.00168021954055488
25,stemp_0.04_25,temp,255.3444,254.851113074,0.4932869258,0.0002333198,0.00011509360687027084,0.4932869258,0.00011509360687027084,1.3246538342408454e-08,0.0005765024930122698
26,stemp_0.04_26,temp,256.3877,256.380888115,0.0068118849,0.0002333198,1.58934762249102e-06,0.0068118849,1.58934762249102e-06,2.526025865117858e-12,1.0993515218928864e-07
27,stemp_0.04_27,temp,257.0276,256.699035814,0.3285641856,0.0002333198,7.666053007135488e-05,0.3285641856,7.666053007135488e-05,5.876836870821106e-09,0.00025576577211935915
28,stemp_0.04_28,temp,257.2752,256.768346905,0.5068530945,0.0002333198,0.00011825886263812111,0.5068530945,0.00011825886263812111,1.3985158592461997e-08,0.0006086479792169165
29,stemp_0.04_29,temp,257.6142,257.308873603,0.3053263971,0.0002333198,7.123869390609258e-05,0.3053263971,7.123869390609258e-05,5.074951509445952e-09,0.00022086692549293032
30,stemp_0.04_30,temp,257.8523,257.706444631,0.1458553692,0.0002333198,3.403094557067016e-05,0.1458553692,3.403094557067016e-05,1.1581052564339152e-09,5.0401889931296225e-05
