TIMESTAMP,Soil moisture at - 0.04 m (%),Soil moisture at - 0.1 m (%),Soil moisture at - 0.2 m (%),Soil moisture at - 0.4 m (%),Soil moisture at - 0.8 m (%),Soil moisture at - 1.2 m (%),Soil moisture at - 1.6 m (%),Soil temperature at - 0.04 m (K),Soil temperature at - 0.1 m (K),Soil temperature at - 0.2 m (K),Soil temperature at - 0.4 m (K),Soil temperature at - 0.8 m (K),Soil temperature at - 1.2 m (K),Soil temperature at - 1.6 m (K)
2016-01-01,15.6769347388,15.6769347388,15.6769347388,9.43924692108,9.43924692108,9.43924692001,9.43924691831,270.15,270.15,270.15,270.15,270.15,270.15,270.15
2016-01-02,15.674383687,15.6748051738,15.6754017336,9.43901468029,9.43919918137,9.43924130262,9.4392460719,262.653300483,265.684148637,267.865432732,269.033134363,269.97505803,270.130513881,270.14708044
2016-01-03,15.6743086539,15.6745966714,15.675012663,9.43889114442,9.43910876892,9.43921334472,9.43923804457,261.840873686,264.436544603,266.618653504,268.011158163,269.578003065,270.029530941,270.119098456
2016-01-04,15.6742714452,15.6745026481,15.6748305135,9.43882709211,9.43903280137,9.43917370236,9.4392222909,261.390191588,263.728980394,265.812144805,267.247907552,269.15636743,269.873834113,270.06259695
2016-01-05,15.6742304846,15.6744327386,15.6747120663,9.43878654211,9.43897354178,9.43913007167,9.4392000066,260.851229926,263.124869147,265.173524054,266.631286865,268.74988523,269.682901088,269.97887433
2016-01-06,15.6741906515,15.6743735931,15.6746215992,9.43875710175,9.43892687677,9.43908718941,9.43917334872,260.27819581,262.550782032,264.606888252,266.092975641,268.365170261,269.471549497,269.872379695
2016-01-07,15.6741824121,15.6743450226,15.6745650281,9.43873687752,9.43889040671,9.43904760252,9.43914451902,260.153021499,262.249595828,264.210421701,265.667642185,268.013246633,269.251471256,269.748614789
2016-01-08,15.6741377281,15.6742955976,15.674502826,9.43871862242,9.43886013744,9.43901180193,9.43911513644,259.429991919,261.686668805,263.730426263,265.234109597,267.678126051,269.027748154,269.612184509
2016-01-09,15.67411634,15.6742619956,15.6744537329,9.43870356193,9.43883455285,9.43897964885,9.43908623303,259.055034748,261.270034424,263.314162172,264.835739699,267.357802002,268.803052299,269.466539585
2016-01-10,15.6741039521,15.6742392561,15.6744168433,9.43869162646,9.43881299625,9.43895094348,9.43905845837,258.828451242,260.970709563,262.976701928,264.489819518,267.056531105,268.580047089,269.31447663
2016-01-11,15.6741118273,15.6742349874,15.6743973066,9.43868351761,9.43879543806,9.43892565072,9.43903228438,258.973319485,260.912852629,262.78856674,264.238326287,266.78652782,268.363105549,269.158873958
2016-01-12,15.6740716132,15.6741991705,15.6743602889,9.43867396077,9.43877972984,9.43890312807,9.43900785182,258.201546348,260.405138234,262.412600714,263.919570854,266.523019044,268.151289041,269.001438696
2016-01-13,15.6740574658,15.6741771153,15.6743301708,9.43866535142,9.43876550427,9.4388828232,9.4389851105,257.909901239,260.071273925,262.086262057,263.612007131,266.264161874,267.943104063,268.842979399
2016-01-14,15.674045198,15.6741592396,15.6743048144,9.43865784795,9.43875271619,9.43886440295,9.43896394874,257.647733149,259.787731118,261.795953292,263.32640857,266.01306334,267.738196499,268.683926955
2016-01-15,15.6740933474,15.6741865565,15.6743124278,9.43865571004,9.4387429813,9.43884820236,9.4389444667,258.628685171,260.216282502,261.884687069,263.244381293,265.809497223,267.543771831,268.526439406
2016-01-16,15.674074335,15.6741763206,15.6743028546,9.43865258788,9.43873485758,9.43883405217,9.43892670321,258.256394028,260.058920353,261.772888668,263.118606331,265.630243516,267.361813247,268.372554266
2016-01-17,15.6740966549,15.6741881356,15.6743052677,9.4386511684,9.43872832063,9.43882177554,9.43891063197,258.691578626,260.240226159,261.801274496,263.061360828,265.479482159,267.193817643,268.223967983
2016-01-18,15.6741024187,15.674193066,15.674306194,9.43865010072,9.43872296473,9.43881113898,9.43889617397,258.79990262,260.314426736,261.812134817,263.01777378,265.351304507,267.039945936,268.081940004
2016-01-19,15.6741068099,15.6741959908,15.6743060328,9.43864909687,9.43871841307,9.43880187083,9.43888319231,258.881359444,260.358047237,261.810246204,262.976223049,265.238846901,266.899050232,267.94704747
