,Snow depth (m)
2016-01-01,0.000375
2016-01-02,0.000208333
2016-01-03,0.000125
2016-01-04,0.000458333
2016-01-05,0.00025
2016-01-06,0.0008125
2016-01-07,0.000541667
2016-01-08,0.0006875
2016-01-09,0.0006875
2016-01-10,0.00896
2016-01-11,0.0155
2016-01-12,0.01658
2016-01-13,0.01821
2016-01-14,0.01748
2016-01-15,0.01075
2016-01-16,0.00206
2016-01-17,0.0021
2016-01-18,0.0
2016-01-19,0.000591837
2016-01-20,0.0004375
2016-01-21,0.0004375
2016-01-22,0.000604167
2016-01-23,0.00104
2016-01-24,0.000583333
2016-01-25,0.00075
2016-01-26,0.000854167
2016-01-27,0.000708333
2016-01-28,0.00221
2016-01-29,0.01738
2016-01-30,0.01394
2016-01-31,0.00502
2016-02-01,0.00435
2016-02-02,0.00315
2016-02-03,0.00221
2016-02-04,0.00227
2016-02-05,0.00377
2016-02-06,0.00442
2016-02-07,0.00304
2016-02-08,0.00431
2016-02-09,0.0089
2016-02-10,0.01058
2016-02-11,0.00867
2016-02-12,0.00923
2016-02-13,0.00537
2016-02-14,0.00338
2016-02-15,0.000854167
2016-02-16,0.00183
2016-02-17,0.00123
2016-02-18,0.00265
2016-02-19,0.00323
2016-02-20,0.0014
2016-02-21,0.00221
2016-02-22,0.00842
2016-02-23,0.01469
2016-02-24,0.02921
2016-02-25,0.03194
2016-02-26,0.02992
2016-02-27,0.02902
2016-02-28,0.0275
2016-02-29,0.02525
2016-03-01,0.01979
2016-03-02,0.01492
2016-03-03,0.01721
2016-03-04,0.0185
2016-03-05,0.03885
2016-03-06,0.05513
2016-03-07,0.06531
2016-03-08,0.07019
2016-03-09,0.06656
2016-03-10,0.06665
2016-03-11,0.08906
2016-03-12,0.1234
2016-03-13,0.11348
2016-03-14,0.13221
2016-03-15,0.12392
2016-03-16,0.11333
2016-03-17,0.11275
2016-03-18,0.11452
2016-03-19,0.11613
2016-03-20,0.1464
2016-03-21,0.1456
2016-03-22,0.14273
2016-03-23,0.138
2016-03-24,0.15088
2016-03-25,0.14329
2016-03-26,0.12477
2016-03-27,0.11819
2016-03-28,0.13083
2016-03-29,0.11794
2016-03-30,0.11704
