name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
ALPHA_P,0.05,0.0225,0.005,0.095,0.01,0.0224943,-0.0349885,0.0549885
ALPHA_M,0.005,0.00225,0.0005,0.0095,0.00181435,0.00224802,-0.00268168,0.00631038
N_P,1.6,0.4875,0.625,2.575,1.54307,0.487182,0.568703,2.51743
N_M,1.5,0.4875,0.525,2.475,1.48139,0.486586,0.508215,2.45456
WR_P,0.1,0.0875,-0.075,0.275,0.196875,0.0874925,0.0218895,0.37186
WR_M,0.12,0.0875,-0.055,0.295,0.153544,0.0874039,-0.0212641,0.328352
TCS_P,0.4,0.325,-0.25,1.05,0.426768,0.324711,-0.222655,1.07619
TCS_M,1,0.45,0.1,1.9,0.972219,0.449651,0.0729164,1.87152
TCD_P,0.07,0.245,-0.42,0.56,0.0985449,0.244931,-0.391317,0.588407
TCD_M,1,0.25,0.5,1.5,0.990422,0.24999,0.490442,1.4904
AF_P,1.5,0.25,1,2,1.50245,0.249998,1.00246,2.00245
AF_M,1.5,0.25,1,2,1.49968,0.249999,0.99968,1.99968
AUF_P,0.5,0.175,0.15,0.85,0.490568,0.174997,0.140574,0.840562
AUF_M,0.7,0.175,0.35,1.05,0.699199,0.175,0.349199,1.0492
POR_P,0.5,0.1625,0.175,0.825,0.612288,0.162445,0.287397,0.937178
POR_M,0.5,0.125,0.25,0.75,0.494544,0.124942,0.244661,0.744428
PERM_P,1e-10,2.475e-10,-3.95e-10,5.95e-10,1e-11,2.46971e-10,-4.83941e-10,5.03941e-10
PERM_M,1e-12,2.475e-12,-3.95e-12,5.95e-12,1e-13,2.41603e-12,-4.73205e-12,4.93205e-12
DEN_P,900,325,250,1550,900,325,250,1550
DEN_M,2300,175,1950,2650,2300,175,1950,2650
