iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m
0,0,0.1,1,0.0400342,0.00254914,1.59225,1.49193,0.128523,0.140024,0.407506,0.995647,0.0843223,0.998514,1.50056,1.50041,0.497764,0.7,0.528591,0.507581,2.60778e-10,1e-13,900,2300
0,0,0.1,0.75,0.0425257,0.00316186,1.59418,1.49395,0.121393,0.135018,0.405629,0.996736,0.0807417,0.998886,1.50042,1.50031,0.498323,0.7,0.521443,0.505686,2.20584e-10,3.25e-13,900,2300
0,0,1,1,0.0489007,0.00388985,1.59922,1.4992,0.103023,0.123515,0.400904,0.999642,0.07186,0.999905,1.50002,1.50003,0.49966,0.7,0.50293,0.500895,2.68984e-10,1e-13,900,2300
0,0,1,0.75,0.0491755,0.00416739,1.59942,1.4994,0.102267,0.122636,0.400678,0.999732,0.071395,0.999929,1.50002,1.50002,0.499745,0.7,0.502197,0.500671,2.26738e-10,3.25e-13,900,2300
0,0,10,1,0.049894,0.00429316,1.59992,1.49991,0.100303,0.120343,0.400085,0.999961,0.0701858,0.999988,1.5,1.5,0.499968,0.7,0.500297,0.500111,2.62002e-10,1e-13,900,2300
0,0,10,0.75,0.0499205,0.00446987,1.59994,1.49993,0.100227,0.120257,0.400064,0.999971,0.0701394,0.999991,1.5,1.5,0.499976,0.7,0.500222,0.500083,2.21502e-10,3.25e-13,900,2300
0,0,100,1,0.0499908,0.00475344,1.59999,1.49999,0.100031,0.120023,0.400006,0.999995,0.0700172,0.999998,1.5,1.5,0.499998,0.7,0.500031,0.500017,2.39581e-10,1e-13,900,2300
0,0,100,0.75,0.0499931,0.00481508,1.59999,1.49999,0.100023,0.120017,0.400005,0.999996,0.0700129,0.999998,1.5,1.5,0.499999,0.7,0.500023,0.500013,2.04685e-10,3.25e-13,900,2300
0,0,1000,1,0.0499977,0.00496404,1.6,1.5,0.100005,0.120005,0.400001,0.999999,0.0700028,1,1.5,1.5,0.499999,0.7,0.500006,0.500002,9.99354e-11,9.99927e-13,900,2300
0,0,1000,0.75,0.0499983,0.00497303,1.6,1.5,0.100004,0.120004,0.400001,0.999999,0.0700021,1,1.5,1.5,0.5,0.7,0.500004,0.500002,9.99515e-11,9.99945e-13,900,2300
1,0,0.1,1,0.01,0.00180963,1.58018,1.48885,0.145391,0.151847,0.414057,0.990254,0.0904392,0.996862,1.50089,1.50053,0.495849,0.699876,0.555416,0.504033,4.77473e-10,1e-13,900,2300
1,0,0.1,0.75,0.0175086,0.00199451,1.58319,1.48962,0.141174,0.148892,0.412419,0.991602,0.08891,0.997275,1.50081,1.5005,0.496328,0.699907,0.54871,0.50492,4.23299e-10,1e-13,900,2300
1,0,1,1,0.0348953,0.00242508,1.59047,1.49153,0.130704,0.143195,0.408757,0.995131,0.0855344,0.99837,1.50052,1.5004,0.497292,0.699967,0.532578,0.506914,4.44763e-10,1e-13,900,2300
1,0,1,0.75,0.03618,0.00245609,1.59092,1.49163,0.130159,0.142402,0.408444,0.99526,0.0852313,0.998406,1.50053,1.5004,0.49741,0.699975,0.531581,0.507081,3.98767e-10,1e-13,900,2300
1,0,10,1,0.0394892,0.00258854,1.59206,1.49189,0.128745,0.140388,0.407641,0.995598,0.0844522,0.998501,1.50055,1.50041,0.497712,0.699996,0.529007,0.507511,4.35118e-10,1e-13,900,2300
1,0,10,0.75,0.0396254,0.00257869,1.59211,1.4919,0.12869,0.140297,0.407607,0.99561,0.0844197,0.998504,1.50055,1.50041,0.497725,0.699997,0.528903,0.507529,3.91533e-10,1e-13,900,2300
1,0,100,1,0.0399817,0.00272151,1.59223,1.49193,0.128546,0.140059,0.407519,0.995642,0.084337,0.998513,1.50055,1.50041,0.497759,0.7,0.528634,0.507575,3.31019e-10,1e-13,900,2300
1,0,100,0.75,0.0399949,0.00267842,1.59223,1.49193,0.12854,0.14005,0.407516,0.995644,0.0843333,0.998513,1.50055,1.50041,0.49776,0.7,0.528623,0.507577,3.13459e-10,1e-13,900,2300
1,0,1000,1,0.0400289,0.00254914,1.59224,1.49193,0.128526,0.140029,0.407507,0.995647,0.0843241,0.998514,1.50055,1.50041,0.497764,0.7,0.528595,0.50758,2.60778e-10,1e-13,900,2300
1,0,1000,0.75,0.0400302,0.00254914,1.59224,1.49193,0.128525,0.140028,0.407507,0.995647,0.0843237,0.998514,1.50055,1.50041,0.497764,0.7,0.528594,0.507581,2.60778e-10,1e-13,900,2300
2,0,0.1,1,0.01,0.00176087,1.57819,1.48881,0.148661,0.153005,0.415016,0.989609,0.0906612,0.996633,1.50088,1.50043,0.495401,0.699876,0.558712,0.502688,4.77473e-11,1e-13,900,2300
2,0,0.1,0.75,0.01,0.00177306,1.57869,1.48882,0.147843,0.152716,0.414776,0.98977,0.0906057,0.99669,1.50088,1.50045,0.495513,0.699876,0.557888,0.503024,1.55179e-10,1e-13,900,2300
2,0,1,1,0.01,0.00180491,1.57996,1.4888,0.145779,0.152117,0.414182,0.990203,0.0904833,0.996845,1.50089,1.50052,0.495794,0.699876,0.55584,0.503881,4.77473e-11,1e-13,900,2300
2,0,1,0.75,0.01,0.00180609,1.58001,1.48882,0.145682,0.152049,0.41415,0.990216,0.0904723,0.996849,1.50089,1.50052,0.495808,0.699876,0.555734,0.503919,1.55179e-10,1e-13,900,2300
2,0,10,1,0.01,0.00181277,1.58015,1.48884,0.145431,0.151878,0.41407,0.990249,0.090444,0.99686,1.50089,1.50053,0.495844,0.699876,0.55546,0.504018,4.77473e-11,1e-13,900,2300
2,0,10,0.75,0.01,0.00181198,1.58016,1.48884,0.145421,0.15187,0.414066,0.99025,0.0904428,0.996861,1.50089,1.50053,0.495845,0.699876,0.555449,0.504021,1.55179e-10,1e-13,900,2300
2,0,100,1,0.01,0.00181277,1.58017,1.48885,0.145395,0.151851,0.414058,0.990254,0.0904397,0.996862,1.50089,1.50053,0.495849,0.699876,0.555421,0.504031,4.77473e-11,1e-13,900,2300
2,0,100,0.75,0.01,0.00181198,1.58018,1.48885,0.145394,0.15185,0.414058,0.990254,0.0904396,0.996862,1.50089,1.50053,0.495849,0.699876,0.55542,0.504032,1.55179e-10,1e-13,900,2300
2,0,1000,1,0.01,0.00180963,1.58018,1.48885,0.145394,0.151851,0.414058,0.990254,0.0904397,0.996862,1.50089,1.50053,0.495849,0.699876,0.55542,0.504032,4.77473e-10,1e-13,900,2300
