iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m
0,0,0.1,1,0.00723252,0.00215044,2.0499,2.05003,0.225232,0.159717,0.440138,0.952023,0.101617,0.984346,1.5051,1.49939,0.48663,0.698882,0.637701,0.481101,5.43584e-11,2.5e-14,900,1900
0,0,0.1,0.75,0.00792439,0.00206906,2.04992,2.05002,0.225005,0.15966,0.439998,0.952044,0.101469,0.984361,1.50511,1.49939,0.486707,0.698883,0.637624,0.481083,5.41353e-11,4.375e-14,900,1900
0,0,1,1,0.00932002,0.00215315,2.04998,2.05,0.224508,0.159534,0.439657,0.952092,0.101107,0.9844,1.50511,1.49939,0.486892,0.698884,0.637464,0.481033,5.22322e-11,2.5e-14,900,1900
0,0,1,0.75,0.00949001,0.00207109,2.04998,2.05,0.224462,0.159523,0.439637,0.952095,0.101086,0.984401,1.50511,1.49939,0.486903,0.698884,0.637446,0.481033,5.25407e-11,4.375e-14,900,1900
0,0,10,1,0.00990129,0.00210236,2.05,2.05,0.224352,0.159498,0.439589,0.952103,0.101037,0.984405,1.50511,1.49939,0.486929,0.698884,0.637405,0.481031,5.29297e-11,2.5e-14,900,1900
0,0,10,0.75,0.00992597,0.002033,2.05,2.05,0.224345,0.159495,0.439586,0.952104,0.101033,0.984405,1.50511,1.49939,0.48693,0.698884,0.637402,0.481031,5.30638e-11,4.375e-14,900,1900
0,0,100,1,0.0099135,0.00213281,2.05,2.05,0.224349,0.159499,0.439588,0.952103,0.101035,0.984404,1.50511,1.49939,0.48693,0.698884,0.637404,0.481033,5.59104e-11,1.15653e-13,900,1900
0,0,100,0.75,0.00993513,0.00205584,2.05,2.05,0.224343,0.159496,0.439585,0.952104,0.101032,0.984405,1.50511,1.49939,0.486931,0.698884,0.637402,0.481033,5.52994e-11,1.1174e-13,900,1900
0,0,1000,1,0.0099914,0.00187012,2.05,2.05,0.224327,0.159489,0.439578,0.952105,0.101025,0.984405,1.50511,1.49939,0.486935,0.698884,0.637396,0.481031,5.34973e-11,1.00221e-13,900,1900
0,0,1000,0.75,0.00999355,0.00185882,2.05,2.05,0.224326,0.159489,0.439578,0.952105,0.101024,0.984405,1.50511,1.49939,0.486935,0.698884,0.637396,0.481031,5.34896e-11,1.00166e-13,900,1900
1,0,0.1,1,0.0025,0.00234223,2.04972,2.05,0.226802,0.160502,0.441524,0.951862,0.103159,0.984156,1.50506,1.49939,0.485963,0.698882,0.638141,0.481629,9.11093e-11,2.5e-14,900,1900
1,0,0.1,0.75,0.00368313,0.00229428,2.04977,2.05,0.226409,0.160306,0.441178,0.951902,0.102773,0.984203,1.50507,1.49939,0.48613,0.698882,0.638031,0.481497,8.19215e-11,2.5e-14,900,1900
1,0,1,1,0.00410041,0.00249369,2.04983,2.05003,0.225723,0.159904,0.440412,0.951987,0.101906,0.984318,1.50509,1.49939,0.486497,0.698882,0.637896,0.481171,9.35659e-11,2.5e-14,900,1900
1,0,1,0.75,0.00488344,0.00240787,2.04985,2.05003,0.2256,0.159857,0.440344,0.951996,0.101834,0.984325,1.5051,1.49939,0.486531,0.698882,0.637847,0.481154,8.3764e-11,2.5e-14,900,1900
1,0,10,1,0.00663557,0.00246729,2.04989,2.05003,0.225314,0.159748,0.44018,0.952018,0.10166,0.984342,1.5051,1.49939,0.48661,0.698882,0.637735,0.481107,9.35659e-11,2.5e-14,900,1900
1,0,10,0.75,0.00678481,0.00238808,2.04989,2.05003,0.225293,0.15974,0.44017,0.952019,0.101649,0.984343,1.5051,1.49939,0.486615,0.698882,0.637727,0.481105,8.3764e-11,2.5e-14,900,1900
