name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
alpha_p,0.01,0.00375,0.0025,0.0175,0.01,0.00375,0.00250001,0.0175
alpha_m,0.00182491,0.000684343,0.000456229,0.0031936,0.0019557,0.000684339,0.000587025,0.00332438
n_p,2.05,0.5125,1.025,3.075,2.04969,0.512492,1.02471,3.07468
n_m,2.05,0.5125,1.025,3.075,2.04999,0.512458,1.02507,3.07491
wr_p,0.224324,0.0841216,0.056081,0.392567,0.226085,0.0841088,0.0578672,0.394302
wr_m,0.159488,0.059808,0.039872,0.279104,0.160214,0.0598039,0.0406064,0.279822
tcs_p,0.439577,0.164841,0.109894,0.769259,0.439935,0.164831,0.110272,0.769597
tcs_m,0.952105,0.357039,0.238026,1.66618,0.952066,0.357038,0.23799,1.66614
tcd_p,0.101023,0.0378838,0.0252559,0.176791,0.101369,0.0378837,0.0256016,0.177136
tcd_m,0.984405,0.369152,0.246101,1.72271,0.98441,0.369151,0.246108,1.72271
af_p,1.50511,0.564418,0.376279,2.63395,1.50511,0.564418,0.376279,2.63395
af_m,1.49939,0.562271,0.374847,2.62393,1.49939,0.562271,0.374847,2.62393
auf_p,0.486935,0.182601,0.121734,0.852137,0.486762,0.182598,0.121566,0.851958
auf_m,0.698884,0.262082,0.174721,1.22305,0.698884,0.262082,0.174721,1.22305
por_p,0.637395,0.239023,0.159349,1.11544,0.638286,0.238981,0.160324,1.11625
por_m,0.481031,0.180387,0.120258,0.841804,0.48124,0.180367,0.120506,0.841974
perm_p,5.34662e-11,2.00498e-11,1.33666e-11,9.35659e-11,4.39264e-11,2.00498e-11,3.8267e-12,8.4026e-11
perm_m,1e-13,3.75e-14,2.5e-14,1.75e-13,2.5e-14,3.74998e-14,-4.99996e-14,9.99996e-14
den_p,900,337.5,225,1575,900,337.5,225,1575
den_m,1900,475,950,2850,1900,475,950.001,2850
