name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
alpha_p,0.01,0.00375,0.0025,0.0175,0.01,0.00375,0.00250001,0.0175
alpha_m,0.00182491,0.000684343,0.000456229,0.0031936,0.00182491,0.00068434,0.000456235,0.00319359
n_p,2.05,0.5125,1.025,3.075,2.05,0.512492,1.02502,3.07498
n_m,2.05,0.5125,1.025,3.075,2.05,0.51247,1.02506,3.07494
wr_p,0.224324,0.0841216,0.056081,0.392567,0.224324,0.0841088,0.0561066,0.392542
wr_m,0.159488,0.059808,0.039872,0.279104,0.159488,0.0598039,0.0398802,0.279096
tcs_p,0.439577,0.164841,0.109894,0.769259,0.439577,0.164831,0.109915,0.769239
tcs_m,0.952105,0.357039,0.238026,1.66618,0.952105,0.357038,0.238029,1.66618
tcd_p,0.101023,0.0378838,0.0252559,0.176791,0.101023,0.0378837,0.0252561,0.176791
tcd_m,0.984405,0.369152,0.246101,1.72271,0.984405,0.369151,0.246104,1.72271
af_p,1.50511,0.564418,0.376279,2.63395,1.50511,0.564418,0.376279,2.63395
af_m,1.49939,0.562271,0.374847,2.62393,1.49939,0.562271,0.374847,2.62393
auf_p,0.486935,0.182601,0.121734,0.852137,0.486935,0.182598,0.12174,0.852131
auf_m,0.698884,0.262082,0.174721,1.22305,0.698884,0.262082,0.174721,1.22305
por_p,0.637395,0.239023,0.159349,1.11544,0.637395,0.238981,0.159432,1.11536
por_m,0.481031,0.180387,0.120258,0.841804,0.481031,0.180368,0.120294,0.841767
perm_p,5.34662e-11,2.00498e-11,1.33666e-11,9.35659e-11,5.34662e-11,2.00498e-11,1.33666e-11,9.35659e-11
perm_m,1e-13,3.75e-14,2.5e-14,1.75e-13,1e-13,3.75e-14,2.5e-14,1.75e-13
den_p,900,337.5,225,1575,900,337.5,225,1575
den_m,1900,475,950,2850,1900,475,950.001,2850
