iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m
0,0,0.1,1,0.01,0.0019557,2.04969,2.04999,0.226085,0.160214,0.439935,0.952066,0.101369,0.98441,1.50511,1.49939,0.486762,0.698884,0.638286,0.48124,4.39264e-11,2.5e-14,900,1900
0,0,0.1,0.75,0.01,0.00192301,2.04977,2.04999,0.225645,0.160033,0.439845,0.952076,0.101283,0.984409,1.50511,1.49939,0.486805,0.698884,0.638063,0.481187,4.63113e-11,4.375e-14,900,1900
0,0,1,1,0.01,0.00197074,2.04997,2.05,0.224586,0.159592,0.439619,0.952101,0.101065,0.984406,1.50511,1.49939,0.486915,0.698884,0.637516,0.481059,4.417e-11,2.5e-14,900,1900
0,0,1,0.75,0.01,0.00193429,2.04997,2.05,0.22452,0.159566,0.439609,0.952102,0.101054,0.984406,1.50511,1.49939,0.48692,0.698884,0.637486,0.481052,4.6494e-11,4.375e-14,900,1900
0,0,10,1,0.01,0.00191436,2.05,2.05,0.224357,0.159502,0.439582,0.952104,0.101029,0.984406,1.50511,1.49939,0.486933,0.698884,0.63741,0.481034,4.33858e-11,2.5e-14,900,1900
0,0,10,0.75,0.01,0.001892,2.05,2.05,0.224349,0.159499,0.439581,0.952105,0.101028,0.984406,1.50511,1.49939,0.486933,0.698884,0.637406,0.481033,4.59059e-11,4.375e-14,900,1900
0,0,100,1,0.01,0.00184285,2.05,2.05,0.224328,0.15949,0.439577,0.952105,0.101024,0.984405,1.50511,1.49939,0.486935,0.698884,0.637397,0.481031,4.2385e-11,2.5e-14,900,1900
0,0,100,0.75,0.01,0.00183836,2.05,2.05,0.224327,0.159489,0.439577,0.952105,0.101024,0.984405,1.50511,1.49939,0.486935,0.698884,0.637396,0.481031,4.51553e-11,4.375e-14,900,1900
0,0,1000,1,0.01,0.00182691,2.05,2.05,0.224325,0.159488,0.439577,0.952105,0.101023,0.984405,1.50511,1.49939,0.486935,0.698884,0.637395,0.481031,4.21619e-11,2.5e-14,900,1900
0,0,1000,0.75,0.01,0.00182641,2.05,2.05,0.224324,0.159488,0.439577,0.952105,0.101023,0.984405,1.50511,1.49939,0.486935,0.698884,0.637395,0.481031,4.4988e-11,4.375e-14,900,1900
1,0,0.1,1,0.00545815,0.00176409,2.04969,2.04996,0.226962,0.160966,0.440268,0.952041,0.101729,0.984407,1.50511,1.49939,0.486627,0.698884,0.638286,0.481597,1.33666e-11,2.5e-14,900,1900
1,0,0.1,0.75,0.00659361,0.00181199,2.04969,2.04997,0.226743,0.160778,0.440184,0.952048,0.101639,0.984408,1.50511,1.49939,0.486661,0.698884,0.638286,0.481507,2.10065e-11,2.5e-14,900,1900
1,0,1,1,0.00919215,0.00179697,2.04969,2.04999,0.226282,0.160305,0.439969,0.952063,0.101405,0.984411,1.50511,1.49939,0.486748,0.698884,0.638286,0.481276,1.33666e-11,2.5e-14,900,1900
1,0,1,0.75,0.00939411,0.00183666,2.04969,2.04999,0.226233,0.160283,0.439961,0.952064,0.101396,0.984411,1.50511,1.49939,0.486751,0.698884,0.638286,0.481267,2.10065e-11,2.5e-14,900,1900
1,0,10,1,0.00990529,0.00183712,2.04969,2.04999,0.226108,0.160223,0.439937,0.952066,0.101372,0.98441,1.50511,1.49939,0.486761,0.698884,0.638286,0.481245,1.33666e-11,2.5e-14,900,1900
1,0,10,0.75,0.00992896,0.00186677,2.04969,2.04999,0.226102,0.160221,0.439937,0.952066,0.101371,0.98441,1.50511,1.49939,0.486761,0.698884,0.638286,0.481243,2.10065e-11,2.5e-14,900,1900
1,0,100,1,0.00998883,0.00192013,2.04969,2.04999,0.226087,0.160215,0.439935,0.952066,0.101369,0.98441,1.50511,1.49939,0.486762,0.698884,0.638286,0.48124,1.33666e-11,2.5e-14,900,1900
1,0,100,0.75,0.00999162,0.00192903,2.04969,2.04999,0.226087,0.160215,0.439935,0.952066,0.101369,0.98441,1.50511,1.49939,0.486762,0.698884,0.638286,0.48124,2.10065e-11,2.5e-14,900,1900
1,0,1000,1,0.00998822,0.00191294,2.04969,2.04999,0.226088,0.160215,0.439935,0.952066,0.101369,0.98441,1.50511,1.49939,0.486762,0.698884,0.638286,0.481241,4.40055e-11,2.5e-14,900,1900
1,0,1000,0.75,0.00999117,0.00192363,2.04969,2.04999,0.226087,0.160215,0.439935,0.952066,0.101369,0.98441,1.50511,1.49939,0.486762,0.698884,0.638286,0.48124,4.39857e-11,2.5e-14,900,1900
2,0,0.1,1,0.0025,0.0015662,2.04946,2.04975,0.226904,0.162129,0.440658,0.951997,0.102163,0.984385,1.5051,1.49939,0.486405,0.698884,0.638237,0.48213,1.33666e-11,2.5e-14,900,1900
2,0,0.1,0.75,0.00323954,0.00161567,2.04952,2.0498,0.226919,0.161838,0.440561,0.952008,0.102055,0.984391,1.5051,1.49939,0.486461,0.698884,0.638249,0.481997,1.33666e-11,2.5e-14,900,1900
2,0,1,1,0.0025,0.00151254,2.0496,2.04993,0.227068,0.161194,0.440338,0.952033,0.101802,0.984406,1.50511,1.49939,0.48659,0.698884,0.638365,0.481689,1.33666e-11,2.5e-14,900,1900
2,0,1,0.75,0.00323954,0.00157543,2.04962,2.04994,0.227042,0.161137,0.440321,0.952035,0.101783,0.984406,1.50511,1.49939,0.4866,0.698884,0.638346,0.481666,1.33666e-11,2.5e-14,900,1900
2,0,10,1,0.0025,0.000978424,2.04961,2.04995,0.227087,0.161055,0.440297,0.952038,0.101757,0.984407,1.50511,1.49939,0.486613,0.698884,0.638382,0.481638,1.33666e-11,2.5e-14,900,1900
2,0,10,0.75,0.00323954,0.00117484,2.04963,2.04995,0.227056,0.161033,0.44029,0.952038,0.10175,0.984407,1.50511,1.49939,0.486616,0.698884,0.638358,0.481628,1.33666e-11,2.5e-14,900,1900
2,0,100,1,0.00502156,0.00142664,2.04968,2.04996,0.22698,0.160974,0.44027,0.952041,0.101731,0.984407,1.50511,1.49939,0.486626,0.698884,0.6383,0.481604,1.33666e-11,2.5e-14,900,1900
2,0,100,0.75,0.00513071,0.001511,2.04968,2.04996,0.226976,0.160972,0.440269,0.952041,0.10173,0.984407,1.50511,1.49939,0.486627,0.698884,0.638297,0.481602,1.33666e-11,2.5e-14,900,1900
2,0,1000,1,0.00541365,0.00171935,2.04969,2.04996,0.226964,0.160966,0.440268,0.952041,0.101729,0.984407,1.50511,1.49939,0.486627,0.698884,0.638287,0.481597,1.33666e-11,2.5e-14,900,1900
2,0,1000,0.75,0.00542477,0.00173054,2.04969,2.04996,0.226964,0.160966,0.440268,0.952041,0.101729,0.984407,1.50511,1.49939,0.486627,0.698884,0.638287,0.481597,1.33666e-11,2.5e-14,900,1900
