# Observation File: observations.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.243296144196e-01 2.243296144196e-01 2.243296144196e-01 1.595234513451e-01 1.595234513451e-01 1.595234512995e-01 1.595234512266e-01
8.640000000000e+04 2.628942658234e+02 2.662130415375e+02 2.685614209423e+02 2.694147618973e+02 2.700291540393e+02 2.701346467612e+02 2.701475060405e+02 2.243256482733e-01 2.243264118077e-01 2.243276446565e-01 1.595162283089e-01 1.595220172543e-01 1.595232621749e-01 1.595234203706e-01
1.728000000000e+05 2.620604849925e+02 2.650468879931e+02 2.675976741995e+02 2.686746505501e+02 2.697408738312e+02 2.700550197741e+02 2.701241729756e+02 2.243255298301e-01 2.243260703509e-01 2.243270093214e-01 1.595113770947e-01 1.595190206495e-01 1.595223121539e-01 1.595231342130e-01
2.592000000000e+05 2.616199383995e+02 2.644075449511e+02 2.669521086097e+02 2.680976518895e+02 2.694255666475e+02 2.699318150902e+02 2.700774390425e+02 2.243254743413e-01 2.243259227079e-01 2.243266966731e-01 1.595085902954e-01 1.595162850445e-01 1.595209371021e-01 1.595225744599e-01
3.456000000000e+05 2.611047650818e+02 2.638719859406e+02 2.664340136584e+02 2.676189530169e+02 2.691144149352e+02 2.697799706130e+02 2.700084754160e+02 2.243254147357e-01 2.243258150756e-01 2.243264902433e-01 1.595067274375e-01 1.595140112421e-01 1.595193840528e-01 1.595217796208e-01
4.320000000000e+05 2.605537926245e+02 2.633605105836e+02 2.659706249608e+02 2.671937484797e+02 2.688144088149e+02 2.696108715842e+02 2.699208851397e+02 2.243253565253e-01 2.243257235506e-01 2.243263314517e-01 1.595053298250e-01 1.595121330956e-01 1.595178150949e-01 1.595208202410e-01
5.184000000000e+05 2.604278233315e+02 2.630829430538e+02 2.656273752525e+02 2.668444735276e+02 2.685346564005e+02 2.694335999916e+02 2.698190616083e+02 2.243253439439e-01 2.243256778739e-01 2.243262267480e-01 1.595043247407e-01 1.595106053390e-01 1.595163272686e-01 1.595197699287e-01
6.048000000000e+05 2.597367584738e+02 2.625809907269e+02 2.652318596335e+02 2.664929272152e+02 2.682651545292e+02 2.692521265476e+02 2.697066199799e+02 2.243252792399e-01 2.243256015200e-01 2.243261176335e-01 1.595034241394e-01 1.595093025612e-01 1.595149477119e-01 1.595186840153e-01
6.912000000000e+05 2.593669941882e+02 2.621977609471e+02 2.648785803759e+02 2.661643641557e+02 2.680047603091e+02 2.690686208822e+02 2.695862622978e+02 2.243252473560e-01 2.243255480580e-01 2.243260292121e-01 1.595026660564e-01 1.595081762085e-01 1.595136804487e-01 1.595175994255e-01
7.776000000000e+05 2.591435870400e+02 2.619185539498e+02 2.645817769883e+02 2.658714784059e+02 2.677567837286e+02 2.688852559744e+02 2.694601840374e+02 2.243252289307e-01 2.243255114650e-01 2.243259607029e-01 1.595020489454e-01 1.595072067222e-01 1.595125257100e-01 1.595165410072e-01
