# Observation File: observations.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.252531759262e-01 2.252531759262e-01 2.252531759262e-01 2.054169951403e-01 2.054169951403e-01 2.054169951171e-01 2.054169950799e-01
8.640000000000e+04 2.597487087096e+02 2.639776624748e+02 2.669999589464e+02 2.686130310914e+02 2.699099289937e+02 2.701233015775e+02 2.701460032209e+02 2.252132612594e-01 2.252186814846e-01 2.252270309030e-01 2.054107059750e-01 2.054156003106e-01 2.054168280310e-01 2.054169698729e-01
1.728000000000e+05 2.587142744223e+02 2.622795058476e+02 2.652837019364e+02 2.672030670371e+02 2.693623978290e+02 2.699842066503e+02 2.701074861815e+02 2.252124137582e-01 2.252160049852e-01 2.252215133257e-01 2.054078067986e-01 2.054131006805e-01 2.054160043019e-01 2.054167304371e-01
2.592000000000e+05 2.579841191350e+02 2.612468020825e+02 2.641422692472e+02 2.661351111158e+02 2.687776683683e+02 2.697689473551e+02 2.700294767649e+02 2.252118844107e-01 2.252147462929e-01 2.252189937846e-01 2.054063963596e-01 2.054111332931e-01 2.054148664859e-01 2.054162640839e-01
3.456000000000e+05 2.574406649034e+02 2.605122576531e+02 2.633046300844e+02 2.653025545388e+02 2.682184134735e+02 2.695052887202e+02 2.699138481850e+02 2.252115220310e-01 2.252139747032e-01 2.252175117783e-01 2.054055687800e-01 2.054096934555e-01 2.054136605061e-01 2.054156152669e-01
4.320000000000e+05 2.578974189113e+02 2.604425344792e+02 2.629066639570e+02 2.647635069819e+02 2.677310579921e+02 2.692213181228e+02 2.697686262011e+02 2.252118248854e-01 2.252139060424e-01 2.252168914958e-01 2.054051207386e-01 2.054086836456e-01 2.054125471500e-01 2.054148648662e-01
5.184000000000e+05 2.571476611437e+02 2.598786089257e+02 2.623857799442e+02 2.642496225551e+02 2.672913521140e+02 2.689322581258e+02 2.696025282525e+02 2.252113367636e-01 2.252133769095e-01 2.252161480344e-01 2.054047479625e-01 2.054079195184e-01 2.054115716392e-01 2.054140838332e-01
6.048000000000e+05 2.574523063551e+02 2.598232077520e+02 2.621210470713e+02 2.638866640751e+02 2.669074245599e+02 2.686488612225e+02 2.694234645620e+02 2.252115295333e-01 2.252133273134e-01 2.252157967460e-01 2.054045092427e-01 2.054073418362e-01 2.054107399177e-01 2.054133218038e-01
6.912000000000e+05 2.566487012664e+02 2.592702625160e+02 2.616736110017e+02 2.634779621230e+02 2.665484547992e+02 2.683731904248e+02 2.692369031402e+02 2.252110362648e-01 2.252128537536e-01 2.252152393928e-01 2.054042642653e-01 2.054068642836e-01 2.054100279458e-01 2.054126039365e-01
7.776000000000e+05 2.557185482555e+02 2.585470267191e+02 2.611050336706e+02 2.630013265128e+02 2.661884103794e+02 2.681013590303e+02 2.690452931309e+02 2.252105215937e-01 2.252122878850e-01 2.252145901395e-01 2.054040048549e-01 2.054064365338e-01 2.054094039545e-01 2.054119363014e-01
8.640000000000e+05 2.556685446039e+02 2.582726387932e+02 2.607370344077e+02 2.626114143167e+02 2.658439298139e+02 2.678333533613e+02 2.688502241895e+02 2.252104954634e-01 2.252120874398e-01 2.252142012404e-01 2.054038098052e-01 2.054060676282e-01 2.054088528038e-01 2.054113192997e-01
9.504000000000e+05 2.555095566707e+02 2.580372585724e+02 2.604378968524e+02 2.622812083873e+02 2.655230611199e+02 2.675714551015e+02 2.686533182581e+02 2.252104133574e-01 2.252119212284e-01 2.252139015018e-01 2.054036557527e-01 2.054057546035e-01 2.054083666840e-01 2.054107521656e-01
1.036800000000e+06 2.567087538456e+02 2.585854819732e+02 2.605695380895e+02 2.621945698659e+02 2.652681962511e+02 2.673253894829e+02 2.684581892326e+02 2.252110714753e-01 2.252123165739e-01 2.252140316732e-01 2.054036153632e-01 2.054055239210e-01 2.054079508102e-01 2.054102383122e-01
1.123200000000e+06 2.559156396011e+02 2.582100830412e+02 2.603434992195e+02 2.619966630585e+02 2.650356393311e+02 2.670952708212e+02 2.682674000599e+02 2.252106260508e-01 2.252120427612e-01 2.252138097856e-01 2.054035292088e-01 2.054053266338e-01 2.054075932691e-01 2.054097766218e-01
1.209600000000e+06 2.555619113652e+02 2.578914088161e+02 2.600749849806e+02 2.617558669651e+02 2.648060414615e+02 2.668765484538e+02 2.680815579891e+02 2.252104402324e-01 2.252118207838e-01 2.252135560526e-01 2.054034287124e-01 2.054051432211e-01 2.054072783826e-01 2.054093611853e-01
1.296000000000e+06 2.549135276416e+02 2.574078882720e+02 2.597064669992e+02 2.614527175676e+02 2.645656958848e+02 2.666632598554e+02 2.678996746687e+02 2.252101181911e-01 2.252115009671e-01 2.252132241275e-01 2.054033084743e-01 2.054049622929e-01 2.054069923046e-01 2.054089838137e-01
1.382400000000e+06 2.573075183609e+02 2.585901994663e+02 2.601718015035e+02 2.615641494210e+02 2.644048200086e+02 2.664675165799e+02 2.677240393407e+02 2.252114370010e-01 2.252123201036e-01 2.252136463440e-01 2.054033501097e-01 2.054048461136e-01 2.054067462527e-01 2.054086440415e-01
1.468800000000e+06 2.574927118720e+02 2.589241411649e+02 2.604133919075e+02 2.616777289606e+02 2.643024547228e+02 2.662965295523e+02 2.675582211176e+02 2.252115556583e-01 2.252125758466e-01 2.252138775639e-01 2.054033944878e-01 2.054047740646e-01 2.054065431252e-01 2.054083433606e-01
1.555200000000e+06 2.559403401689e+02 2.581316166012e+02 2.600474112891e+02 2.614920483732e+02 2.641746981098e+02 2.661394510282e+02 2.674020488753e+02 2.252106393092e-01 2.252119872395e-01 2.252135305785e-01 2.054033216952e-01 2.054046873719e-01 2.054063654851e-01 2.054080764506e-01
1.641600000000e+06 2.559704873138e+02 2.579587305634e+02 2.598496969531e+02 2.613151904045e+02 2.640289763351e+02 2.659878680620e+02 2.672532338260e+02 2.252106555423e-01 2.252118669102e-01 2.252133509761e-01 2.054032540268e-01 2.054045917610e-01 2.054062016448e-01 2.054078356153e-01
1.728000000000e+06 2.536352138514e+02 2.565701075794e+02 2.590462391592e+02 2.608205178684e+02 2.638087461944e+02 2.658262322681e+02 2.671065876676e+02 2.252095455086e-01 2.252109905648e-01 2.252126723419e-01 2.054030763958e-01 2.054044536795e-01 2.054060346100e-01 2.054076101988e-01
1.814400000000e+06 2.534030129304e+02 2.560746763673e+02 2.585433635750e+02 2.603878672057e+02 2.635506441669e+02 2.656491771725e+02 2.669574079297e+02 2.252094493878e-01 2.252107120816e-01 2.252122851599e-01 2.054029318760e-01 2.054043000742e-01 2.054058601231e-01 2.054073921314e-01
1.900800000000e+06 2.556826011401e+02 2.571638929540e+02 2.589129119087e+02 2.604128619758e+02 2.633660334113e+02 2.654743326480e+02 2.668069979728e+02 2.252105027939e-01 2.252113468511e-01 2.252125670542e-01 2.054029385420e-01 2.054041947100e-01 2.054056959258e-01 2.054071829250e-01
