iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m,b_bc
0,0,0.1,1,0.00569245,0.00179797,2.04984,2.05001,0.226657,0.160728,0.441024,0.95194,0.102463,0.98432,1.5051,1.4994,0.486314,0.698884,0.638052,0.481361,1.33666e-11,1.22239e-13,900,1900,268.45
0,0,0.1,0.75,0.00676934,0.00180471,2.04988,2.05,0.226074,0.160418,0.440662,0.951981,0.102103,0.984341,1.5051,1.4994,0.486469,0.698884,0.637888,0.481278,2.33915e-11,1.1668e-13,900,1900,268.45
0,0,1,1,0.00950918,0.00179331,2.04998,2.05,0.224589,0.159604,0.439697,0.95209,0.101143,0.984399,1.50511,1.49939,0.486883,0.698884,0.637477,0.481058,1.33666e-11,1.34323e-13,900,1900,268.45
0,0,1,0.75,0.00963189,0.00180121,2.04999,2.05,0.224523,0.159575,0.439667,0.952094,0.101113,0.984401,1.50511,1.49939,0.486896,0.698884,0.637457,0.481051,2.33915e-11,1.25742e-13,900,1900,268.45
0,0,10,1,0.0099502,0.0018033,2.05,2.05,0.224351,0.159499,0.439588,0.952104,0.101035,0.984405,1.50511,1.49939,0.48693,0.698884,0.637403,0.481033,1.33666e-11,1.35194e-13,900,1900,268.45
0,0,10,0.75,0.00996265,0.00180871,2.05,2.05,0.224344,0.159497,0.439585,0.952104,0.101032,0.984405,1.50511,1.49939,0.486932,0.698884,0.637401,0.481033,2.33915e-11,1.26395e-13,900,1900,268.45
0,0,100,1,0.00999501,0.00181997,2.05,2.05,0.224327,0.159489,0.439578,0.952105,0.101025,0.984405,1.50511,1.49939,0.486935,0.698884,0.637396,0.481031,1.33666e-11,1.34414e-13,900,1900,268.45
0,0,100,0.75,0.00999626,0.00182121,2.05,2.05,0.224326,0.159489,0.439577,0.952105,0.101024,0.984405,1.50511,1.49939,0.486935,0.698884,0.637396,0.481031,2.33915e-11,1.25811e-13,900,1900,268.45
0,0,1000,1,0.00999457,0.00181943,2.05,2.05,0.224327,0.159489,0.439578,0.952105,0.101025,0.984405,1.50511,1.49939,0.486935,0.698884,0.637396,0.481031,5.3464e-11,9.99936e-14,900,1900,268.45
0,0,1000,0.75,0.00999593,0.0018208,2.05,2.05,0.224326,0.159489,0.439578,0.952105,0.101024,0.984405,1.50511,1.49939,0.486935,0.698884,0.637396,0.481031,5.34645e-11,9.99952e-14,900,1900,268.45
1,0,0.1,1,0.0025,0.00181381,2.04969,2.05003,0.228023,0.161782,0.442337,0.951793,0.1037,0.984239,1.50507,1.49941,0.485737,0.698884,0.638408,0.481638,1.33666e-11,1.18799e-13,900,1900,268.45
1,0,0.1,0.75,0.00329811,0.00180985,2.04973,2.05002,0.227682,0.161518,0.442009,0.95183,0.10339,0.984259,1.50508,1.4994,0.485881,0.698884,0.638319,0.481569,1.33666e-11,1.19659e-13,900,1900,268.45
1,0,1,1,0.00353787,0.00169945,2.04979,2.05001,0.227132,0.160976,0.441309,0.951904,0.102731,0.984304,1.50509,1.4994,0.486189,0.698884,0.638209,0.48141,1.33666e-11,1.75e-13,900,1900,268.45
1,0,1,0.75,0.00407652,0.00172408,2.04981,2.05001,0.227013,0.160914,0.441238,0.951913,0.102664,0.984308,1.50509,1.4994,0.486221,0.698884,0.638169,0.481397,1.33666e-11,1.6181e-13,900,1900,268.45
1,0,10,1,0.00549938,0.00172324,2.04984,2.05001,0.226694,0.160745,0.441044,0.951937,0.102481,0.984319,1.5051,1.4994,0.486305,0.698884,0.638065,0.481364,1.33666e-11,1.75e-13,900,1900,268.45
1,0,10,0.75,0.00554765,0.00174192,2.04984,2.05001,0.226685,0.160741,0.441039,0.951938,0.102476,0.984319,1.5051,1.4994,0.486308,0.698884,0.638062,0.481363,1.33666e-11,1.6181e-13,900,1900,268.45
1,0,100,1,0.0056729,0.00178005,2.04984,2.05001,0.226661,0.16073,0.441026,0.95194,0.102464,0.98432,1.5051,1.4994,0.486313,0.698884,0.638053,0.481361,1.33666e-11,1.75e-13,900,1900,268.45
