# Observation File: observations.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.583673258475e+02 2.598338313416e+02 2.615450821988e+02 2.628581442385e+02 2.649882915686e+02 2.668602128224e+02 2.681391688638e+02 2.245905681701e-01 2.245906931390e-01 2.245908801694e-01 1.596134760401e-01 1.596161958637e-01 1.596201470184e-01 1.596246102409e-01
8.640000000000e+04 2.609373787629e+02 2.615282043543e+02 2.626252074264e+02 2.634033555060e+02 2.649932722514e+02 2.667179309482e+02 2.679817023130e+02 2.245908075814e-01 2.245908780481e-01 2.245910304876e-01 1.596140509529e-01 1.596162010791e-01 1.596197627354e-01 1.596239382887e-01
1.728000000000e+05 2.609129585204e+02 2.619096918808e+02 2.630534526202e+02 2.637527989011e+02 2.650962606378e+02 2.666427051630e+02 2.678529750745e+02 2.245908048192e-01 2.245909275949e-01 2.245910992430e-01 1.596144582499e-01 1.596163683321e-01 1.596195665233e-01 1.596234193852e-01
2.592000000000e+05 2.607748426021e+02 2.619929415937e+02 2.632509724380e+02 2.639573740770e+02 2.651913038688e+02 2.665996322375e+02 2.677479575953e+02 2.245907894077e-01 2.245909388700e-01 2.245911330147e-01 1.596147119854e-01 1.596165273690e-01 1.596194562562e-01 1.596230148281e-01
3.456000000000e+05 2.604151793390e+02 2.618712429316e+02 2.632943699117e+02 2.640513237144e+02 2.652577605854e+02 2.665718667869e+02 2.676619213402e+02 2.245907508862e-01 2.245909224452e-01 2.245911406210e-01 1.596148328622e-01 1.596166411324e-01 1.596193859613e-01 1.596226952178e-01
4.320000000000e+05 2.599629229100e+02 2.616362587342e+02 2.632370694811e+02 2.640631023303e+02 2.652897873353e+02 2.665473601846e+02 2.675889406976e+02 2.245907055101e-01 2.245908917397e-01 2.245911305924e-01 1.596148487744e-01 1.596166967113e-01 1.596193244207e-01 1.596224320531e-01
5.184000000000e+05 2.599088175379e+02 2.615641877337e+02 2.632063380930e+02 2.640583899718e+02 2.652981558708e+02 2.665206290635e+02 2.675240695372e+02 2.245907002949e-01 2.245908825784e-01 2.245911252627e-01 1.596148429441e-01 1.596167112547e-01 1.596192578259e-01 1.596222040064e-01
6.048000000000e+05 2.592721683210e+02 2.612207941181e+02 2.630595389883e+02 2.639884354242e+02 2.652785779868e+02 2.664874692799e+02 2.674632696821e+02 2.245906420662e-01 2.245908404889e-01 2.245911002634e-01 1.596147535415e-01 1.596166770497e-01 1.596191759770e-01 1.596219951138e-01
6.912000000000e+05 2.589469119660e+02 2.609678186994e+02 2.629124362418e+02 2.638954584722e+02 2.652361002777e+02 2.664458537165e+02 2.674035130697e+02 2.245906143881e-01 2.245908110404e-01 2.245910759504e-01 1.596146364640e-01 1.596166034521e-01 1.596190744314e-01 1.596217942211e-01
7.776000000000e+05 2.587609106198e+02 2.607982503189e+02 2.627899023682e+02 2.638023363617e+02 2.651793814255e+02 2.663961324656e+02 2.673429564414e+02 2.245905991383e-01 2.245907919947e-01 2.245910562391e-01 1.596145213390e-01 1.596165063855e-01 1.596189547897e-01 1.596215949628e-01
8.640000000000e+05 2.589274578843e+02 2.608258619600e+02 2.627494789733e+02 2.637441951147e+02 2.651218016275e+02 2.663412825531e+02 2.672811379413e+02 2.245906127739e-01 2.245907950593e-01 2.245910498410e-01 1.596144502744e-01 1.596164091763e-01 1.596188248858e-01 1.596213959005e-01
9.504000000000e+05 2.582181553774e+02 2.604503570900e+02 2.625632284839e+02 2.636252907618e+02 2.650502472149e+02 2.662806668324e+02 2.672175620887e+02 2.245905568719e-01 2.245907545549e-01 2.245910210096e-01 1.596143086456e-01 1.596162904457e-01 1.596186838007e-01 1.596211956155e-01
