# Observation File: observations.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.583673258475e+02 2.598338313416e+02 2.615450821988e+02 2.628581442385e+02 2.649882915686e+02 2.668602128224e+02 2.681391688638e+02 2.243251693577e-01 2.243252879121e-01 2.243254653427e-01 1.594977847451e-01 1.595004554960e-01 1.595043353617e-01 1.595087180560e-01
8.640000000000e+04 2.609377520465e+02 2.615287764958e+02 2.626252934583e+02 2.634035386251e+02 2.649937247342e+02 2.667182763624e+02 2.679817507571e+02 2.243253965205e-01 2.243254633984e-01 2.243256079583e-01 1.594983494953e-01 1.595004613418e-01 1.595039589075e-01 1.595080584241e-01
1.728000000000e+05 2.609132980577e+02 2.619103679650e+02 2.630538294760e+02 2.637533375962e+02 2.650971348900e+02 2.666433560933e+02 2.678531578492e+02 2.243253938963e-01 2.243255104203e-01 2.243256732323e-01 1.594987498828e-01 1.595006262860e-01 1.595037669878e-01 1.595075493919e-01
2.592000000000e+05 2.607752359647e+02 2.619937624521e+02 2.632515626641e+02 2.639581500143e+02 2.651924788869e+02 2.666005282981e+02 2.677482885580e+02 2.243253792807e-01 2.243255211368e-01 2.243257053085e-01 1.594989993662e-01 1.595007829924e-01 1.595036593003e-01 1.595071526556e-01
3.456000000000e+05 2.604156296640e+02 2.618722049617e+02 2.632951093597e+02 2.640522599800e+02 2.652591639327e+02 2.665729644322e+02 2.676623980599e+02 2.243253427396e-01 2.243255055705e-01 2.243257125502e-01 1.594991182880e-01 1.595008951264e-01 1.595035907535e-01 1.595068392960e-01
4.320000000000e+05 2.599634352986e+02 2.616373539215e+02 2.632379189895e+02 2.640641554224e+02 2.652913762090e+02 2.665486301421e+02 2.675895551794e+02 2.243252996952e-01 2.243254764521e-01 2.243257030530e-01 1.594991340670e-01 1.595009500414e-01 1.595035307260e-01 1.595065813152e-01
5.184000000000e+05 2.599093945766e+02 2.615653938450e+02 2.632072989014e+02 2.640595645820e+02 2.652999058239e+02 2.665220517713e+02 2.675248130722e+02 2.243252947532e-01 2.243254677726e-01 2.243256980143e-01 1.594991284964e-01 1.595009646058e-01 1.595034656793e-01 1.595063577729e-01
6.048000000000e+05 2.592727734521e+02 2.612220983247e+02 2.630605734814e+02 2.639896931729e+02 2.652804724643e+02 2.664890320734e+02 2.674641345642e+02 2.243252395108e-01 2.243254278461e-01 2.243256743051e-01 1.594990407895e-01 1.595009312504e-01 1.595033856098e-01 1.595061529990e-01
6.912000000000e+05 2.589475794908e+02 2.609692270024e+02 2.629135492910e+02 2.638968030757e+02 2.652381308828e+02 2.664475487868e+02 2.674044931709e+02 2.243252132559e-01 2.243253999141e-01 2.243256512472e-01 1.594989259000e-01 1.595008591761e-01 1.595032861636e-01 1.595059560461e-01
7.776000000000e+05 2.587616209255e+02 2.607997428251e+02 2.627911003289e+02 2.638037790140e+02 2.651815435712e+02 2.663979544361e+02 2.673440468825e+02 2.243251987908e-01 2.243253818505e-01 2.243256325562e-01 1.594988129374e-01 1.595007640307e-01 1.595031689176e-01 1.595057606676e-01
