name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
alpha_p,0.01,0.0025,0.005,0.015,0.00963423,0.0025,0.00463423,0.0146342
alpha_m,0.00182491,0.000684343,0.000456229,0.0031936,0.00175795,0.000684342,0.000389268,0.00312664
n_p,1.5,0.25625,0.9875,2.0125,1.5009,0.255216,0.990469,2.01133
wr_p,0.1,0.044,0.012,0.188,0.101236,0.0439959,0.0132444,0.189228
por_p,0.63739,0.17275,0.29189,0.98289,0.637723,0.172736,0.292251,0.983194
por_m,0.481031,0.180387,0.120258,0.841804,0.481078,0.18036,0.120357,0.841799
perm_p,5.34662e-11,2.00498e-11,1.33666e-11,9.35659e-11,8.66851e-11,2.00498e-11,4.65854e-11,1.26785e-10
perm_m,1e-13,3.75e-14,2.5e-14,1.75e-13,2.5e-14,3.75e-14,-4.99999e-14,9.99999e-14
pen_s,0.02,0.0075,0.005,0.035,0.0199723,0.0075,0.00497233,0.0349723
z_bg,0.04,0.015,0.01,0.07,0.0400081,0.015,0.0100081,0.0700081
z_s,0.005,0.001875,0.00125,0.00875,0.00485742,0.001875,0.00110743,0.00860742
b_bc,268.45,2.75,262.95,273.95,268.45,2.75,262.95,273.95
