iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,wr_p,por_p,por_m,perm_p,perm_m,pen_s,z_bg,z_s,b_bc
0,0,0.1,1,0.00963423,0.00175795,1.5009,0.101236,0.637723,0.481078,8.66851e-11,2.5e-14,0.0199723,0.0400081,0.00485742,268.45
0,0,0.1,0.75,0.00972567,0.00177469,1.50068,0.100927,0.63764,0.481066,7.83804e-11,4.375e-14,0.0199792,0.0400061,0.00489307,268.45
0,0,1,1,0.00992208,0.0017925,1.50021,0.100238,0.637444,0.481037,8.84899e-11,2.5e-14,0.0199971,0.0400004,0.00497229,268.45
0,0,1,0.75,0.00994156,0.00180061,1.50016,0.100179,0.63743,0.481035,7.97339e-11,4.375e-14,0.0199978,0.0400003,0.00497922,268.45
0,0,10,1,0.00999116,0.00181993,1.50002,0.100027,0.637396,0.481032,8.86189e-11,2.5e-14,0.0199997,0.04,0.00499691,268.45
0,0,10,0.75,0.00999337,0.00182118,1.50002,0.10002,0.637394,0.481031,7.98307e-11,4.375e-14,0.0199998,0.04,0.00499768,268.45
0,0,100,1,0.0099991,0.00182439,1.5,0.100003,0.637391,0.481031,8.86093e-11,2.5e-14,0.02,0.04,0.00499969,268.45
0,0,100,0.75,0.00999933,0.00182452,1.5,0.100002,0.63739,0.481031,7.98235e-11,4.375e-14,0.02,0.04,0.00499977,268.45
0,0,1000,1,0.00999986,0.00182493,1.5,0.100001,0.63739,0.481031,7.98567e-11,1.75e-13,0.02,0.04,0.00499997,268.45
0,0,1000,0.75,0.00999989,0.00182492,1.5,0.1,0.63739,0.481031,7.32591e-11,1.5625e-13,0.02,0.04,0.00499997,268.45
1,0,0.1,1,0.00875595,0.00194342,1.50654,0.108242,0.639846,0.48164,9.35659e-11,3.7218e-14,0.0198803,0.039958,0.00486767,268.45
1,0,0.1,0.75,0.00897552,0.00189706,1.50513,0.10649,0.639315,0.481499,9.18457e-11,3.41635e-14,0.0199033,0.0399705,0.00486511,268.45
1,0,1,1,0.0095069,0.0018258,1.50164,0.102044,0.637929,0.481107,9.35659e-11,2.62146e-14,0.0199677,0.0400055,0.00483514,268.45
1,0,1,0.75,0.00953873,0.00180884,1.50145,0.101842,0.637877,0.4811,9.18457e-11,2.59109e-14,0.0199689,0.0400062,0.00484071,268.45
1,0,10,1,0.00962055,0.00177702,1.50099,0.101328,0.637746,0.481081,9.35659e-11,2.5e-14,0.0199719,0.0400078,0.00485683,268.45
1,0,10,0.75,0.00962397,0.00177225,1.50097,0.101305,0.63774,0.48108,9.18457e-11,2.5e-14,0.019972,0.0400079,0.00485698,268.45
1,0,100,1,0.00963288,0.0017605,1.50091,0.101246,0.637725,0.481078,9.35659e-11,2.5e-14,0.0199723,0.0400081,0.00485751,268.45
1,0,100,0.75,0.00963322,0.00175986,1.50091,0.101243,0.637725,0.481078,9.18457e-11,2.5e-14,0.0199723,0.0400081,0.00485749,268.45
1,0,1000,1,0.00963206,0.00176013,1.50092,0.101255,0.637728,0.481078,8.66826e-11,2.5e-14,0.0199722,0.040008,0.00485777,268.45
1,0,1000,0.75,0.0096326,0.00175959,1.50091,0.10125,0.637726,0.481078,8.66833e-11,2.5e-14,0.0199723,0.040008,0.00485768,268.45
2,0,0.1,1,0.00875594,0.00194342,1.50654,0.108242,0.639846,0.48164,9.35659e-11,2.5e-14,0.0198803,0.039958,0.00486767,268.45
