# Observation File: observations.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.691345100964e+02 2.698246552691e+02 2.704545773110e+02 2.710816245662e+02 2.721286369477e+02 2.725109571575e+02 2.724246202786e+02 1.621314810367e-01 1.627065335989e-01 1.634119421976e-01 1.644298648605e-01 1.678283551430e-01 1.707722456898e-01 1.698993322685e-01
8.640000000000e+04 2.694219641468e+02 2.698954917780e+02 2.703798335924e+02 2.709083159264e+02 2.719095102839e+02 2.724049696435e+02 2.723911562776e+02 1.623518357743e-01 1.627756347745e-01 1.633159013882e-01 1.641051881070e-01 1.667685904384e-01 1.697219568046e-01 1.696013749010e-01
1.728000000000e+05 2.695843107084e+02 2.699802809344e+02 2.703837289466e+02 2.708324888031e+02 2.717446713048e+02 2.722880383779e+02 2.723413584210e+02 1.624877798090e-01 1.628613428146e-01 1.633208112867e-01 1.639735872386e-01 1.661377851838e-01 1.687939576920e-01 1.691923694693e-01
2.592000000000e+05 2.697361798688e+02 2.700670577129e+02 2.704073210486e+02 2.707921392254e+02 2.716149777525e+02 2.721730111026e+02 2.722820152966e+02 1.626235433307e-01 1.629526589487e-01 1.633507688649e-01 1.639057532352e-01 1.657140473022e-01 1.680473149952e-01 1.687512520151e-01
3.456000000000e+05 2.698265503191e+02 2.701235564311e+02 2.704248233597e+02 2.707651611049e+02 2.715120477676e+02 2.720655493971e+02 2.722168732175e+02 1.627086657939e-01 1.630141913629e-01 1.633732419105e-01 1.638614784229e-01 1.654141067334e-01 1.674590042014e-01 1.683158585566e-01
4.320000000000e+05 2.698122424064e+02 2.701137889667e+02 2.704064641466e+02 2.707276284787e+02 2.714248382073e+02 2.719672013072e+02 2.721492138014e+02 1.626949610780e-01 1.630034322351e-01 1.633496740688e-01 1.638023642838e-01 1.651814928626e-01 1.669917676124e-01 1.679089854812e-01
5.184000000000e+05 2.698930474262e+02 2.701518768567e+02 2.704122209256e+02 2.707038677565e+02 2.713511182289e+02 2.718779651068e+02 2.720814695267e+02 1.627735283532e-01 1.630456807792e-01 1.633570388217e-01 1.637653726529e-01 1.649982233407e-01 1.666151438777e-01 1.675405770294e-01
6.048000000000e+05 2.698887688096e+02 2.701472220809e+02 2.703987757074e+02 2.706755588373e+02 2.712862413225e+02 2.717969139964e+02 2.720152404087e+02 1.627692958763e-01 1.630404748745e-01 1.633398738197e-01 1.637224210939e-01 1.648461053319e-01 1.663055541857e-01 1.672124727327e-01
6.912000000000e+05 2.698940044555e+02 2.701416425655e+02 2.703824422770e+02 2.706463901918e+02 2.712275555423e+02 2.717229760708e+02 2.719513813661e+02 1.627744761923e-01 1.630342505096e-01 1.633191883693e-01 1.636790276814e-01 1.647152587308e-01 1.660462315139e-01 1.669219661743e-01
7.776000000000e+05 2.698891349467e+02 2.701297033548e+02 2.703623397924e+02 2.706161464737e+02 2.711733757464e+02 2.716550254914e+02 2.718902474497e+02 1.627696577424e-01 1.630209888402e-01 1.632939770958e-01 1.636349041131e-01 1.645997174861e-01 1.658249089194e-01 1.666646098683e-01
