name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
alpha_p,0.01,0.0025,0.005,0.015,0.0125,0.0025,0.00750001,0.0175
alpha_m,0.00182491,0.000684343,0.000456224,0.0031936,0.000456229,0.000684253,-0.000912278,0.00182474
n_p,1.5,0.25625,0.9875,2.0125,1.49488,0.256245,0.982393,2.00737
wr_p,0.1,0.044,0.012,0.188,0.150308,0.0439993,0.0623093,0.238306
por_p,0.63739,0.17275,0.29189,0.98289,0.474877,0.172686,0.129504,0.820249
por_m,0.481031,0.180387,0.120258,0.841804,0.401069,0.180334,0.0404007,0.761738
perm_p,5.34662e-11,2.00498e-11,1.33666e-11,9.35659e-11,1.48088e-11,2.00478e-11,-2.52868e-11,5.49044e-11
perm_m,1e-13,3.75e-14,2.5e-14,1.75e-13,5.49152e-14,3.74987e-14,-2.00823e-14,1.29913e-13
pen_s,0.02,0.0075,0.005,0.035,0.02,0.0075,0.005,0.035
z_bg,0.04,0.015,0.01,0.07,0.0438303,0.0149996,0.0138312,0.0738295
z_s,0.005,0.001875,0.00125,0.00875,0.005,0.001875,0.00125,0.00875
b_bc,268.45,2.75,262.95,273.95,268.45,2.75,262.95,273.95
