iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,wr_p,por_p,por_m,perm_p,perm_m,pen_s,z_bg,z_s,b_bc
0,0,0.1,1,0.0116641,0.00188713,1.49945,0.109078,0.595548,0.461879,1.58169e-11,1.53926e-13,0.02,0.0429632,0.005,268.45
0,0,0.1,0.75,0.0112481,0.00187157,1.49959,0.106809,0.606008,0.466667,2.52292e-11,1.40444e-13,0.02,0.0422224,0.005,268.45
0,0,1,1,0.0108136,0.00191567,1.49995,0.100998,0.632462,0.478863,1.68683e-11,1.60442e-13,0.02,0.0404547,0.005,268.45
0,0,1,0.75,0.0106102,0.00189298,1.49996,0.100748,0.633694,0.479405,2.60178e-11,1.45331e-13,0.02,0.040341,0.005,268.45
0,0,10,1,0.0101413,0.00188931,1.5,0.100103,0.636889,0.480812,1.87642e-11,1.65179e-13,0.02,0.0400505,0.005,268.45
0,0,10,0.75,0.010106,0.00187321,1.5,0.100077,0.637014,0.480867,2.74397e-11,1.48884e-13,0.02,0.0400378,0.005,268.45
0,0,100,1,0.0100151,0.00184319,1.5,0.10001,0.63734,0.481009,1.97349e-11,1.67544e-13,0.02,0.0400049,0.005,268.45
0,0,100,0.75,0.0100114,0.00183862,1.5,0.100008,0.637352,0.481015,2.81677e-11,1.50658e-13,0.02,0.0400037,0.005,268.45
0,0,1000,1,0.0100015,0.00182716,1.5,0.100001,0.637385,0.481029,2.00044e-11,1.68202e-13,0.02,0.0400005,0.005,268.45
0,0,1000,0.75,0.0100011,0.0018266,1.5,0.100001,0.637386,0.481029,2.83698e-11,1.51151e-13,0.02,0.0400004,0.005,268.45
1,0,0.1,1,0.0112946,0.00102152,1.49929,0.118089,0.565902,0.447722,1.45747e-11,1.75e-13,0.02,0.0410893,0.005,268.45
1,0,0.1,0.75,0.011387,0.00123792,1.49933,0.115836,0.573313,0.451261,1.48852e-11,1.69731e-13,0.02,0.0415578,0.005,268.45
1,0,1,1,0.0116468,0.00119406,1.49944,0.109982,0.592414,0.460447,1.48492e-11,1.75e-13,0.02,0.0423656,0.005,268.45
1,0,1,0.75,0.0116511,0.00136733,1.49944,0.109756,0.593198,0.460805,1.50911e-11,1.69731e-13,0.02,0.042515,0.005,268.45
1,0,10,1,0.011661,0.001477,1.49945,0.1092,0.59512,0.461685,1.42778e-11,1.70973e-13,0.02,0.0428613,0.005,268.45
1,0,10,0.75,0.0116618,0.00157953,1.49945,0.10917,0.595227,0.461734,1.46625e-11,1.66711e-13,0.02,0.0428868,0.005,268.45
