# Observation File: observations.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.603261719806e+02 2.618234756267e+02 2.629126019262e+02 2.639717271956e+02 2.660118884326e+02 2.678743532559e+02 2.690976014403e+02 2.240011944754e-01 2.240013599948e-01 2.240015117323e-01 2.766801027222e-01 2.766833848866e-01 2.766886586258e-01 2.766948236525e-01
8.640000000000e+04 2.632427697122e+02 2.632946963658e+02 2.634542224274e+02 2.639446394613e+02 2.659548967181e+02 2.678049573824e+02 2.690411631117e+02 2.240015645077e-01 2.240015731383e-01 2.240016002467e-01 2.766800645460e-01 2.766832676858e-01 2.766883948101e-01 2.766944568964e-01
1.728000000000e+05 2.618196140863e+02 2.625049011125e+02 2.629897631979e+02 2.637434375425e+02 2.658819848252e+02 2.677369661928e+02 2.689844270961e+02 2.240013595101e-01 2.240014511969e-01 2.240015237508e-01 2.766798235340e-01 2.766831198163e-01 2.766881430102e-01 2.766940983966e-01
2.592000000000e+05 2.602780538761e+02 2.613907301374e+02 2.621818884097e+02 2.633166421544e+02 2.657961552281e+02 2.676696408270e+02 2.689276091798e+02 2.240006833828e-01 2.240013077055e-01 2.240014065140e-01 2.766793465004e-01 2.766829501161e-01 2.766878999419e-01 2.766937492019e-01
3.456000000000e+05 2.609048371949e+02 2.614248997152e+02 2.619278838715e+02 2.629061482963e+02 2.656615527730e+02 2.676015999074e+02 2.688707492789e+02 2.240002358317e-01 2.240013116902e-01 2.240013732312e-01 2.766789177721e-01 2.766826933273e-01 2.766876603877e-01 2.766934091937e-01
4.320000000000e+05 2.610629437157e+02 2.615927392309e+02 2.620398430595e+02 2.628645418797e+02 2.655007479427e+02 2.675275792301e+02 2.688136693805e+02 2.240003430840e-01 2.240013316140e-01 2.240013877088e-01 2.766788721239e-01 2.766823973166e-01 2.766874064777e-01 2.766930769942e-01
5.184000000000e+05 2.612686089030e+02 2.617091679978e+02 2.620982527478e+02 2.628434466181e+02 2.653662519458e+02 2.674450463709e+02 2.687554947315e+02 2.240002860097e-01 2.240013457879e-01 2.240013953815e-01 2.766788496015e-01 2.766821578310e-01 2.766871312741e-01 2.766927474574e-01
6.048000000000e+05 2.614219517781e+02 2.618298222831e+02 2.621851005733e+02 2.628645146616e+02 2.652587228699e+02 2.673581465632e+02 2.686952927294e+02 2.240002215036e-01 2.240013607922e-01 2.240014069450e-01 2.766788690248e-01 2.766819717374e-01 2.766868501344e-01 2.766924156560e-01
6.912000000000e+05 2.612339785861e+02 2.617376079744e+02 2.621421569747e+02 2.628504953613e+02 2.651741687742e+02 2.672715105000e+02 2.686329527610e+02 2.240002357733e-01 2.240013492953e-01 2.240014012038e-01 2.766788551713e-01 2.766818286478e-01 2.766865782674e-01 2.766920815544e-01
7.776000000000e+05 2.588354927774e+02 2.602493721429e+02 2.611949114881e+02 2.624563089560e+02 2.650954031198e+02 2.671881001489e+02 2.685690714411e+02 2.240010649356e-01 2.240011870488e-01 2.240012853216e-01 2.766784884916e-01 2.766816986206e-01 2.766863241197e-01 2.766917487895e-01
