,Name,Group,Measured,Modelled,Residual,Weight,Weighted_Residual,Absolute_Residual,Weighted_Absolute_Residual,Weighted_Sq_Residual,Phi_Percent
0,stemp_0.04_0,temp,260.6422,258.367325848,2.2748741525,0.000231018,0.000525536876962245,2.2748741525,0.000525536876962245,2.761890090472298e-07,0.008528990185395819
1,stemp_0.04_1,temp,261.2884,260.919580468,0.3688195316,0.000231018,8.520395055116879e-05,0.3688195316,8.520395055116879e-05,7.2597131895260155e-09,0.00022418713458531453
2,stemp_0.04_2,temp,261.3255,260.884016625,0.4414833749,0.000231018,0.0001019906063026482,0.4414833749,0.0001019906063026482,1.0402083773981783e-08,0.00032122665098807115
3,stemp_0.04_3,temp,261.1522,260.738655434,0.4135445664,0.000231018,9.553623864059519e-05,0.4135445664,9.553623864059519e-05,9.127172893592753e-09,0.0002818561401063984
4,stemp_0.04_4,temp,260.7784,260.37182255,0.4065774499,0.000231018,9.39267093209982e-05,0.4065774499,9.39267093209982e-05,8.82222672387129e-09,0.0002724391003132485
5,stemp_0.04_5,temp,260.3231,259.912553023,0.4105469774,0.000231018,9.48437416249932e-05,0.4105469774,9.48437416249932e-05,8.995335325428468e-09,0.0002777848654064434
6,stemp_0.04_6,temp,260.3782,259.855731422,0.5224685784,0.000231018,0.00012069964604481121,0.5224685784,0.00012069964604481121,1.4568404555342711e-08,0.00044988676377105815
7,stemp_0.04_7,temp,259.7585,259.211573027,0.5469269729,0.000231018,0.0001263499754254122,0.5469269729,0.0001263499754254122,1.5964316290002268e-08,0.0004929939008930653
8,stemp_0.04_8,temp,259.4415,258.881914886,0.5595851135,0.000231018,0.00012927423375054298,0.5595851135,0.00012927423375054298,1.6711827511790024e-08,0.0005160777878880426
9,stemp_0.04_9,temp,259.1726,258.693158008,0.479441992,0.000231018,0.000110759730107856,0.479441992,0.000110759730107856,1.2267717813565102e-08,0.0003788392781814489
10,stemp_0.04_10,temp,259.3997,258.860551783,0.5391482173,0.000231018,0.00012455294286421137,0.5391482173,0.00012455294286421137,1.5513435576135503e-08,0.00047907025781755
11,stemp_0.04_11,temp,258.8128,258.144066224,0.6687337762,0.000231018,0.0001544895395101716,0.6687337762,0.0001544895395101716,2.386701781806487e-08,0.000737037152300772
12,stemp_0.04_12,temp,258.3265,257.871358457,0.4551415426,0.000231018,0.0001051458888883668,0.4551415426,0.0001051458888883668,1.1055657950124776e-08,0.00034140966896181865
13,stemp_0.04_13,temp,258.0017,257.63189296,0.3698070405,0.000231018,8.5432082882229e-05,0.3698070405,8.5432082882229e-05,7.298640785596045e-09,0.00022538925731267317
14,stemp_0.04_14,temp,258.5859,258.592721273,-0.00682127330003,0.000231018,-1.5758369152263306e-06,0.00682127330003,1.5758369152263306e-06,2.4832619833900372e-12,7.668558990513027e-08
15,stemp_0.04_15,temp,258.8353,258.265886314,0.5694136865,0.000231018,0.000131544811027857,0.5694136865,0.000131544811027857,1.7304037308354608e-08,0.0005343658130343685
16,stemp_0.04_16,temp,259.0194,258.693487143,0.3259128567,0.000231018,7.52917363291206e-05,0.3259128567,7.52917363291206e-05,5.668845559453818e-09,0.0001750595662944656
17,stemp_0.04_17,temp,259.0142,258.815886332,0.1983136683,0.000231018,4.5814027023329394e-05,0.1983136683,4.5814027023329394e-05,2.098925072094356e-09,6.481688536965888e-05
18,stemp_0.04_18,temp,259.1731,258.905797585,0.2673024154,0.000231018,6.175166940087719e-05,0.2673024154,6.175166940087719e-05,3.813268673795232e-09,0.00011775751397665212
19,stemp_0.04_19,temp,258.7783,258.06122811,0.7170718897,0.000231018,0.0001656565138147146,0.7170718897,0.0001656565138147146,2.7442080569244728e-08,0.0008474386314261521
20,stemp_0.04_20,temp,258.1565,257.1929707,0.9635293,0.000231018,0.0002225926118274,0.9635293,0.0002225926118274,4.954747084014357e-08,0.0015300749800456572
21,stemp_0.04_21,temp,257.205,255.98409221,1.2209077903,0.000231018,0.0002820516758995254,1.2209077903,0.0002820516758995254,7.95531478777309e-08,0.0024566800098496334
22,stemp_0.04_22,temp,255.8992,254.990285729,0.9089142711,0.000231018,0.00020997555708097978,0.9089142711,0.00020997555708097978,4.40897345714678e-08,0.001361534677770072
23,stemp_0.04_23,temp,255.3265,254.500230888,0.8262691118,0.000231018,0.00019088303766981237,0.8262691118,0.00019088303766981237,3.643633407005501e-08,0.0011251900890167572
24,stemp_0.04_24,temp,255.2708,254.569348034,0.7014519665,0.000231018,0.00016204803039689697,0.7014519665,0.00016204803039689697,2.6259564155513646e-08,0.0008109213531985557
25,stemp_0.04_25,temp,255.3444,254.988134705,0.356265295,0.000231018,8.230369592030999e-05,0.356265295,8.230369592030999e-05,6.773898362142851e-09,0.00020918469147954193
26,stemp_0.04_26,temp,256.3877,256.482079402,-0.0943794022,0.000231018,-2.18033407374396e-05,0.0943794022,2.18033407374396e-05,4.753856673128932e-10,1.4680380311933979e-05
27,stemp_0.04_27,temp,257.0276,256.823122766,0.2044772338,0.000231018,4.723792159800839e-05,0.2044772338,4.723792159800839e-05,2.231421236899588e-09,6.890849818627594e-05
28,stemp_0.04_28,temp,257.2752,256.899765242,0.3754347576,0.000231018,8.67321868312368e-05,0.3754347576,8.67321868312368e-05,7.522472232528566e-09,0.00023230139411585765
29,stemp_0.04_29,temp,257.6142,257.423735646,0.1904643538,0.000231018,4.40006940861684e-05,0.1904643538,4.40006940861684e-05,1.936061080064575e-09,5.978748396672743e-05
30,stemp_0.04_30,temp,257.8523,257.817358746,0.0349412536,0.000231018,8.0720585241648e-06,0.0349412536,8.0720585241648e-06,6.515812881754161e-11,2.012147561920306e-06
31,stemp_0.04_31,temp,258.3584,258.325023148,0.0333768518,0.000231018,7.7106535491324e-06,0.0333768518,7.7106535491324e-06,5.945417815474808e-11,1.836003915260461e-06
32,stemp_0.04_32,temp,258.1115,257.857728255,0.2537717452,0.000231018,5.86258410326136e-05,0.2537717452,5.86258410326136e-05,3.4369892367812802e-09,0.00010613763222853574
33,stemp_0.04_33,temp,258.1543,257.706189279,0.4481107206,0.000231018,0.0001035216424515708,0.4481107206,0.0001035216424515708,1.0716730455870865e-08,0.00033094325220604516
