,Name,Group,Measured,Modelled,Residual,Weight,Weighted_Residual,Absolute_Residual,Weighted_Absolute_Residual,Weighted_Sq_Residual,Phi_Percent
0,stemp_0.04_0,temp,260.6422,270.15,-9.5078,7.573979e-05,-0.000720118775362,9.5078,0.000720118775362,5.185710506288667e-07,0.030333882724286575
1,stemp_0.04_1,temp,261.2884,262.88670612,-1.5983061197,7.573979e-05,-0.00012105536986179286,1.5983061197,0.00012105536986179286,1.4654402572375466e-08,0.0008572112316833909
2,stemp_0.04_2,temp,261.3255,262.064288285,-0.7387882852,7.573979e-05,-5.5955669575508105e-05,0.7387882852,5.5955669575508105e-05,3.1310369576434436e-09,0.00018315042415766565
3,stemp_0.04_3,temp,261.1522,261.625630058,-0.4734300583,7.573979e-05,-3.5857493195329756e-05,0.4734300583,3.5857493195329756e-05,1.2857598182531198e-09,7.521069194123477e-05
4,stemp_0.04_4,temp,260.7784,261.10771997,-0.3293199696,7.573979e-05,-2.4942625340310383e-05,0.3293199696,2.4942625340310383e-05,6.221345588670937e-10,3.6391843942145556e-05
5,stemp_0.04_5,temp,260.3231,260.552856617,-0.2297566174,7.573979e-05,-1.7401717952986347e-05,0.2297566174,1.7401717952986347e-05,3.0281978771528733e-10,1.771348384374612e-05
6,stemp_0.04_6,temp,260.3782,260.424381823,-0.0461818231,7.573979e-05,-3.497801583411149e-06,0.0461818231,3.497801583411149e-06,1.2234615916913541e-11,7.156654887508414e-07
7,stemp_0.04_7,temp,259.7585,259.726747496,0.0317525040001,7.573979e-05,2.4049279849417337e-06,0.0317525040001,2.4049279849417337e-06,5.783678612755908e-12,3.3831705133085586e-07
8,stemp_0.04_8,temp,259.4415,259.353742067,0.0877579326,7.573979e-05,6.6467673859581546e-06,0.0877579326,6.6467673859581546e-06,4.4179516683037e-11,2.5842867168418572e-06
9,stemp_0.04_9,temp,259.1726,259.126773135,0.0458268649,7.573979e-05,3.470917123884371e-06,0.0458268649,3.470917123884371e-06,1.2047265680873755e-11,7.047064117227148e-07
