,Name,Group,Measured,Modelled,Residual,Weight,Weighted_Residual,Absolute_Residual,Weighted_Absolute_Residual,Weighted_Sq_Residual,Phi_Percent
0,stemp_0.04_0,temp,260.6422,260.326171981,0.3160280194,0.0004430657,0.0001400211756350746,0.3160280194,0.0001400211756350746,1.9605929626228406e-08,0.00010686614969690155
1,stemp_0.04_1,temp,261.2884,262.718981648,-1.4305816478,0.0004430657,-0.0006338416591896604,1.4305816478,0.0006338416591896604,4.0175524892430166e-07,0.0021898495705923635
2,stemp_0.04_2,temp,261.3255,263.599720143,-2.2742201425,0.0004430657,-0.0010076289393908622,2.2742201425,0.0010076289393908622,1.0153160794979538e-06,0.005534189003522005
3,stemp_0.04_3,temp,261.1522,264.222888391,-3.0706883914,0.0004430657,-0.001360516701617515,3.0706883914,0.001360516701617515,1.8510056953802021e-06,0.010089287042410484
4,stemp_0.04_4,temp,260.7784,264.618277378,-3.8398773776,0.0004430657,-0.0017013179582205083,3.8398773776,0.0017013179582205083,2.894482794963599e-06,0.01577697347479413
5,stemp_0.04_5,temp,260.3231,264.855109906,-4.5320099061,0.0004430657,-0.0020079781414531306,4.5320099061,0.0020079781414531306,4.031976216553568e-06,0.021977115196625804
6,stemp_0.04_6,temp,260.3782,265.117356368,-4.739156368,0.0004430657,-0.0020997576335973775,4.739156368,0.0020997576335973775,4.408982119850459e-06,0.024032063371306752
7,stemp_0.04_7,temp,259.7585,265.272704593,-5.5142045927,0.0004430657,-0.00244315491780784,5.5142045927,0.00244315491780784,5.969005952408634e-06,0.03253529395507208
8,stemp_0.04_8,temp,259.4415,265.41823801,-5.9767380098,0.0004430657,-0.002648087610028644,5.9767380098,0.002648087610028644,7.012367990387215e-06,0.03822235322052618
9,stemp_0.04_9,temp,259.1726,265.547823504,-6.3752235039,0.0004430657,-0.0028246428644119062,6.3752235039,0.0028246428644119062,7.9786073114731e-06,0.04348903926391888
10,stemp_0.04_10,temp,259.3997,265.746598635,-6.3468986347,0.0004430657,-0.0028120930864123997,6.3468986347,0.0028120930864123997,7.907867526648416e-06,0.04310345752519387
11,stemp_0.04_11,temp,258.8128,265.801681041,-6.9888810409,0.0004430657,-0.003096533470603087,6.9888810409,0.003096533470603087,9.5885195345652e-06,0.052264196775535864
12,stemp_0.04_12,temp,258.3265,265.945143698,-7.6186436981,0.0004430657,-0.003375559703149265,7.6186436981,0.003375559703149265,1.1394403309525155e-05,0.062107537515262934
13,stemp_0.04_13,temp,258.0017,266.037446479,-8.0357464786,0.0004430657,-0.003560363638563444,8.0357464786,0.003560363638563444,1.2676189238804724e-05,0.06909417521157112
14,stemp_0.04_14,temp,258.5859,266.226846744,-7.6409467435,0.0004430657,-0.003385441417571548,7.6409467435,0.003385441417571548,1.1461213591808852e-05,0.06247170069262487
15,stemp_0.04_15,temp,258.8353,266.354768077,-7.5194680772,0.0004430657,-0.003331618387252272,7.5194680772,0.003331618387252272,1.1099681078277431e-05,0.06050109340962922
16,stemp_0.04_16,temp,259.0194,266.419453669,-7.4000536693,0.0004430657,-0.003278709959025973,7.4000536693,0.003278709959025973,1.0749938995416098e-05,0.058594752292686465
17,stemp_0.04_17,temp,259.0142,266.379665965,-7.3654659653,0.0004430657,-0.0032633853337418204,7.3654659653,0.0032633853337418204,1.0649683836481213e-05,0.05804829094008172
18,stemp_0.04_18,temp,259.1731,266.450974637,-7.2778746368,0.0004430657,-0.0032245766204660378,7.2778746368,0.0032245766204660378,1.0397894381256173e-05,0.05667586075558368
19,stemp_0.04_19,temp,258.7783,266.46598301,-7.6876830098,0.0004430657,-0.003406148654115144,7.6876830098,0.003406148654115144,1.1601848653930405e-05,0.06323826100819437
20,stemp_0.04_20,temp,258.1565,266.475112291,-8.3186122914,0.0004430657,-0.0036856917779177446,8.3186122914,0.0036856917779177446,1.3584323881810466e-05,0.07404414976287033
21,stemp_0.04_21,temp,257.205,266.314010306,-9.1090103064,0.0004430657,-0.00403589002771233,9.1090103064,0.00403589002771233,1.628840831578783e-05,0.08878331783210085
22,stemp_0.04_22,temp,255.8992,266.25865601,-10.3594560105,0.0004430657,-0.0045899196289113904,10.3594560105,0.0045899196289113904,2.1067362199866078e-05,0.11483198835712813
23,stemp_0.04_23,temp,255.3265,266.148018564,-10.8215185642,0.0004430657,-0.0047946436977102675,10.8215185642,0.0047946436977102675,2.2988608187992787e-05,0.125304134554014
24,stemp_0.04_24,temp,255.2708,266.242176632,-10.9713766315,0.0004430657,-0.00486104066719919,10.9713766315,0.00486104066719919,2.3629716368164343e-05,0.12879862647866455
25,stemp_0.04_25,temp,255.3444,266.312236702,-10.967836702,0.0004430657,-0.004859472245857322,10.967836702,0.004859472245857322,2.36144705082576e-05,0.12871552578524614
26,stemp_0.04_26,temp,256.3877,266.430617066,-10.0429170658,0.0004430657,-0.004449672079800623,10.0429170658,0.004449672079800623,1.97995816177572e-05,0.107921689684566
27,stemp_0.04_27,temp,257.0276,266.502510852,-9.4749108524,0.0004430657,-0.004198008009256203,9.4749108524,0.004198008009256203,1.762327124577923e-05,0.0960592626314981
28,stemp_0.04_28,temp,257.2752,266.540861639,-9.265661639,0.0004430657,-0.004105296860046682,9.265661639,0.004105296860046682,1.6853462309109146e-05,0.09186326077733746
29,stemp_0.04_29,temp,257.6142,266.524522173,-8.9103221732,0.0004430657,-0.00394785813089438,8.9103221732,0.00394785813089438,1.5585583821668866e-05,0.08495242845164075
30,stemp_0.04_30,temp,257.8523,266.387701104,-8.5354011041,0.0004430657,-0.003781743464968839,8.5354011041,0.003781743464968839,1.4301583634834522e-05,0.07795372148935911
31,stemp_0.04_31,temp,258.3584,266.528392879,-8.169992879,0.0004430657,-0.0036198436139291503,8.169992879,0.0036198436139291503,1.3103267789303652e-05,0.07142205464294975
32,stemp_0.04_32,temp,258.1115,266.528521828,-8.4170218283,0.0004430657,-0.003729293668271019,8.4170218283,0.003729293668271019,1.3907631264206314e-05,0.0758064031109088
33,stemp_0.04_33,temp,258.1543,266.537554265,-8.3832542652,0.0004430657,-0.0037143324192888236,8.3832542652,0.0037143324192888236,1.3796265320979965e-05,0.07519938014454855
34,stemp_0.04_34,temp,258.024,266.529658308,-8.5056583082,0.0004430657,-0.0037685654522834483,8.5056583082,0.0037685654522834483,1.420208556814435e-05,0.07741138682366493
35,stemp_0.04_35,temp,257.3147,266.46228483,-9.1475848297,0.0004430657,-0.004052981075880411,9.1475848297,0.004052981075880411,1.6426655601444736e-05,0.0895368630812094
36,stemp_0.04_36,temp,257.6429,266.50398592,-8.86108592,0.0004430657,-0.003926043235904945,8.86108592,0.003926043235904945,1.5413815490194967e-05,0.08401616985159353
37,stemp_0.04_37,temp,258.2466,266.527616326,-8.2810163263,0.0004430657,-0.0036690342953235376,8.2810163263,0.0036690342953235376,1.3461812660260288e-05,0.07337637716594042
38,stemp_0.04_38,temp,258.7183,266.555437525,-7.8371375255,0.0004430657,-0.0034723668237319253,7.8371375255,0.0034723668237319253,1.205733135855414e-05,0.06572096312049575
39,stemp_0.04_39,temp,259.7881,266.686184423,-6.8980844235,0.0004430657,-0.003056304603757124,6.8980844235,0.003056304603757124,9.34099783094699e-06,0.05091502884846601
40,stemp_0.04_40,temp,260.7248,266.741876034,-6.0170760343,0.0004430657,-0.0026659600050903533,6.0170760343,0.0026659600050903533,7.1073427487413565e-06,0.03874003266430643
41,stemp_0.04_41,temp,261.447,266.823653574,-5.3766535737,0.0004430657,-0.0023822107792888917,5.3766535737,0.0023822107792888917,5.674928196960189e-06,0.030932362697263214
42,stemp_0.04_42,temp,261.6849,266.65580323,-4.9709032303,0.0004430657,-0.0022024367193651307,4.9709032303,0.0022024367193651307,4.85072750280784e-06,0.02643988738796981
43,stemp_0.04_43,temp,261.0959,266.54863991,-5.4527399103,0.0004430657,-0.0024159220252750065,5.4527399103,0.0024159220252750065,5.836679232208889e-06,0.03181401996504163
44,stemp_0.04_44,temp,260.2286,266.595363997,-6.3667639971,0.0004430657,-0.002820894747109909,6.3667639971,0.002820894747109909,7.957447174272278e-06,0.04337370158634787
45,stemp_0.04_45,temp,259.7093,266.587885466,-6.8785854665,0.0004430657,-0.003047665284724649,6.8785854665,0.003047665284724649,9.288263687715776e-06,0.05062759056055409
46,stemp_0.04_46,temp,259.466,266.596275116,-7.130275116,0.0004430657,-0.003159180335463121,7.130275116,0.003159180335463121,9.980420391976878e-06,0.05440033295948263
47,stemp_0.04_47,temp,259.7737,266.715569289,-6.9418692887,0.0004430657,-0.0030757041757063677,6.9418692887,0.0030757041757063677,9.459956176457587e-06,0.05156343576419954
48,stemp_0.04_48,temp,259.1318,266.763200989,-7.6314009888,0.0004430657,-0.0033812120210833644,7.6314009888,0.0033812120210833644,1.143259473151865e-05,0.06231570771161182
49,stemp_0.04_49,temp,257.7107,266.663953001,-8.9532530014,0.0004430657,-0.003966879308342392,8.9532530014,0.003966879308342392,1.5736131446955015e-05,0.0857730192304029
50,stemp_0.04_50,temp,258.4454,266.718586199,-8.2731861985,0.0004430657,-0.003665565034268741,8.2731861985,0.003665565034268741,1.3436367020453596e-05,0.07323768047547195
51,stemp_0.04_51,temp,260.2622,266.617653129,-6.3554531294,0.0004430657,-0.0028158832895948016,6.3554531294,0.0028158832895948016,7.929198700619241e-06,0.043219727473838766
52,stemp_0.04_52,temp,260.3295,266.728276855,-6.3987768554,0.0004430657,-0.0028350785465816,6.3987768554,0.0028350785465816,8.037670365287237e-06,0.043810974579957855
53,stemp_0.04_53,temp,259.2512,266.728845314,-7.4776453139,0.0004430657,-0.0033130881553548232,7.4776453139,0.0033130881553548232,1.0976553125152425e-05,0.059829959190473035
54,stemp_0.04_54,temp,258.8309,266.731167243,-7.9002672427,0.0004430657,-0.0035003374360739452,7.9002672427,0.0035003374360739452,1.2252362166380721e-05,0.066784018629826
55,stemp_0.04_55,temp,259.5171,266.746846939,-7.2297469392,0.0004430657,-0.0032032528884395053,7.2297469392,0.0032032528884395053,1.0260829067296034e-05,0.05592875808617892
56,stemp_0.04_56,temp,260.7429,266.831761562,-6.0888615623,0.0004430657,-0.002697765710303543,6.0888615623,0.002697765710303543,7.27793982768958e-06,0.03966990711169534
57,stemp_0.04_57,temp,261.9282,266.918595407,-4.9903954072,0.0004430657,-0.002211073034367853,4.9903954072,0.002211073034367853,4.888843963308666e-06,0.026647648991293533
58,stemp_0.04_58,temp,262.9612,266.998256828,-4.0370568278,0.0004430657,-0.0017886814093489864,4.0370568278,0.0017886814093489864,3.1993811841506763e-06,0.01743888482112586
59,stemp_0.04_59,temp,263.9252,267.058456507,-3.1332565074,0.0004430657,-0.0013882384877307362,3.1332565074,0.0013882384877307362,1.927206098816921e-06,0.01050463300538583
60,stemp_0.04_60,temp,263.8185,267.023504683,-3.2050046832,0.0004430657,-0.0014200276434652862,3.2050046832,0.0014200276434652862,2.016478508205574e-06,0.01099123062393324
61,stemp_0.04_61,temp,263.7587,267.086724307,-3.3280243067,0.0004430657,-0.0014745334190650503,3.3280243067,0.0014745334190650503,2.1742488039396674e-06,0.0118511900526914
62,stemp_0.04_62,temp,264.8083,267.130968752,-2.3226687519,0.0004430657,-0.0010290948564287,2.3226687519,0.0010290948564287,1.0590362235280066e-06,0.005772494635836187
63,stemp_0.04_63,temp,264.1016,267.121117815,-3.0195178149,0.0004430657,-0.0013378447743211388,3.0195178149,0.0013378447743211388,1.789828640178379e-06,0.009755828927245795
64,stemp_0.04_64,temp,264.3032,267.179999063,-2.876799063,0.0004430657,-0.001274610990607439,2.876799063,0.001274610990607439,1.624633177377277e-06,0.008855397099043443
65,stemp_0.04_65,temp,265.5906,267.249050989,-1.6584509886,0.0004430657,-0.000734802748179751,1.6584509886,0.000734802748179751,5.399350787325146e-07,0.0029430271377311446
66,stemp_0.04_66,temp,265.922,267.269863463,-1.3478634627,0.0004430657,-0.0005971920686055994,1.3478634627,0.0005971920686055994,3.566383668054349e-07,0.0019439307302063294
67,stemp_0.04_67,temp,265.5901,267.257951174,-1.6678511737,0.0004430657,-0.0007389676477712121,1.6678511737,0.0007389676477712121,5.460731844525182e-07,0.0029764841447302817
68,stemp_0.04_68,temp,264.0286,267.15676008,-3.1281600799,0.0004430657,-0.0013859804355129493,3.1281600799,0.0013859804355129493,1.9209417676246645e-06,0.010470487980502789
69,stemp_0.04_69,temp,263.0361,267.141326315,-4.1052263145,0.0004430657,-0.0018188849706923629,4.1052263145,0.0018188849706923629,3.3083425366105577e-06,0.018032801071216704
70,stemp_0.04_70,temp,264.5615,267.228051654,-2.6665516536,0.0004430657,-0.0011814575749884415,2.6665516536,0.0011814575749884415,1.395842001497569e-06,0.007608323763730524
71,stemp_0.04_71,temp,265.3491,267.243388886,-1.894288886,0.0004430657,-0.0008392944312778102,1.894288886,0.0008392944312778102,7.044151423739429e-07,0.0038395595357535346
72,stemp_0.04_72,temp,264.9164,267.299812268,-2.3834122677,0.0004430657,-0.0010560082247770878,2.3834122677,0.0010560082247770878,1.1151533707968564e-06,0.006078372682678367
73,stemp_0.04_73,temp,266.0401,267.323581628,-1.2834816284,0.0004430657,-0.0005686666861241858,1.2834816284,0.0005686666861241858,3.2338179990746323e-07,0.0017626589759830976
74,stemp_0.04_74,temp,266.6398,267.356164102,-0.7163641021,0.0004430657,-0.00031739636235180796,0.7163641021,0.00031739636235180796,1.0074045083416018e-07,0.0005491065358601779
75,stemp_0.04_75,temp,267.2621,269.601146916,-2.3390469164,0.0004430657,-0.0010363514593476075,2.3390469164,0.0010363514593476075,1.0740243472919158e-06,0.005854190485426857
76,stemp_0.04_76,temp,266.6132,268.875945749,-2.2627457486,0.0004430657,-0.001002545029025483,2.2627457486,0.001002545029025483,1.0050965352237066e-06,0.005478485276686997
77,stemp_0.04_77,temp,265.6243,268.342919413,-2.7186194126,0.0004430657,-0.0012045270130772077,2.7186194126,0.0012045270130772077,1.4508853252326996e-06,0.007908348714662936
78,stemp_0.04_78,temp,266.2135,268.196952477,-1.9834524773,0.0004430657,-0.0008787997602716585,1.9834524773,0.0008787997602716585,7.722890186535245e-07,0.004209520050826448
79,stemp_0.04_79,temp,266.3919,268.747041839,-2.3551418393,0.0004430657,-0.0010434825676287418,2.3551418393,0.0010434825676287418,1.0888558689450718e-06,0.005935032743021143
80,stemp_0.04_80,temp,266.6221,268.703712358,-2.0816123576,0.0004430657,-0.0009222910363486943,2.0816123576,0.0009222910363486943,8.506207557291486e-07,0.00463648328592566
81,stemp_0.04_81,temp,266.3259,268.311199745,-1.9852997445,0.0004430657,-0.0008796182210067137,1.9852997445,0.0008796182210067137,7.737282147270158e-07,0.004217364684871607
82,stemp_0.04_82,temp,265.8073,268.117581182,-2.3102811816,0.0004430657,-0.0010236063489224311,2.3102811816,0.0010236063489224311,1.04776995755431e-06,0.005711085537210253
83,stemp_0.04_83,temp,265.1075,268.049906397,-2.9424063968,0.0004430657,-0.0013036793498826698,2.9424063968,0.0013036793498826698,1.6995798473105005e-06,0.009263909329835781
