,Name,Group,Measured,Modelled,Residual,Weight,Weighted_Residual,Absolute_Residual,Weighted_Absolute_Residual,Weighted_Sq_Residual,Phi_Percent
0,stemp_0.04_0,temp,260.6422,260.326171981,0.3160280194,0.0002503535,7.911872075485791e-05,0.3160280194,7.911872075485791e-05,6.259771973885183e-09,0.00023595417576625723
1,stemp_0.04_1,temp,261.2884,263.252268406,-1.9638684065,0.0002503535,-0.0004916613291066977,1.9638684065,0.0004916613291066977,2.4173086253896456e-07,0.009111738680833613
2,stemp_0.04_2,temp,261.3255,261.772041264,-0.4465412643,0.0002503535,-0.00011179316841193005,0.4465412643,0.00011179316841193005,1.2497712503578155e-08,0.00047108544289596176
3,stemp_0.04_3,temp,261.1522,260.16801694,0.98418306,0.0002503535,0.00024639367371171,0.98418306,0.00024639367371171,6.07098424451526e-08,0.002288380614310866
4,stemp_0.04_4,temp,260.7784,260.879137184,-0.1007371841,0.0002503535,-2.5219906619579348e-05,0.1007371841,2.5219906619579348e-05,6.360436899003022e-10,2.397486126137722e-05
5,stemp_0.04_5,temp,260.3231,260.967501045,-0.6444010445,0.0002503535,-0.00016132805689423075,0.6444010445,0.00016132805689423075,2.6026741941268154e-08,0.000981045071330524
6,stemp_0.04_6,temp,260.3782,261.180962882,-0.8027628824,0.0002503535,-0.0002009744972789284,0.8027628824,0.0002009744972789284,4.0390748556518004e-08,0.001522478106869481
7,stemp_0.04_7,temp,259.7585,261.328045949,-1.5695459486,0.0002503535,-0.0003929413216428301,1.5695459486,0.0003929413216428301,1.5440288225441405e-07,0.005820021075889588
8,stemp_0.04_8,temp,259.4415,261.125529751,-1.6840297506,0.0002503535,-0.0004216027421668371,1.6840297506,0.0004216027421668371,1.7774887220259651e-07,0.006700018596350667
9,stemp_0.04_9,temp,259.1726,258.609754385,0.5628456153,0.0002503535,0.00014091036975000853,0.5628456153,0.00014091036975000853,1.9855732303084118e-08,0.0007484366793798476
10,stemp_0.04_10,temp,259.3997,256.624376461,2.7753235395,0.0002503535,0.0006948119617462132,2.7753235395,0.0006948119617462132,4.827636621856212e-07,0.01819716476512622
11,stemp_0.04_11,temp,258.8128,256.096270238,2.7165297616,0.0002503535,0.0006800927336707255,2.7165297616,0.0006800927336707255,4.6252612639172037e-07,0.017434336486762233
12,stemp_0.04_12,temp,258.3265,256.38560139,1.94089861,0.0002503535,0.000485910760158635,1.94089861,0.000485910760158635,2.3610926683794248e-07,0.008899839751342332
13,stemp_0.04_13,temp,258.0017,258.19461043,-0.1929104303,0.0002503535,-4.829580141211105e-05,0.1929104303,4.829580141211105e-05,2.3324844340380673e-09,8.792004635585658e-05
14,stemp_0.04_14,temp,258.5859,260.054493974,-1.4685939743,0.0002503535,-0.000367667641544915,1.4685939743,0.000367667641544915,1.3517949463920011e-07,0.005095419828574843
15,stemp_0.04_15,temp,258.8353,259.105796352,-0.2704963523,0.0002503535,-6.771970853553805e-05,0.2704963523,6.771970853553805e-05,4.585958924138225e-09,0.00017286191295101542
16,stemp_0.04_16,temp,259.0194,259.743773397,-0.7243733974,0.0002503535,-0.0001813494153459809,0.7243733974,0.0001813494153459809,3.288761044632909e-08,0.001239656819475013
17,stemp_0.04_17,temp,259.0142,260.532057294,-1.5178572944,0.0002503535,-0.00038000088615357036,1.5178572944,0.00038000088615357036,1.4440067347749873e-07,0.0054430004851005135
18,stemp_0.04_18,temp,259.1731,257.99733501,1.1757649904,0.0002503535,0.0002943568805241064,1.1757649904,0.0002943568805241064,8.664597311188304e-08,0.0032660102084182785
