TIMESTAMP,Soil moisture at - 0.04 m (%),Soil moisture at - 0.1 m (%),Soil moisture at - 0.2 m (%),Soil moisture at - 0.4 m (%),Soil moisture at - 0.8 m (%),Soil moisture at - 1.2 m (%),Soil moisture at - 1.6 m (%),Soil temperature at - 0.04 m (K),Soil temperature at - 0.1 m (K),Soil temperature at - 0.2 m (K),Soil temperature at - 0.4 m (K),Soil temperature at - 0.8 m (K),Soil temperature at - 1.2 m (K),Soil temperature at - 1.6 m (K)
2016-01-01,16.0121837022,16.0121837022,16.0121837022,8.74080969706,8.74080969706,8.74080968768,8.74080967267,270.15,270.15,270.15,270.15,270.15,270.15,270.15
2016-01-02,16.0104261255,16.0107712784,16.0113129622,8.73930123973,8.74049167808,8.74076688074,8.7408028983,262.88670612,266.200638089,268.534149889,269.401703457,270.019448488,270.133113224,270.147340501
2016-01-03,16.0103725253,16.0106189802,16.0110321608,8.73828929696,8.73982601926,8.74055066616,8.74073901069,262.064288285,265.046981855,267.561965823,268.644793232,269.70415541,270.044753984,270.122019743
2016-01-04,16.0103470774,16.0105518662,16.0108917091,8.73770392984,8.73922233615,8.74023835853,8.74061326284,261.625630058,264.406895948,266.903362568,268.046768843,269.356252054,269.907335031,270.070881739
2016-01-05,16.010319429,16.0105021096,16.0107975144,8.73730970292,8.7387243802,8.73988744728,8.74043418703,261.10771997,263.86274496,266.366915266,267.543390394,269.01040951,269.737252702,269.994924914
2016-01-06,16.010292342,16.0104594906,16.0107243653,8.73701271547,8.73831626654,8.73953537454,8.7402179639,260.552856617,263.339532129,265.881995535,267.091200582,268.675061611,269.547173919,269.897932671
2016-01-07,16.0102864086,16.0104378668,16.0106755559,8.73679791179,8.73798661987,8.73920401211,8.73998160526,260.424381823,263.050767415,265.517793785,266.715015429,268.360863365,269.347313914,269.78466649
2016-01-08,16.0102561826,16.0104021006,16.0106248266,8.7366061731,8.73770760682,8.73889915053,8.73973796918,259.726747496,262.533752269,265.098316884,266.335450465,268.057341301,269.142244032,269.659124906
2016-01-09,16.0102412825,16.0103770001,16.0105836672,8.7364451439,8.73746812273,8.73862126315,8.73949560567,259.353742067,262.137977618,264.722383471,265.979404742,267.7635603,268.934509371,269.524336101
2016-01-10,16.0102326061,16.0103596454,16.0105515933,8.73631397786,8.73726333017,8.73836996211,8.73926021261,259.126773135,261.846545869,264.404086219,265.660098523,267.483386282,268.726673612,269.38280116
2016-01-11,16.0102375944,16.0103551567,16.0105318069,8.73621801307,8.73709321274,8.73814592022,8.73903616164,259.258173296,261.768628084,264.195406205,265.407887182,267.227024053,268.522826577,269.237146943
2016-01-12,16.01021057,16.0103294092,16.0105018533,8.73611465365,8.73694086108,8.73794448237,8.73882509461,258.515063474,261.299976799,263.859765344,265.114757763,266.976269752,268.32236846,269.088961974
2016-01-13,16.0102005745,16.0103127355,16.0104765892,8.73602101562,8.73680274594,8.73776149552,8.73862701142,258.219522271,260.975227782,263.556394259,264.828989232,266.729326083,268.124185954,268.939029835
2016-01-14,16.0101920644,16.0102991951,16.0104549387,8.73593843701,8.73667815021,8.73759446489,8.73844133496,257.958265183,260.698040551,263.280132273,264.559199739,266.488518112,267.928138037,268.787807164
2016-01-15,16.0102238748,16.0103163551,16.0104546198,8.73590054594,8.73657968808,8.7374464078,8.73826927424,258.890655294,261.047236213,263.275943821,264.430777202,266.285001596,267.740766986,268.637383398
2016-01-16,16.010211509,16.0103087956,16.0104446834,8.73585858022,8.73649634135,8.73731603795,8.73811136452,258.542220854,260.895860387,263.143620487,264.282503329,266.102486152,267.563983646,268.489658738
2016-01-17,16.0102260366,16.0103155296,16.0104422974,8.73583156904,8.73642756132,8.73720197601,8.73796761066,258.949858484,261.03088937,263.111314721,264.184803276,265.944274706,267.39930442,268.346284306
2016-01-18,16.0102298829,16.0103179544,16.0104395565,8.73580937451,8.7363699842,8.73710231669,8.73783748316,259.053977787,261.07878206,263.073944571,264.102760527,265.80614662,267.2470504,268.208473606
2016-01-19,16.010232673,16.0103189892,16.0104364765,8.73578928457,8.73632041937,8.7370147988,8.7377199347,259.128552448,261.09910478,263.031615724,264.027041618,265.682806085,267.10636351,268.07682705
2016-01-20,16.0102024899,16.0102964687,16.0104194915,8.73574593236,8.73626800238,8.73693452188,8.73761267462,258.277082834,260.640686844,262.791621537,263.857597527,265.547403107,266.971133457,267.950269308
2016-01-21,16.0101750306,16.0102700657,16.0103962432,8.73568498927,8.73620758897,8.73685648528,8.73751258411,257.406658877,260.056492148,262.443971611,263.608054139,265.384729158,266.833595575,267.82619087
2016-01-22,16.0101416237,16.0102374509,16.0103665304,8.73560647024,8.73613613243,8.73677645586,8.73741630109,256.198556955,259.254427241,261.9639988,263.265436977,265.182680267,266.685869936,267.700966947
2016-01-23,16.0101175457,16.0102099399,16.0103375885,8.73552334353,8.7360562766,8.73669246064,8.73732108932,255.204967849,258.496780841,261.453003859,262.874432419,264.943690712,266.523008133,267.571053641
2016-01-24,16.0101065334,16.0101931321,16.0103152362,8.7354502145,8.7359752685,8.73660561418,8.73722569152,254.710264621,257.991545444,261.02506775,262.503880644,264.685853421,266.34552821,267.434358461
2016-01-25,16.0101077961,16.0101878011,16.0103018455,8.73539606217,8.73590105782,8.73651940746,8.73713059638,254.76838333,257.823889187,260.753291118,262.212083039,264.434838664,266.159446009,267.291087758
2016-01-26,16.0101167823,16.0101907813,16.0102962299,8.73536168851,8.73583863646,8.73643787103,8.73703755561,255.171539327,257.918073629,260.635638286,262.018902391,264.211813887,265.973580297,267.143602568
2016-01-27,16.0101533017,16.010214755,16.0103056707,8.73536058668,8.73579558262,8.73636605541,8.73694945602,256.641562468,258.635333452,260.832168404,262.014627609,264.051466983,265.801272971,266.996758261
2016-01-28,16.0101622117,16.0102253573,16.010311775,8.7353641109,8.73576612875,8.73630537799,8.73686856818,256.964179396,258.931307286,260.955973271,262.0360356,263.938530674,265.648936845,266.855300587
2016-01-29,16.0101640922,16.0102286604,16.0103138235,8.73536370217,8.73574339515,8.73625423798,8.73679563396,257.030652511,259.021051885,260.996962844,262.0342363,263.849375527,265.515424782,266.721912157
2016-01-30,16.0101791656,16.0102390271,16.0103191091,8.73536878818,8.73572663922,8.73621119146,8.73673053111,257.544238723,259.295454925,261.101455307,262.064025974,263.782597404,265.399206481,266.597854647
2016-01-31,16.0101910882,16.0102489268,16.0103250953,8.73537722558,8.73571506561,8.73617514852,8.73667280759,257.927704889,259.547674604,261.217637326,262.112566506,263.735992123,265.299069432,266.483680224
2016-02-01,16.0102075003,16.0102616993,16.010333065,8.7353905794,8.73570861043,8.73614542773,8.73662197226,258.425561667,259.859758107,261.368867542,262.188181821,263.709951391,265.214479499,266.379698688
2016-02-02,16.0101919884,16.0102548487,16.0103312603,8.73538962191,8.73570110189,8.73611979677,8.73657697553,257.955889375,259.694182957,261.334961588,262.182764128,263.679246096,265.140014703,266.284845855
2016-02-03,16.010187175,16.0102501963,16.0103280422,8.73538249401,8.73569096044,8.73609619547,8.73653646321,257.803955763,259.579351043,261.274010132,262.142708986,263.637257441,265.070168321,266.197085115
2016-02-04,16.010165245,16.0102341522,16.0103176986,8.73536123967,8.73567491524,8.73607235,8.73649884149,257.071129848,259.167767311,261.073747592,262.021289273,263.56982435,264.998319518,266.113501275
2016-02-05,16.010151012,16.0102202566,16.0103061814,8.73533337971,8.73565307176,8.73604673802,8.73646261737,256.556549895,258.790448044,260.842623929,261.858099763,263.476354858,264.91967444,266.031052661
