name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
ALPHA_P,0.05,0.0225,0.005,0.095,0.01,0.0224963,-0.0349927,0.0549927
ALPHA_M,0.005,0.00225,0.0005,0.0095,0.00178807,0.00224812,-0.00270817,0.00628431
N_P,1.6,0.4875,0.625,2.575,1.55221,0.487191,0.577824,2.52659
N_M,1.5,0.4875,0.525,2.475,1.48302,0.48662,0.50978,2.45626
WR_P,0.1,0.0875,-0.075,0.275,0.186254,0.0874931,0.0112681,0.36124
WR_M,0.12,0.0875,-0.055,0.295,0.15456,0.0874098,-0.0202596,0.32938
TCS_P,0.4,0.325,-0.25,1.05,0.424573,0.324713,-0.224853,1.074
TCS_M,1,0.45,0.1,1.9,0.97783,0.449668,0.078495,1.87717
TCD_P,0.07,0.245,-0.42,0.56,0.0963497,0.244936,-0.393522,0.586221
TCD_M,1,0.25,0.5,1.5,0.992395,0.249993,0.492409,1.49238
AF_P,1.5,0.25,1,2,1.50174,0.249998,1.00175,2.00174
AF_M,1.5,0.25,1,2,1.49978,0.249999,0.99978,1.99977
AUF_P,0.5,0.175,0.15,0.85,0.491573,0.174994,0.141584,0.841561
AUF_M,0.7,0.175,0.35,1.05,0.699482,0.175,0.349482,1.04948
POR_P,0.5,0.1625,0.175,0.825,0.600845,0.162445,0.275954,0.925736
POR_M,0.5,0.125,0.25,0.75,0.496206,0.124942,0.246322,0.746091
PERM_P,1e-10,2.475e-10,-3.95e-10,5.95e-10,4.13098e-11,2.47401e-10,-4.53493e-10,5.36113e-10
PERM_M,1e-12,2.475e-12,-3.95e-12,5.95e-12,1e-13,2.42548e-12,-4.75095e-12,4.95095e-12
DEN_P,900,325,250,1550,900,324.999,250.001,1550
DEN_M,2300,175,1950,2650,2300,175,1950,2650
